datetime,nb_total_net_buy,nb_total_buy,nb_total_sell
2015-05-13,-4.0242,31.9278,35.952
2015-05-14,-1.8602,22.485,24.3452
2015-05-15,5.0123,32.2133,27.201
2015-05-18,11.020299999999999,30.8995,19.8792
2015-05-19,20.0327,38.388600000000004,18.3559
2015-05-20,27.7194,54.6651,26.945700000000002
2015-05-21,18.2344,48.5272,30.292800000000003
2015-05-26,34.1038,106.9428,72.839
2015-05-27,1.8295000000000101,60.008900000000004,58.179399999999994
2015-05-28,-31.748800000000003,57.711000000000006,89.4598
2015-05-29,21.1066,78.3511,57.244499999999995
2015-06-01,17.1735,63.412,46.2385
2015-06-02,2.2936,56.2808,53.9872
2015-06-03,0.3155,62.396800000000006,62.0813
2015-06-04,-10.937100000000001,56.194399999999995,67.1315
2015-06-05,-13.8974,42.699,56.5964
2015-06-08,-12.9,51.9547,64.85470000000001
2015-06-09,-15.288,46.4054,61.693400000000004
2015-06-10,14.0119,55.2272,41.2153
2015-06-11,-10.455499999999999,42.227799999999995,52.6833
2015-06-12,13.087200000000001,56.983999999999995,43.896800000000006
2015-06-15,-12.539000000000001,44.54,57.07899999999999
2015-06-16,-0.44700000000001,42.624399999999994,43.071400000000004
2015-06-17,-10.6985,32.7529,43.45140000000001
2015-06-18,5.444299999999999,35.0499,29.6056
2015-06-19,77.3166,113.156,35.8394
2015-06-23,68.36359999999999,130.8816,62.518
2015-06-24,-31.655700000000003,52.103699999999996,83.7594
2015-06-25,-36.3212,43.051899999999996,79.37310000000001
2015-06-26,31.202399999999997,68.6414,37.439
2015-06-29,-15.134,68.9557,84.0897
2015-07-02,27.08,81.9965,54.9165
2015-07-03,69.7986,120.3635,50.564899999999994
2015-07-06,-135.2322,49.3241,184.55630000000002
2015-07-07,-103.5783,52.9412,156.5195
2015-07-08,-66.2613,38.2464,104.5077
2015-07-09,-37.5711,35.42,72.9911
2015-07-10,-28.508200000000002,27.633499999999998,56.1417
2015-07-13,-23.018600000000003,31.1813,54.1999
2015-07-14,-15.722000000000001,34.3377,50.0597
2015-07-15,-3.3362,28.254,31.5902
2015-07-16,-5.2989999999999995,20.581,25.88
2015-07-17,1.9485,25.414,23.465500000000002
2015-07-20,-3.7824,25.2049,28.9873
2015-07-21,-6.7101999999999995,19.1563,25.866500000000002
2015-07-22,-6.2339,22.215300000000003,28.4492
2015-07-23,3.3360000000000003,26.4883,23.1523
2015-07-24,-0.6615000000000001,25.8162,26.4777
2015-07-27,-1.5371000000000001,25.7621,27.2992
2015-07-28,24.5827,66.9816,42.398900000000005
2015-07-29,-6.4486,26.2082,32.6568
2015-07-30,-2.0587,19.0305,21.0892
2015-07-31,4.2726999999999995,21.3927,17.12
2015-08-03,-21.991500000000002,14.5029,36.4944
2015-08-04,-3.6768,18.4283,22.105100000000004
2015-08-05,0.0591,17.0671,17.008
2015-08-06,2.0893,13.066500000000001,10.9772
2015-08-07,7.7587,20.263099999999998,12.5044
2015-08-10,1.7668000000000001,22.3819,20.6151
2015-08-11,6.5727,26.4084,19.8357
2015-08-12,-2.0065,23.0658,25.0723
2015-08-13,1.6698,19.586199999999998,17.9164
2015-08-14,-0.22219999999999998,20.4241,20.6463
2015-08-17,-5.8436,13.3525,19.196099999999998
2015-08-18,-4.8258,18.9054,23.731199999999998
2015-08-19,0.1653,24.485,24.319699999999997
2015-08-20,-8.3861,13.431600000000001,21.8177
2015-08-21,-9.2285,20.539699999999996,29.7682
