instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SZ002334,2017-03-16,0.0,624624.0,
SZ002334,2017-03-17,0.03,2008839.0,158900.0
SZ002334,2017-03-20,0.03,2154612.0,13700.0
SZ002334,2017-03-21,0.02,1962523.2,-20340.0
SZ002334,2017-03-22,0.02,1878405.8,-7400.0
SZ002334,2017-03-23,0.01,1031595.68,-98124.0
SZ002334,2017-03-24,0.0,425769.68,-70200.0
SZ002334,2017-03-27,0.0,577850.32,17700.0
SZ002334,2017-03-28,0.0,462088.48,-13800.0
SZ002334,2017-03-29,0.0,368818.52,-10200.0
SZ002334,2017-03-30,0.0,366137.76,500.0
SZ002334,2017-03-31,0.0,432193.32,8100.0
SZ002334,2017-04-05,0.01,743270.08,35500.0
SZ002334,2017-04-06,0.0,617649.28,-14300.0
SZ002334,2017-04-07,0.01,983985.28,43200.0
SZ002334,2017-04-10,0.01,665533.76,-36900.0
SZ002334,2017-04-11,0.01,708076.28,6900.0
SZ002334,2017-04-12,0.01,871135.2,20200.0
SZ002334,2017-04-18,0.0,274840.02,-71838.0
SZ002334,2017-04-19,0.01,688364.6,55000.0
SZ002334,2017-04-20,0.01,770665.54,10300.0
SZ002334,2017-04-21,0.0,276302.52,-64000.0
SZ002334,2017-04-24,0.01,578937.04,41700.0
SZ002334,2017-04-25,0.01,619148.88,4500.0
SZ002334,2017-04-26,0.01,699184.8,10100.0
SZ002334,2017-04-27,0.01,692932.72,-1300.0
SZ002334,2017-04-28,0.01,950297.66,33200.0
SZ002334,2017-05-04,0.01,1121972.46,20500.0
SZ002334,2017-05-05,0.02,1408349.7,39700.0
SZ002334,2017-05-08,0.02,1207138.92,-24000.0
SZ002334,2017-05-09,0.01,1073594.9,-17900.0
SZ002334,2017-05-10,0.01,992925.18,-8200.0
SZ002334,2017-05-11,0.02,1350549.54,52800.0
SZ002334,2017-05-12,0.01,1082410.5,-37500.0
SZ002334,2017-05-15,0.02,1206447.56,17800.0
SZ002334,2017-05-16,0.02,1516429.32,39500.0
SZ002334,2017-05-17,0.03,1993305.3,64600.0
SZ002334,2017-05-18,0.03,2020770.54,8300.0
SZ002334,2017-05-19,0.04,2201198.58,25800.0
SZ002334,2017-05-22,0.03,2098065.9,-7700.0
SZ002334,2017-05-23,0.03,1632352.68,-52500.0
SZ002334,2017-05-24,0.03,1684196.58,5900.0
SZ002334,2017-05-25,0.03,1938531.42,34500.0
SZ002334,2017-05-26,0.03,1799864.47,-18059.0
SZ002334,2017-05-31,0.05,2606278.08,120400.0
SZ002334,2017-06-01,0.04,2207340.72,-47200.0
SZ002334,2017-06-02,0.03,1956085.45,-42000.0
SZ002334,2017-06-05,0.01,865740.47,-170000.0
SZ002334,2017-06-06,0.01,939227.64,10300.0
SZ002334,2017-06-07,0.01,918099.93,-5300.0
SZ002334,2017-06-08,0.01,1019300.55,15164.0
SZ002334,2017-06-09,0.01,874016.76,-22500.0
SZ002334,2017-06-12,0.0,431140.4,-62900.0
SZ002334,2017-06-13,0.01,592898.73,22400.0
SZ002334,2017-06-14,0.01,637992.94,5600.0
SZ002334,2017-06-15,0.01,557965.57,-13800.0
SZ002334,2017-06-16,0.0,457621.45,-13600.0
SZ002334,2017-06-19,0.0,474831.42,2500.0
SZ002334,2017-06-20,0.01,559084.81,10400.0
SZ002334,2017-06-21,0.01,627209.11,8200.0
SZ002334,2017-06-22,0.01,614443.66,0.0
SZ002334,2017-06-23,0.0,533651.93,-12100.0
SZ002334,2017-06-26,0.01,559673.72,4300.0
SZ002334,2017-06-27,0.01,577191.78,2200.0
SZ002334,2017-06-28,0.01,794253.6,30810.0
SZ002334,2017-06-29,0.01,630844.25,-23300.0
SZ002334,2017-06-30,0.0,532969.25,-13500.0
SZ002334,2017-07-03,0.02,1593651.85,140400.0
SZ002334,2017-07-04,0.03,1757788.11,21400.0
SZ002334,2017-07-05,0.03,1833288.63,8800.0
SZ002334,2017-07-06,0.02,1318853.63,-68500.0
SZ002334,2017-07-07,0.02,1495101.37,24000.0
SZ002334,2017-07-10,0.02,1452716.2,-3300.0
SZ002334,2017-07-11,0.01,1084196.2,-49800.0
SZ002334,2017-07-12,0.01,1069544.9,0.0
SZ002334,2017-07-13,0.01,1090594.51,3500.0
SZ002334,2017-07-14,0.02,1238134.12,21000.0
