instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SZ002928,2023-01-12,0.45,74262177.12,33748
SZ002928,2023-01-13,0.47,78484824.34,223195
SZ002928,2023-01-19,0.46,77470701.4,51150
SZ002928,2023-01-20,0.45,76726013.98,-52372
SZ002928,2023-02-02,0.4,64807204.16,297532
SZ002928,2023-02-03,0.37,58670769.44,-436632
SZ002928,2023-02-08,0.39,62897027.4,125500
SZ002928,2023-02-09,0.4,64238028.4,127800
SZ002928,2023-02-10,0.41,66611908.2,199115
SZ002928,2023-02-13,0.51,84175573.2,1201075
SZ002928,2023-02-14,0.51,84069038.16,22442
SZ002928,2023-02-15,0.49,80669836.5,-206147
SZ002928,2023-02-16,0.56,89749062.5,807900
SZ002928,2023-02-17,0.53,84545082.6,-283915
SZ002928,2023-02-23,0.54,86558398.5,-241200
SZ002928,2023-02-24,0.53,84089614.88,-193774
SZ002928,2023-03-01,0.54,88938699.43,106300
SZ002928,2023-03-02,0.57,92458032.66,277769
SZ002928,2023-03-08,0.58,93713913.9,-58000
SZ002928,2023-03-09,0.57,91633062.54,-237400
SZ002928,2023-03-15,0.52,80214396.0,-93622
SZ002928,2023-03-16,0.52,78567015.56,53633
SZ002928,2023-03-22,0.56,83803337.81,-396697
SZ002928,2023-03-23,0.58,84636169.38,232848
SZ002928,2023-03-29,0.68,98398099.8,615953
SZ002928,2023-03-30,0.7,105106839.3,314400
SZ002928,2023-04-03,0.69,103511598.9,249440
SZ002928,2023-04-04,0.67,101200971.9,-219405
SZ002928,2023-04-12,0.66,98154771.21,-126772
SZ002928,2023-04-13,0.64,96911160.33,-207098
SZ002928,2023-04-19,0.6,88465873.57,-608092
SZ002928,2023-04-20,0.6,85524687.28,18400
SZ002928,2023-04-26,0.58,79260594.56,232254
SZ002928,2023-04-27,0.6,82881655.08,246300
SZ002928,2023-05-04,0.59,78101628.66,-195355
SZ002928,2023-05-10,0.54,72306244.78,-99349
SZ002928,2023-05-11,0.53,72024378.25,-100582
SZ002928,2023-05-17,0.52,68009211.54,-77926
SZ002928,2023-05-18,0.54,69217303.41,168300
SZ002928,2023-05-24,0.52,64875354.36,-344513
SZ002928,2023-05-25,0.54,66351426.26,258100
SZ002928,2023-05-31,0.56,68569009.55,363435
SZ002928,2023-06-01,0.56,67853223.2,38427
SZ002928,2023-06-07,0.75,80950199.96,1280321
SZ002928,2023-06-08,0.74,78803430.18,-108196
SZ002928,2023-06-09,0.68,72702307.02,-788539
SZ002928,2023-06-14,0.94,102794237.76,1432400
SZ002928,2023-06-15,1.05,116648952.2,1363466
SZ002928,2023-06-21,1.21,131085724.96,-239212
SZ002928,2023-06-28,1.33,144289521.35,174500
SZ002928,2023-06-29,1.34,142082622.36,84054
SZ002928,2023-07-05,1.61,181758099.33,647850
SZ002928,2023-07-06,1.68,187203308.27,864556
SZ002928,2023-07-12,1.78,192047359.5,-106789
SZ002928,2023-07-13,1.75,189634595.76,-339921
SZ002928,2023-07-19,1.62,172276891.6,-766423
SZ002928,2023-07-20,1.65,173689491.82,348182
SZ002928,2023-07-26,1.77,198756462.36,-675225
SZ002928,2023-07-27,1.81,201307228.36,451063
SZ002928,2023-08-02,1.8,206712520.45,-97500
SZ002928,2023-08-03,1.86,211316059.06,754200
SZ002928,2023-08-09,1.8,198914129.98,-130000
SZ002928,2023-08-10,1.75,208585784.7,-620567
SZ002928,2023-08-16,1.14,130203902.0,1059667
SZ002928,2023-08-17,1.04,116596360.7,-1400790
SZ002928,2023-08-23,0.75,73582657.2,291386
SZ002928,2023-08-24,0.75,73811177.93,55163
SZ002928,2023-08-30,0.54,53411452.74,-2281579
SZ002928,2023-08-31,0.61,59599819.44,874197
SZ002928,2023-09-06,0.84,82784870.4,1555989
SZ002928,2023-09-07,0.85,82995649.3,126850
SZ002928,2023-09-13,0.92,91428136.8,-232918
SZ002928,2023-09-14,0.95,92883868.08,315700
SZ002928,2023-09-15,0.93,91891535.44,-193200
SZ002928,2023-09-20,0.85,81580942.5,-380600
SZ002928,2023-09-21,0.82,78145834.87,-359850
SZ002928,2023-09-27,0.73,68202987.39,656500
SZ002928,2023-09-28,0.7,65081502.93,-354100
SZ002928,2023-10-11,0.66,58766739.2,218418
SZ002928,2023-10-12,0.73,65449924.4,847500
SZ002928,2023-10-13,0.73,63807067.5,-20905
SZ002928,2023-10-16,0.71,62855325.0,-166500
SZ002928,2023-10-17,0.72,62978805.09,58614
SZ002928,2023-10-18,0.76,65684366.52,585000
SZ002928,2023-10-19,0.79,67098652.02,318093
SZ002928,2023-10-20,0.78,66740877.68,-99745
SZ002928,2023-10-24,0.87,74873749.44,1090590
SZ002928,2023-10-25,0.93,81898917.84,831599
SZ002928,2023-10-26,0.96,85257728.14,400600
SZ002928,2023-10-27,1.08,97965573.3,1521700
SZ002928,2023-10-30,1.15,104864660.38,811700
SZ002928,2023-10-31,1.18,107854883.64,398200
SZ002928,2023-11-01,1.17,107006414.6,-34400
SZ002928,2023-11-02,1.12,101638775.04,-634000
SZ002928,2023-11-03,1.13,103396064.6,125500
SZ002928,2023-11-06,1.17,107722923.94,419500
SZ002928,2023-11-07,1.08,98523533.34,-1086200
SZ002928,2023-11-08,1.05,95635939.08,-388225
SZ002928,2023-11-09,1.02,93324352.5,-363626
SZ002928,2023-11-10,1.07,96091690.5,544000
SZ002928,2023-11-13,1.06,96236875.32,-95496
SZ002928,2023-11-14,1.07,97427023.32,168100
SZ002928,2023-11-15,1.03,95675884.17,-527700
SZ002928,2023-11-16,0.98,95936882.4,-609905
SZ002928,2023-11-17,0.7,69733082.72,-3637052
SZ002928,2023-11-20,0.77,80095460.88,975900
SZ002928,2023-11-21,0.67,68331448.14,-1279600
SZ002928,2023-11-22,0.7,70476196.28,272522
SZ002928,2023-11-23,0.71,71850833.04,128500
SZ002928,2023-11-24,0.71,72765894.24,57900
SZ002928,2023-11-27,0.73,75217412.56,272500
SZ002928,2023-11-28,0.76,76713958.28,333700
SZ002928,2023-11-29,0.96,94674479.9,2547743
