instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SH605555,2023-03-13,0.05,1057000.0,
SH605555,2023-03-14,0.14,2952392.0,93320.0
SH605555,2023-03-15,0.17,3649857.2,30400.0
SH605555,2023-03-16,0.14,2892652.0,-33300.0
SH605555,2023-03-17,0.14,2854185.8,-1800.0
SH605555,2023-03-20,0.22,4507156.2,80920.0
SH605555,2023-03-21,0.29,6114330.8,68600.0
SH605555,2023-03-22,0.27,5789987.8,-17200.0
SH605555,2023-03-23,0.25,5326679.4,-19800.0
SH605555,2023-03-24,0.22,4573943.6,-36300.0
SH605555,2023-03-27,0.23,4857328.0,9000.0
SH605555,2023-03-28,0.15,3090600.0,-78400.0
SH605555,2023-03-29,0.18,3783306.0,32180.0
SH605555,2023-03-30,0.22,4762329.0,44400.0
SH605555,2023-03-31,0.21,4560789.09,-13097.0
SH605555,2023-04-03,0.15,3125069.58,-63300.0
SH605555,2023-04-04,0.09,1974377.71,-52360.0
SH605555,2023-04-11,0.07,1545346.77,-19640.0
SH605555,2023-04-12,0.13,2825516.1,55396.0
SH605555,2023-04-13,0.06,1383342.74,-64916.0
SH605555,2023-04-14,0.04,835807.96,-24900.0
SH605555,2023-04-17,0.16,3577158.12,123100.0
SH605555,2023-04-18,0.08,1784424.52,-81340.0
SH605555,2023-04-19,0.09,2082552.01,15140.0
SH605555,2023-04-20,0.08,1738215.57,-14840.0
SH605555,2023-04-21,0.05,1166300.1,-24920.0
SH605555,2023-04-24,0.02,573479.35,-28300.0
SH605555,2023-04-25,0.06,1250195.62,36600.0
SH605555,2023-04-26,0.05,1034961.38,-12000.0
SH605555,2023-04-27,0.1,1980714.3,45900.0
SH605555,2023-04-28,0.12,2382017.73,18740.0
SH605555,2023-05-04,0.1,1982280.55,-17420.0
SH605555,2023-05-05,0.09,1754313.96,-9060.0
SH605555,2023-05-08,0.05,1091984.0,-35203.0
SH605555,2023-05-09,0.04,836326.98,-12177.0
SH605555,2023-05-10,0.08,1588805.31,38096.0
SH605555,2023-05-11,0.09,1804703.04,8000.0
SH605555,2023-05-12,0.02,543648.1,-62200.0
SH605555,2023-05-15,0.06,1222880.66,33400.0
SH605555,2023-05-16,0.02,584394.75,-31860.0
SH605555,2023-05-17,0.04,897627.21,15600.0
SH605555,2023-05-18,0.12,2349191.08,72300.0
SH605555,2023-05-19,0.06,1350205.41,-50540.0
SH605555,2023-05-22,0.12,2538656.12,56540.0
SH605555,2023-05-23,0.15,3092154.58,27200.0
SH605555,2023-05-24,0.12,2573496.32,-24300.0
SH605555,2023-05-25,0.11,2281393.08,-14480.0
SH605555,2023-05-29,0.08,1646522.29,-30900.0
SH605555,2023-05-30,0.13,2613517.72,46100.0
SH605555,2023-05-31,0.17,3469995.54,43220.0
SH605555,2023-06-01,0.17,3560019.54,4400.0
SH605555,2023-06-02,0.28,5805310.11,103900.0
SH605555,2023-06-05,0.14,2041522.34,-247384.6
SH605555,2023-06-07,0.12,2312760.45,9740.0
SH605555,2023-06-08,0.08,1523053.57,-58180.0
SH605555,2023-06-09,0.06,1200071.34,-24979.0
SH605555,2023-06-14,0.3,5973072.7,-59000.0
SH605555,2023-06-15,0.32,6664680.54,30752.0
SH605555,2023-06-21,0.95,22912442.53,512943.0
SH605555,2023-06-28,0.61,13861341.45,-76742.0
SH605555,2023-06-29,0.61,14365595.58,1726.0
SH605555,2023-07-05,0.7,17115174.0,-8944.0
SH605555,2023-07-06,0.78,18906882.33,119156.0
SH605555,2023-07-12,1.07,29350933.3,829015.0
SH605555,2023-07-13,1.33,34186830.3,352205.0
