instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SH603517,2017-12-12,0.0,19555.0,
SH603517,2017-12-13,0.02,410340.0,10000.0
SH603517,2017-12-14,0.02,492506.0,2200.0
SH603517,2017-12-15,0.0,159680.0,-8700.0
SH603517,2017-12-18,0.01,284690.0,3000.0
SH603517,2017-12-19,0.01,316680.0,800.0
SH603517,2017-12-20,0.04,906752.0,14600.0
SH603517,2017-12-21,0.04,1016800.0,2400.0
SH603517,2017-12-27,0.02,540684.0,-11000.0
SH603517,2017-12-28,0.03,638768.0,2800.0
SH603517,2017-12-29,0.03,745038.0,2300.0
SH603517,2018-01-02,0.09,1969404.35,30005.0
SH603517,2018-01-03,0.14,2919290.15,21900.0
SH603517,2018-01-04,0.18,3758815.2,19900.0
SH603517,2018-01-05,0.18,3807086.0,1700.0
SH603517,2018-01-08,0.17,3526069.95,-6800.0
SH603517,2018-01-09,0.24,5123861.1,38100.0
SH603517,2018-01-10,0.22,4516654.35,-12100.0
SH603517,2018-01-11,0.21,4358712.05,-4800.0
SH603517,2018-01-12,0.21,4202776.75,0.0
SH603517,2018-01-15,0.21,4135264.5,-500.0
SH603517,2018-01-16,0.23,4626593.55,12600.0
SH603517,2018-01-17,0.27,5413439.7,19830.0
SH603517,2018-01-18,0.29,5638025.9,6800.0
SH603517,2018-01-19,0.37,7147343.15,44100.0
SH603517,2018-01-22,0.46,8805234.75,43000.0
SH603517,2018-01-23,0.46,9078066.15,-400.0
SH603517,2018-01-24,0.46,8964287.75,-300.0
SH603517,2018-01-25,0.43,8539132.0,-14100.0
SH603517,2018-01-26,0.43,8397682.8,400.0
SH603517,2018-01-29,0.42,8026428.15,-6400.0
SH603517,2018-01-30,0.42,8030664.85,0.0
SH603517,2018-01-31,0.46,8950981.05,22300.0
SH603517,2018-02-01,0.43,8199051.95,-18200.0
SH603517,2018-02-02,0.49,9352754.8,34005.0
SH603517,2018-02-05,0.47,8726254.56,-9944.0
SH603517,2018-02-06,0.55,9669835.0,39479.0
SH603517,2018-02-07,0.67,11522508.3,60422.0
SH603517,2018-02-08,0.69,11793336.42,8400.0
SH603517,2018-02-09,0.8,13862390.92,53395.0
SH603517,2018-02-12,0.85,15264716.0,28300.0
SH603517,2018-02-13,0.87,15920053.38,9910.0
SH603517,2018-02-14,0.9,16677426.42,14400.0
SH603517,2018-02-22,0.91,16824901.68,2400.0
SH603517,2018-02-23,0.91,16909305.6,2790.0
SH603517,2018-02-26,0.96,17868724.4,24100.0
SH603517,2018-02-27,0.95,18462071.2,-5300.0
SH603517,2018-02-28,0.92,17641379.92,-17200.0
SH603517,2018-03-01,0.72,14094230.4,-96900.0
SH603517,2018-03-02,0.68,13328850.48,-21900.0
SH603517,2018-03-05,0.64,12542143.77,-21439.0
SH603517,2018-03-06,0.64,12536006.52,-321.0
SH603517,2018-03-07,0.65,12542522.18,9274.0
SH603517,2018-03-08,0.67,12673708.92,5300.0
SH603517,2018-03-09,0.71,13817023.02,22200.0
SH603517,2018-03-12,0.73,14355918.35,11267.0
SH603517,2018-03-13,0.65,12790947.0,-40600.0
SH603517,2018-03-14,0.63,12334403.25,-12918.0
SH603517,2018-03-15,0.55,10603644.45,-37400.0
SH603517,2018-03-16,0.56,10582406.8,5600.0
SH603517,2018-03-19,0.68,11739080.65,57700.0
SH603517,2018-03-20,0.3,16982654.22,153014.0
SH603517,2018-03-21,0.43,24214693.07,217600.0
SH603517,2018-03-22,0.45,24815051.81,29400.0
SH603517,2018-03-23,0.49,26650806.63,62008.0
SH603517,2018-03-26,0.5,27563181.43,17600.0
SH603517,2018-03-27,0.51,29651518.06,17510.0
SH603517,2018-03-28,0.47,26964246.87,-67900.0
SH603517,2018-04-03,0.5,29400563.28,59400.0
SH603517,2018-04-04,0.57,33402069.16,108937.0
SH603517,2018-04-09,0.58,33702746.36,13800.0
SH603517,2018-04-10,0.59,35258149.94,16839.0
SH603517,2018-04-11,0.68,44297824.28,150600.0
SH603517,2018-04-12,0.71,46430287.46,52423.0
SH603517,2018-04-13,0.79,50630069.54,126687.0
SH603517,2018-04-16,0.75,48321036.08,-58600.0
SH603517,2018-04-17,0.76,50695844.08,18313.0
SH603517,2018-04-18,0.88,57521323.08,187400.0
SH603517,2018-04-19,0.87,57378441.58,-12600.0
SH603517,2018-04-20,0.9,59190931.8,44909.0
SH603517,2018-04-23,0.84,53731295.28,-91323.0
SH603517,2018-04-24,0.81,54320876.66,-54925.0
SH603517,2018-04-25,0.71,48236810.7,-160682.0
SH603517,2018-04-26,0.66,43005625.0,-82615.0
SH603517,2018-04-27,0.62,41229070.26,-67723.0
SH603517,2018-05-02,0.61,44161662.87,-13000.0
SH603517,2018-05-03,0.43,30775036.35,-292162.0
SH603517,2018-05-04,0.35,24846715.35,-137900.0
SH603517,2018-05-07,0.26,19361515.05,-141600.0
SH603517,2018-05-08,0.26,19140105.18,-1659.0
SH603517,2018-05-09,0.26,18434399.64,-5400.0
SH603517,2018-05-10,0.25,17699521.14,-19500.0
SH603517,2018-05-11,0.25,17761988.35,14209.0
SH603517,2018-05-14,0.27,18753630.0,22500.0
SH603517,2018-05-15,0.23,17163153.1,-55109.0
SH603517,2018-05-16,0.28,22009329.48,81100.0
SH603517,2018-05-17,0.39,30306406.13,172723.0
SH603517,2018-05-18,0.41,30969858.57,27590.0
SH603517,2018-05-23,0.43,33224501.96,36500.0
SH603517,2018-05-24,0.51,39725333.52,141695.0
SH603517,2018-05-25,0.65,49949511.16,213100.0
SH603517,2018-05-28,0.68,54766663.15,57005.0
SH603517,2018-05-29,0.8,60980729.04,189449.0
SH603517,2018-05-30,0.88,64549029.6,138344.0
SH603517,2018-05-31,1.08,85092837.2,325704.0
SH603517,2018-06-01,0.97,72273796.15,-180927.0
SH603517,2018-06-04,1.04,79256490.04,118854.0
SH603517,2018-06-05,0.61,47173557.76,-702835.0
SH603517,2018-06-06,0.48,37724274.7,-208938.0
SH603517,2018-06-07,0.47,35905319.44,-23262.0
SH603517,2018-06-08,0.54,40840306.16,116740.0
SH603517,2018-06-11,0.62,44288724.24,126700.0
SH603517,2018-06-12,0.76,56291746.72,226100.0
SH603517,2018-06-13,0.71,53470221.0,-78300.0
SH603517,2018-06-14,0.63,46531480.32,-135404.0
SH603517,2018-06-15,0.58,42096647.92,-80500.0
SH603517,2018-06-19,0.61,41779019.82,51218.0
SH603517,2018-06-20,0.68,48188173.17,124731.0
SH603517,2018-06-21,0.68,46755828.0,-15559.0
SH603517,2018-06-22,0.66,45951464.37,-17325.0
SH603517,2018-06-25,0.69,48705690.44,45274.0
SH603517,2018-06-26,0.61,42377853.22,-141941.0
SH603517,2018-06-27,0.48,33122227.71,-205515.0
SH603517,2018-06-28,0.44,29392062.15,-67100.0
SH603517,2018-07-03,0.39,26758613.19,-73500.0
SH603517,2018-07-04,0.41,26672060.01,19900.0
SH603517,2018-07-05,0.41,25771012.5,14200.0
SH603517,2018-07-06,0.44,28304710.14,41900.0
SH603517,2018-07-09,0.51,35102920.36,107055.0
SH603517,2018-07-10,0.51,35096447.19,45.0
SH603517,2018-07-11,0.45,31749655.5,-93545.0
