instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SH600877,2023-03-15,0.03,5498789.49,-1033
SH600877,2023-03-16,0.12,19858402.41,843276
SH600877,2023-03-22,0.24,37259824.16,143065
SH600877,2023-03-23,0.24,38636409.24,68692
SH600877,2023-03-29,0.27,40441253.4,-280238
SH600877,2023-03-30,0.21,31545018.44,-602686
SH600877,2023-04-03,0.2,30686638.83,-211800
SH600877,2023-04-04,0.21,32618310.54,113774
SH600877,2023-04-12,0.25,38351052.96,525500
SH600877,2023-04-13,0.25,36460464.96,-7759
SH600877,2023-04-19,0.31,45623955.55,220371
SH600877,2023-04-20,0.29,43701376.3,-148853
SH600877,2023-04-26,0.12,16079530.38,-28400
SH600877,2023-04-27,0.11,15323229.1,-57226
SH600877,2023-05-04,0.14,18471167.4,173240
SH600877,2023-05-10,0.11,14448036.72,-58148
SH600877,2023-05-11,0.1,14032585.6,-49352
SH600877,2023-05-17,0.09,12224842.0,58749
SH600877,2023-05-18,0.11,14531794.82,169250
SH600877,2023-05-24,0.07,9435109.68,5733
SH600877,2023-05-25,0.06,8866587.6,-38900
SH600877,2023-05-31,0.15,19360823.5,467109
SH600877,2023-06-01,0.17,21761100.9,177200
SH600877,2023-06-07,0.14,17870024.55,129737
SH600877,2023-06-08,0.13,16805984.31,-36900
SH600877,2023-06-09,0.14,18669515.43,83808
SH600877,2023-06-14,0.21,28218115.8,46101
SH600877,2023-06-15,0.24,32614844.0,349400
SH600877,2023-06-21,0.19,27228403.53,-127476
SH600877,2023-06-28,0.31,42630907.09,-286621
SH600877,2023-06-29,0.32,43537578.84,88801
SH600877,2023-07-05,0.33,46332434.71,143600
SH600877,2023-07-06,0.31,43235613.84,-189029
SH600877,2023-07-12,0.3,40201827.12,18088
SH600877,2023-07-13,0.33,45622662.18,316020
SH600877,2023-07-19,0.28,38228295.45,-125600
SH600877,2023-07-20,0.27,36108864.2,-103000
SH600877,2023-07-26,0.28,37422205.2,-253620
SH600877,2023-07-27,0.28,37348840.8,5970
SH600877,2023-08-02,0.3,38948514.64,-30441
SH600877,2023-08-03,0.3,38964313.2,27100
SH600877,2023-08-09,0.26,34139310.84,-175800
SH600877,2023-08-10,0.26,33844029.52,-17900
SH600877,2023-08-16,0.34,40817752.06,302000
SH600877,2023-08-17,0.38,44557447.0,299278
SH600877,2023-08-23,0.34,38450994.78,-460000
SH600877,2023-08-24,0.35,39532001.04,81930
SH600877,2023-08-30,0.35,44639685.74,170600
SH600877,2023-08-31,0.13,16479680.78,-2043900
SH600877,2023-09-06,0.22,29179041.38,315001
SH600877,2023-09-07,0.18,23621570.64,-348600
SH600877,2023-09-13,0.22,27584077.05,284500
SH600877,2023-09-14,0.24,30364477.29,228900
SH600877,2023-09-15,0.32,39496683.9,676787
SH600877,2023-09-20,0.3,41702256.12,282913
SH600877,2023-09-21,0.22,30638995.2,-733700
SH600877,2023-09-27,0.23,28328957.4,-439600
SH600877,2023-09-28,0.21,26652162.6,-172500
SH600877,2023-10-11,0.31,43857807.0,690130
SH600877,2023-10-12,0.48,66298675.56,1571562
SH600877,2023-10-13,0.36,49556607.5,-1125932
SH600877,2023-10-16,0.48,65514967.56,1133712
SH600877,2023-10-17,0.31,43457879.2,-1634411
SH600877,2023-10-18,0.22,31763867.98,-793800
SH600877,2023-10-19,0.27,37973707.9,483300
SH600877,2023-10-20,0.4,54771605.91,1231388
SH600877,2023-10-24,0.29,41448369.03,-1047700
SH600877,2023-10-25,0.24,34906493.85,-428200
SH600877,2023-10-26,0.22,31101813.52,-268600
SH600877,2023-10-27,0.2,27866592.94,-134600
SH600877,2023-10-30,0.26,36232688.8,557261
SH600877,2023-10-31,0.28,38154741.6,195200
SH600877,2023-11-01,0.3,40072311.2,156800
SH600877,2023-11-02,0.42,54906766.6,1131500
SH600877,2023-11-03,0.44,57942918.24,150394
SH600877,2023-11-06,0.4,53273116.56,-402740
SH600877,2023-11-07,0.37,49990066.92,-260600
SH600877,2023-11-08,0.31,42383369.27,-487427
SH600877,2023-11-09,0.28,37922039.82,-283781
SH600877,2023-11-10,0.51,71550315.0,2112555
SH600877,2023-11-13,0.41,57698926.4,-974039
SH600877,2023-11-14,0.46,65323074.6,473500
SH600877,2023-11-15,0.38,54744358.88,-686736
SH600877,2023-11-16,0.53,73779970.54,1339200
SH600877,2023-11-17,0.46,65432759.1,-602952
SH600877,2023-11-20,0.53,74471045.88,586872
SH600877,2023-11-21,0.52,71538669.41,-35977
SH600877,2023-11-22,0.55,73199598.82,216949
SH600877,2023-11-23,0.61,84916816.16,627618
SH600877,2023-11-24,0.47,64770493.2,-1308300
SH600877,2023-11-27,0.44,62642805.3,-311855
SH600877,2023-11-28,0.3,43200372.27,-1265200
SH600877,2023-11-29,0.33,47009834.01,302800
SH600877,2023-11-30,0.3,41279032.44,-339003
SH600877,2023-12-01,0.3,42713437.11,37681
SH600877,2023-12-04,0.28,38682539.42,-248300
SH600877,2023-12-05,0.18,25137800.82,-858150
SH600877,2023-12-06,0.21,28104320.5,214100
SH600877,2023-12-07,0.2,27062759.68,-16158
SH600877,2023-12-08,0.28,35754312.09,670700
SH600877,2023-12-11,0.31,41551184.56,356213
SH600877,2023-12-12,0.29,38359509.12,-243800
SH600877,2023-12-13,0.3,39433405.76,83600
SH600877,2023-12-14,0.28,36989539.08,-135302
SH600877,2023-12-15,0.29,38112731.28,61100
SH600877,2023-12-18,0.3,38052671.25,52885
SH600877,2023-12-19,0.29,37464716.52,-64385
SH600877,2023-12-20,0.29,37170211.22,36064
SH600877,2023-12-21,0.33,42861945.88,371300
SH600877,2023-12-22,0.33,42505322.04,-16900
SH600877,2023-12-27,0.24,31117366.84,-790262
SH600877,2023-12-28,0.34,44282242.62,891683
SH600877,2023-12-29,0.34,44594216.22,-7389
SH600877,2024-01-02,0.29,37776725.0,-469828
SH600877,2024-01-03,0.26,33094321.5,-289700
SH600877,2024-01-04,0.26,32738004.0,-6600
SH600877,2024-01-05,0.19,23795419.5,-617400
SH600877,2024-01-08,0.26,31454872.5,643800
SH600877,2024-01-09,0.25,30944046.0,-52800
SH600877,2024-01-10,0.25,30339484.0,-39500
SH600877,2024-01-11,0.24,29426150.0,-92000
SH600877,2024-01-12,0.23,28316451.5,-56500
SH600877,2024-01-15,0.26,30700476.5,193300
SH600877,2024-01-16,0.4,45834473.5,1293000
SH600877,2024-01-17,0.39,44561926.5,-7500
SH600877,2024-01-18,0.44,49701312.5,371400
SH600877,2024-01-19,0.41,45447641.5,-273100
SH600877,2024-01-22,0.42,44221048.17,125757
SH600877,2024-01-23,0.45,48253845.57,275162
SH600877,2024-01-24,0.36,39023170.71,-818100
SH600877,2024-01-25,0.42,47140105.6,516071
SH600877,2024-01-26,0.37,41796480.0,-400000
SH600877,2024-01-29,0.37,39949580.43,-42077
SH600877,2024-01-30,0.38,39527981.01,66400
SH600877,2024-01-31,0.4,39534654.32,208300
SH600877,2024-02-01,0.47,45243306.0,617987
SH600877,2024-02-02,0.5,46156117.68,286582
SH600877,2024-02-05,0.52,44117163.44,190800
SH600877,2024-02-06,0.57,53830365.12,529282
SH600877,2024-02-07,0.54,55155242.6,-280200
SH600877,2024-02-08,0.58,61978638.12,292100
SH600877,2024-02-19,0.47,50675038.96,-938012
SH600877,2024-02-20,0.49,52119176.94,145656
SH600877,2024-02-21,0.5,53353500.04,75546
SH600877,2024-02-22,0.52,58034422.15,221033
SH600877,2024-02-23,0.54,60527933.48,170800
SH600877,2024-02-26,0.58,65195247.7,360800
SH600877,2024-02-27,0.65,75847222.22,622044
SH600877,2024-02-28,0.59,64829583.71,-548448
SH600877,2024-02-29,0.59,68629402.52,55200
SH600877,2024-03-01,0.56,65916360.09,-338800
SH600877,2024-03-04,0.55,65227704.03,-37946
SH600877,2024-03-05,0.49,59417640.88,-530495
SH600877,2024-03-06,0.38,45578889.12,-1026346
SH600877,2024-03-07,0.41,47816588.16,285410
SH600877,2024-03-08,0.47,54725476.68,498900
