instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SZ003028,2023-06-19,0.01,834074.96,
SZ003028,2023-06-20,0.1,4909185.12,98200.0
SZ003028,2023-06-21,0.13,6076824.08,31400.0
SZ003028,2023-06-26,0.16,7266012.0,36300.0
SZ003028,2023-06-27,0.18,8120772.4,15200.0
SZ003028,2023-06-28,0.2,8870194.64,22600.0
SZ003028,2023-06-29,0.27,12717452.8,81600.0
SZ003028,2023-06-30,0.33,15649817.48,68600.0
SZ003028,2023-07-03,0.27,13123496.64,-66100.0
SZ003028,2023-07-04,0.38,18207626.2,118700.0
SZ003028,2023-07-05,0.37,17304639.68,-14500.0
SZ003028,2023-07-06,0.42,19693728.08,64900.0
SZ003028,2023-07-07,0.42,18907649.28,-6500.0
SZ003028,2023-07-10,0.41,18517280.64,-8800.0
SZ003028,2023-07-11,0.46,21144804.8,58800.0
SZ003028,2023-07-12,0.33,15445872.0,-149513.0
SZ003028,2023-07-13,0.32,15016357.35,-6200.0
SZ003028,2023-07-14,0.3,13959444.15,-22700.0
SZ003028,2023-07-18,0.31,13586882.8,2100.0
SZ003028,2023-07-19,0.29,12586971.3,-17900.0
SZ003028,2023-07-20,0.29,12340706.03,1528.0
SZ003028,2023-07-21,0.28,11511026.03,-13700.0
SZ003028,2023-07-24,0.31,12702714.1,31700.0
SZ003028,2023-07-25,0.35,14644298.04,44600.0
SZ003028,2023-07-26,0.29,11994659.01,-65400.0
SZ003028,2023-07-27,0.31,12584133.43,20300.0
SZ003028,2023-07-28,0.32,13392366.4,18300.0
SZ003028,2023-07-31,0.36,14818308.07,35600.0
SZ003028,2023-08-01,0.31,12966869.76,-50200.0
SZ003028,2023-08-02,0.29,12316874.99,-17600.0
SZ003028,2023-08-03,0.29,11922317.16,-8800.0
SZ003028,2023-08-04,0.3,12856567.1,18100.0
SZ003028,2023-08-07,0.26,11259622.01,-43700.0
SZ003028,2023-08-08,0.28,12235817.59,21900.0
SZ003028,2023-08-09,0.24,10636500.51,-43022.0
SZ003028,2023-08-10,0.27,11641418.65,25000.0
SZ003028,2023-08-11,0.22,9515564.54,-54300.0
SZ003028,2023-08-14,0.22,9858820.86,6800.0
SZ003028,2023-08-15,0.17,7765166.82,-54492.0
SZ003028,2023-08-16,0.14,6332966.31,-35100.0
SZ003028,2023-08-17,0.19,8733910.31,56500.0
SZ003028,2023-08-18,0.08,3644588.64,-122000.0
SZ003028,2023-08-21,0.1,4146589.49,21200.0
SZ003028,2023-08-22,0.13,5646123.63,28500.0
SZ003028,2023-08-23,0.2,8614038.72,77900.0
SZ003028,2023-08-24,0.16,6801710.0,-42379.0
SZ003028,2023-08-25,0.15,6087005.2,-11100.0
SZ003028,2023-08-28,0.13,5039673.1,-26100.0
SZ003028,2023-08-29,0.32,13390503.0,214300.0
SZ003028,2023-08-30,0.36,15348255.6,41700.0
SZ003028,2023-08-31,0.39,16899879.6,36100.0
SZ003028,2023-09-04,0.42,18135970.2,34300.0
SZ003028,2023-09-05,0.43,18727932.6,9400.0
SZ003028,2023-09-06,0.51,22376897.4,85800.0
SZ003028,2023-09-07,0.48,20808416.2,-31100.0
SZ003028,2023-09-11,0.48,21118794.6,4100.0
SZ003028,2023-09-12,0.54,23362749.9,66700.0
SZ003028,2023-09-13,0.47,19744192.4,-86700.0
SZ003028,2023-09-14,0.49,20663700.0,29802.0
SZ003028,2023-09-15,0.45,18979397.36,-48000.0
SZ003028,2023-09-18,0.47,20113375.52,21300.0
SZ003028,2023-09-19,0.44,18534659.22,-31651.0
SZ003028,2023-09-20,0.38,15844380.63,-67100.0
SZ003028,2023-09-21,0.37,15286118.34,-14000.0
SZ003028,2023-09-22,0.42,17912737.04,61800.0
SZ003028,2023-09-27,0.41,17476521.91,-17900.0
SZ003028,2023-09-28,0.38,16675532.51,-27800.0
SZ003028,2023-10-11,0.43,18585642.0,71000.0
SZ003028,2023-10-12,0.47,20687890.0,49300.0
SZ003028,2023-10-13,0.45,19877991.6,-19600.0
SZ003028,2023-10-16,0.38,16245681.2,-83200.0
SZ003028,2023-10-17,0.33,14148398.8,-54000.0
SZ003028,2023-10-18,0.31,13248852.8,-16600.0
SZ003028,2023-10-19,0.32,13336822.2,5900.0
SZ003028,2023-10-20,0.31,12917952.0,-9500.0
SZ003028,2023-10-24,0.31,12887627.2,-1200.0
SZ003028,2023-10-25,0.29,11940864.0,-24400.0
SZ003028,2023-10-26,0.32,13561534.0,39100.0
SZ003028,2023-10-27,0.31,13355665.6,-12300.0
SZ003028,2023-10-30,0.47,20578670.51,177327.0
SZ003028,2023-10-31,0.49,21229490.02,17700.0
SZ003028,2023-11-01,0.5,22012042.59,12800.0
SZ003028,2023-11-02,0.48,20906725.11,-19300.0
SZ003028,2023-11-03,0.53,23618552.79,51100.0
SZ003028,2023-11-06,0.55,25093303.08,29600.0
SZ003028,2023-11-07,0.6,26944755.31,47600.0
SZ003028,2023-11-08,0.61,27174015.26,8200.0
SZ003028,2023-11-09,0.61,27411454.77,7100.0
SZ003028,2023-11-10,0.67,30015660.51,68300.0
SZ003028,2023-11-13,0.71,31843562.8,36500.0
SZ003028,2023-11-14,0.76,34410762.45,64600.0
SZ003028,2023-11-15,0.82,37412481.37,61700.0
SZ003028,2023-11-16,0.86,38653541.17,44400.0
SZ003028,2023-11-17,0.88,40152245.21,19700.0
SZ003028,2023-11-20,0.96,44146088.4,92900.0
SZ003028,2023-11-21,0.97,43845583.5,11100.0
SZ003028,2023-11-22,0.93,41309274.79,-49100.0
SZ003028,2023-11-23,0.92,42399204.12,-3400.0
SZ003028,2023-11-24,0.96,42820280.0,40400.0
SZ003028,2023-11-27,0.94,42614383.5,-18300.0
SZ003028,2023-11-28,1.0,45588768.66,63524.0
SZ003028,2023-11-29,1.01,46220571.0,11600.0
SZ003028,2023-11-30,1.04,47009716.67,31400.0
SZ003028,2023-12-01,1.01,45650381.7,-37100.0
SZ003028,2023-12-04,0.98,44254720.74,-30000.0
SZ003028,2023-12-05,1.04,45372041.54,61700.0
SZ003028,2023-12-06,1.02,45278829.18,-15100.0
SZ003028,2023-12-07,1.02,45048124.84,-1800.0
SZ003028,2023-12-08,1.05,45818603.48,36000.0
SZ003028,2023-12-11,1.05,46435524.84,-1000.0
SZ003028,2023-12-12,1.07,46749158.47,16000.0
SZ003028,2023-12-13,1.08,46992156.72,13800.0
SZ003028,2023-12-14,1.08,46671073.15,6300.0
SZ003028,2023-12-15,1.04,45028660.18,-46400.0
SZ003028,2023-12-18,1.06,45131983.47,15100.0
SZ003028,2023-12-19,1.11,47643576.53,57100.0
SZ003028,2023-12-20,1.09,46703909.71,-17400.0
SZ003028,2023-12-21,1.19,50899860.81,105800.0
SZ003028,2023-12-22,1.13,53357969.16,-62100.0
SZ003028,2023-12-27,0.33,15511903.05,-886300.0
SZ003028,2023-12-28,0.21,10713025.89,-130900.0
SZ003028,2023-12-29,0.29,14591834.86,88750.0
SZ003028,2024-01-02,0.24,12218769.49,-55300.0
SZ003028,2024-01-03,0.29,14250894.93,51500.0
SZ003028,2024-01-04,0.07,3533787.57,-248800.0
SZ003028,2024-01-05,0.08,4226804.52,19900.0
SZ003028,2024-01-08,0.14,6869395.4,59800.0
SZ003028,2024-01-09,0.17,8754489.4,38008.0
SZ003028,2024-01-10,0.16,8058296.05,-15000.0
SZ003028,2024-01-11,0.17,8654949.66,11300.0
SZ003028,2024-01-12,0.08,4188069.06,-96400.0
SZ003028,2024-01-15,0.04,2201171.69,-46400.0
SZ003028,2024-01-16,0.21,10268872.55,189300.0
SZ003028,2024-01-17,0.47,21094192.92,284600.0
SZ003028,2024-01-18,0.59,25965905.47,138200.0
SZ003028,2024-01-19,0.55,23465988.7,-49200.0
SZ003028,2024-01-22,0.55,21774150.6,2400.0
SZ003028,2024-01-23,0.46,17983239.01,-102600.0
SZ003028,2024-01-24,0.32,12638332.78,-151600.0
SZ003028,2024-01-25,0.24,9599265.1,-93500.0
SZ003028,2024-01-26,0.23,8985967.75,-8800.0
SZ003028,2024-01-29,0.18,6849075.39,-54200.0
SZ003028,2024-01-30,0.16,5991647.24,-23700.0
SZ003028,2024-01-31,0.22,7511781.2,63200.0
SZ003028,2024-02-01,0.17,6568620.52,-50010.0
SZ003028,2024-02-02,0.07,3143658.87,-105400.0
SZ003028,2024-02-05,0.08,3203895.4,9800.0
SZ003028,2024-02-06,0.24,9161384.9,178500.0
SZ003028,2024-02-07,0.12,4284368.43,-143600.0
SZ003028,2024-02-08,0.22,8552929.5,114732.0
SZ003028,2024-02-19,0.27,10563385.0,53900.0
SZ003028,2024-02-20,0.19,7402342.8,-89100.0
SZ003028,2024-02-21,0.12,4928268.3,-73100.0
SZ003028,2024-02-22,0.15,6005319.53,27808.0
SZ003028,2024-02-23,0.17,7167599.04,30800.0
SZ003028,2024-02-26,0.13,5581745.8,-52100.0
SZ003028,2024-02-27,0.13,5703467.12,2100.0
SZ003028,2024-02-28,0.1,3974011.65,-35800.0
SZ003028,2024-02-29,0.23,9324211.98,143600.0
SZ003028,2024-03-01,0.23,9558803.18,800.0
SZ003028,2024-03-04,0.28,11546673.02,54748.0
SZ003028,2024-03-05,0.36,14799789.51,95356.0
SZ003028,2024-03-06,0.27,11878135.5,-98400.0
SZ003028,2024-03-07,0.23,9936668.25,-45300.0
SZ003028,2024-03-08,0.35,14609949.12,127000.0
SZ003028,2024-03-11,0.32,13958304.75,-25300.0
SZ003028,2024-03-12,0.3,13205964.73,-22000.0
SZ003028,2024-03-13,0.27,11911824.43,-32800.0
SZ003028,2024-03-14,0.24,10222803.91,-42300.0
SZ003028,2024-03-15,0.29,12548141.25,56000.0
SZ003028,2024-03-18,0.26,11780904.87,-27000.0
SZ003028,2024-03-19,0.31,13558790.29,48800.0
SZ003028,2024-03-20,0.31,13745860.05,3700.0
SZ003028,2024-03-21,0.37,16122566.63,66100.0
SZ003028,2024-03-22,0.34,14706160.93,-27500.0
SZ003028,2024-03-25,0.39,15911877.13,50300.0
SZ003028,2024-03-26,0.39,16001822.34,-3509.0
SZ003028,2024-03-27,0.28,11387982.6,-117500.0
SZ003028,2024-03-28,0.29,12281018.26,13900.0
SZ003028,2024-04-02,0.31,13699717.2,13100.0
SZ003028,2024-04-03,0.28,12652122.04,-26800.0
SZ003028,2024-04-08,0.26,11222726.51,-28243.0
SZ003028,2024-04-09,0.28,12656143.08,31400.0
SZ003028,2024-04-10,0.23,10294296.48,-55800.0
SZ003028,2024-04-11,0.27,11486661.94,36400.0
SZ003028,2024-04-12,0.22,10145616.39,-48100.0
SZ003028,2024-04-15,0.23,10532451.6,12900.0
SZ003028,2024-04-16,0.19,7960071.0,-53021.0
SZ003028,2024-04-17,0.27,12122377.0,99000.0
SZ003028,2024-04-18,0.26,11563473.0,-19500.0
SZ003028,2024-04-19,0.24,10659912.0,-16000.0
SZ003028,2024-04-22,0.24,10541700.0,-200.0
SZ003028,2024-04-23,0.24,10946203.5,-2800.0
SZ003028,2024-04-24,0.17,7824127.5,-77700.0
SZ003028,2024-04-25,0.18,8206971.5,10300.0
SZ003028,2024-04-26,0.11,5357447.5,-73800.0
SZ003028,2024-04-29,0.1,4834890.61,-12009.0
SZ003028,2024-04-30,0.18,8479245.97,85516.0
SZ003028,2024-05-06,0.15,7385882.4,-28892.0
SZ003028,2024-05-07,0.15,7396638.75,300.0
SZ003028,2024-05-08,0.14,6626402.21,-17608.0
SZ003028,2024-05-09,0.21,10133736.47,83400.0
SZ003028,2024-05-10,0.27,12704322.12,65700.0
SZ003028,2024-05-13,0.3,13692539.62,28100.0
SZ003028,2024-05-14,0.27,12857440.27,-24000.0
SZ003028,2024-05-16,0.33,14770586.43,56600.0
SZ003028,2024-05-17,0.32,14404093.55,-10600.0
SZ003028,2024-05-20,0.31,14216578.09,-6600.0
SZ003028,2024-05-21,0.31,14087917.41,-1100.0
SZ003028,2024-05-22,0.31,14562297.75,6300.0
SZ003028,2024-05-23,0.33,14835325.05,16800.0
SZ003028,2024-05-24,0.34,15030965.82,8700.0
SZ003028,2024-05-27,0.43,19271937.95,106900.0
SZ003028,2024-05-28,0.42,18476310.98,-17700.0
SZ003028,2024-05-29,0.43,18954517.83,11600.0
SZ003028,2024-05-30,0.44,19508428.65,19008.0
SZ003028,2024-05-31,0.46,20979558.6,21300.0
SZ003028,2024-06-03,0.4,18279140.1,-66300.0
SZ003028,2024-06-04,0.41,18351724.5,9300.0
SZ003028,2024-06-05,0.36,15877255.5,-56700.0
SZ003028,2024-06-06,0.4,16447088.35,44200.0
SZ003028,2024-06-07,0.38,16053642.65,-20700.0
SZ003028,2024-06-11,0.42,17932873.35,43300.0
SZ003028,2024-06-12,0.43,18540162.08,12897.0
SZ003028,2024-06-13,0.43,18454016.0,-4330.0
SZ003028,2024-06-14,0.42,17917409.4,-13500.0
SZ003028,2024-06-17,0.43,18558347.64,12800.0
SZ003028,2024-06-18,0.43,18593068.92,400.0
SZ003028,2024-06-19,0.39,16579256.12,-48000.0
SZ003028,2024-06-20,0.32,13484419.52,-76400.0
SZ003028,2024-06-21,0.33,13704681.12,12900.0
SZ003028,2024-06-24,0.28,11057620.0,-57900.0
SZ003028,2024-06-25,0.27,10789511.6,-8100.0
SZ003028,2024-06-26,0.28,11550555.25,13463.0
SZ003028,2024-06-27,0.27,10790234.05,-16400.0
SZ003028,2024-06-28,0.29,11928467.7,25900.0
SZ003028,2024-07-02,0.25,10380050.1,-42300.0
SZ003028,2024-07-03,0.27,10643101.14,16203.0
SZ003028,2024-07-04,0.21,8112441.54,-67700.0
SZ003028,2024-07-05,0.23,9114069.24,28100.0
SZ003028,2024-07-08,0.22,8525894.84,-11200.0
SZ003028,2024-07-09,0.24,9396794.88,18000.0
SZ003028,2024-07-10,0.23,9123881.14,-6900.0
SZ003028,2024-07-11,0.27,10977907.22,45200.0
SZ003028,2024-07-12,0.21,8675028.6,-67200.0
SZ003028,2024-07-15,0.24,9370298.28,25800.0
SZ003028,2024-07-16,0.21,8353843.74,-31000.0
SZ003028,2024-07-17,0.2,7883178.36,-11400.0
SZ003028,2024-07-18,0.21,8380841.42,14500.0
SZ003028,2024-07-19,0.22,8869244.3,10000.0
SZ003028,2024-07-22,0.21,8435538.36,-15400.0
SZ003028,2024-07-23,0.18,7070389.02,-31975.0
SZ003028,2024-07-24,0.19,7360626.6,11700.0
SZ003028,2024-07-25,0.19,7663930.82,6406.0
SZ003028,2024-07-26,0.21,8326573.2,19931.0
SZ003028,2024-07-29,0.17,6515344.5,-49650.0
SZ003028,2024-07-30,0.13,5124636.06,-40428.0
SZ003028,2024-07-31,0.1,4147367.14,-35569.0
SZ003028,2024-08-01,0.1,4168796.22,3400.0
SZ003028,2024-08-02,0.08,3171723.36,-26246.0
SZ003028,2024-08-05,0.05,2188093.64,-26600.0
SZ003028,2024-08-06,0.08,3354868.0,33858.0
SZ003028,2024-08-07,0.1,3774921.5,12900.0
SZ003028,2024-08-08,0.07,2849253.0,-26884.0
SZ003028,2024-08-09,0.06,2508313.99,-8900.0
SZ003028,2024-08-12,0.07,2654846.76,4600.0
SZ003028,2024-08-13,0.08,3249731.88,17400.0
SZ003028,2024-08-14,0.07,2691358.81,-16400.0
SZ003028,2024-08-15,0.07,2731631.42,700.0
SZ003028,2024-08-16,0.09,3523705.95,23200.0
