instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_pct_chg,nb_net_buy_ratio
SZ300354,2024-08-16,,,,
SZ301179,2024-08-16,,,,
SH601330,2024-08-16,,,,
SZ002662,2024-08-16,,,,
SH600081,2024-08-16,,,,
SH603678,2024-08-16,,,,
SH603712,2024-08-16,,,,
SZ000601,2024-08-16,,,,
SH600987,2024-08-16,,,,
SH600313,2024-08-16,,,,
SZ001269,2024-08-16,,,,
SH603223,2024-08-16,,,,
SZ002908,2024-08-16,,,,
SZ300203,2024-08-16,,,,
SZ300590,2024-08-16,,,,
SH605365,2024-08-16,,,,
SH601519,2024-08-16,,,,
SH601089,2024-08-16,,,,
SZ301303,2024-08-16,,,,
SH688698,2024-08-16,,,,
SZ300796,2024-08-16,,,,
SH601098,2024-08-16,,,,
SH601187,2024-08-16,,,,
SH603258,2024-08-16,,,,
SZ002752,2024-08-16,,,,
SH601065,2024-08-16,,,,
SH600751,2024-08-16,,,,
SZ002950,2024-08-16,,,,
SH603989,2024-08-16,,,,
SH600017,2024-08-16,,,,
SH601811,2024-08-16,,,,
SZ301558,2024-08-16,,,,
SH600279,2024-08-16,,,,
SZ000735,2024-08-16,,,,
SH600425,2024-08-16,,,,
SH603181,2024-08-16,,,,
SH603466,2024-08-16,,,,
SH688305,2024-08-16,,,,
SH688088,2024-08-16,,,,
SH600846,2024-08-16,,,,
SH601699,2024-08-16,,,,
SZ001239,2024-08-16,,,,
SH603567,2024-08-16,,,,
SZ000409,2024-08-16,,,,
SH688133,2024-08-16,,,,
SZ002793,2024-08-16,,,,
SH603896,2024-08-16,,,,
SH600764,2024-08-16,,,,
SZ300702,2024-08-16,,,,
SH600299,2024-08-16,,,,
SZ002803,2024-08-16,,,,
SZ002855,2024-08-16,,,,
SH600456,2024-08-16,,,,
SH688776,2024-08-16,,,,
SZ300607,2024-08-16,,,,
SH603387,2024-08-16,,,,
SH603227,2024-08-16,,,,
SH688525,2024-08-16,,,,
SH688383,2024-08-16,,,,
SH603138,2024-08-16,,,,
SZ301439,2024-08-16,,,,
SZ301488,2024-08-16,,,,
SH688478,2024-08-16,,,,
SH603125,2024-08-16,,,,
SH688523,2024-08-16,,,,
SZ002293,2024-08-16,,,,
SH688019,2024-08-16,,,,
SH601778,2024-08-16,,,,
SH688234,2024-08-16,,,,
SH688190,2024-08-16,,,,
SZ300809,2024-08-16,,,,
SZ300012,2024-08-16,,,,
SZ002354,2024-08-16,,,,
SH600338,2024-08-16,,,,
SZ301149,2024-08-16,,,,
SZ002658,2024-08-16,,,,
SH688433,2024-08-16,,,,
SZ001215,2024-08-16,,,,
SH688289,2024-08-16,,,,
SH603848,2024-08-16,,,,
SZ002758,2024-08-16,,,,
SZ002346,2024-08-16,,,,
SZ002649,2024-08-16,,,,
SH688570,2024-08-16,,,,
SZ300795,2024-08-16,,,,
SZ002965,2024-08-16,,,,
SH603912,2024-08-16,,,,
SH688119,2024-08-16,,,,
SZ002911,2024-08-16,,,,
SH600307,2024-08-16,,,,
SH600569,2024-08-16,,,,
SZ301246,2024-08-16,,,,
SH688351,2024-08-16,,,,
SH688531,2024-08-16,,,,
SZ301101,2024-08-16,,,,
SH601003,2024-08-16,,,,
SH603950,2024-08-16,,,,
SZ002056,2024-08-16,,,,
SH600172,2024-08-16,,,,
SZ300723,2024-08-16,,,,
SZ301311,2024-08-16,,,,
SZ003000,2024-08-16,,,,
SZ300523,2024-08-16,,,,
SZ002104,2024-08-16,,,,
SZ300138,2024-08-16,,,,
SH603636,2024-08-16,,,,
SZ300847,2024-08-16,,,,
SZ002222,2024-08-16,,,,
SZ300271,2024-08-16,,,,
SH688392,2024-08-16,,,,
SZ002389,2024-08-16,,,,
SH688173,2024-08-16,,,,
SZ001311,2024-08-16,,,,
SZ300792,2024-08-16,,,,
SH688569,2024-08-16,,,,
SZ002057,2024-08-16,,,,
SH688223,2024-08-16,,,,
SH605358,2024-08-16,,,,
SH603135,2024-08-16,,,,
SZ300846,2024-08-16,,,,
SH603209,2024-08-16,,,,
SH603260,2024-08-16,,,,
SH600837,2024-08-16,,,,
SH600231,2024-08-16,,,,
SH600809,2024-08-16,,,,
SH688677,2024-08-16,,,,
SZ300369,2024-08-16,,,,
SH605300,2024-08-16,,,,
SH600161,2024-08-16,,,,
SH603153,2024-08-16,,,,
SH600226,2024-08-16,,,,
SZ002115,2024-08-16,,,,
SH688696,2024-08-16,,,,
SZ000631,2024-08-16,,,,
SZ000756,2024-08-16,,,,
SH600282,2024-08-16,,,,
SH688368,2024-08-16,,,,
SH603515,2024-08-16,,,,
SH603528,2024-08-16,,,,
SH603108,2024-08-16,,,,
SZ301216,2024-08-16,,,,
SZ001378,2024-08-16,,,,
SZ300143,2024-08-16,,,,
SH600278,2024-08-16,,,,
SH600556,2024-08-16,,,,
SH603033,2024-08-16,,,,
SH605060,2024-08-16,,,,
SZ301391,2024-08-16,,,,
SH601686,2024-08-16,,,,
SH605077,2024-08-16,,,,
SH603855,2024-08-16,,,,
SH688349,2024-08-16,,,,
SZ300174,2024-08-16,,,,
SH603070,2024-08-16,,,,
SH600935,2024-08-16,,,,
SZ000036,2024-08-16,,,,
SH688121,2024-08-16,,,,
SZ301266,2024-08-16,,,,
SH603009,2024-08-16,,,,
SZ002540,2024-08-16,,,,
SZ300358,2024-08-16,,,,
SZ000523,2024-08-16,,,,
SH600681,2024-08-16,,,,
SH603707,2024-08-16,,,,
SH600229,2024-08-16,,,,
SH688343,2024-08-16,,,,
SZ002438,2024-08-16,,,,
SH688568,2024-08-16,,,,
SH688202,2024-08-16,,,,
SH688268,2024-08-16,,,,
SZ002810,2024-08-16,,,,
SZ003009,2024-08-16,,,,
SZ000950,2024-08-16,,,,
SZ002390,2024-08-16,,,,
SH688114,2024-08-16,,,,
SZ000534,2024-08-16,,,,
SZ002102,2024-08-16,,,,
SH688403,2024-08-16,,,,
SZ301371,2024-08-16,,,,
SH688102,2024-08-16,,,,
SZ002837,2024-08-16,,,,
SH603255,2024-08-16,,,,
SZ300352,2024-08-16,,,,
SZ300444,2024-08-16,,,,
SZ300848,2024-08-16,,,,
SH600054,2024-08-16,,,,
SH603867,2024-08-16,,,,
SZ002677,2024-08-16,,,,
SZ301307,2024-08-16,,,,
SZ002356,2024-08-16,,,,
SH601965,2024-08-16,,,,
SZ000513,2024-08-16,,,,
SZ002441,2024-08-16,,,,
SH600790,2024-08-16,,,,
SZ300474,2024-08-16,,,,
SH600826,2024-08-16,,,,
SZ000731,2024-08-16,,,,
SZ301566,2024-08-16,,,,
SZ300127,2024-08-16,,,,
SH605286,2024-08-16,,,,
SH603132,2024-08-16,,,,
SZ301039,2024-08-16,,,,
SZ300378,2024-08-16,,,,
SH603667,2024-08-16,,,,
SH605266,2024-08-16,,,,
SH603357,2024-08-16,,,,
SH600828,2024-08-16,,,,
SZ000923,2024-08-16,,,,
SZ300119,2024-08-16,,,,
SZ301103,2024-08-16,,,,
SZ003032,2024-08-16,,,,
SZ000526,2024-08-16,,,,
SH688097,2024-08-16,,,,
SH605050,2024-08-16,,,,
SH600685,2024-08-16,,,,
SH603057,2024-08-16,,,,
SZ002401,2024-08-16,,,,
SZ002768,2024-08-16,,,,
SH688146,2024-08-16,,,,
SH603281,2024-08-16,,,,
SH603992,2024-08-16,,,,
SH600867,2024-08-16,,,,
SZ002520,2024-08-16,,,,
SZ300589,2024-08-16,,,,
SZ000607,2024-08-16,,,,
SH603815,2024-08-16,,,,
SH601061,2024-08-16,,,,
SH603698,2024-08-16,,,,
SH688739,2024-08-16,,,,
SZ300256,2024-08-16,,,,
SZ301207,2024-08-16,,,,
SH605089,2024-08-16,,,,
SZ301382,2024-08-16,,,,
SZ002741,2024-08-16,,,,
SZ000423,2024-08-16,,,,
SZ300304,2024-08-16,,,,
SZ002841,2024-08-16,,,,
SZ301205,2024-08-16,,,,
SH605507,2024-08-16,,,,
SH600618,2024-08-16,,,,
SH688697,2024-08-16,,,,
SZ300253,2024-08-16,,,,
SH603383,2024-08-16,,,,
SH603970,2024-08-16,,,,
SZ000722,2024-08-16,,,,
SH601038,2024-08-16,,,,
SH601133,2024-08-16,,,,
SZ001313,2024-08-16,,,,
SH688091,2024-08-16,,,,
SZ300286,2024-08-16,,,,
SH603877,2024-08-16,,,,
SZ002059,2024-08-16,,,,
SH605008,2024-08-16,,,,
SH600123,2024-08-16,,,,
SZ300617,2024-08-16,,,,
SZ002866,2024-08-16,,,,
SH605186,2024-08-16,,,,
SH603010,2024-08-16,,,,
SZ300586,2024-08-16,,,,
SH600320,2024-08-16,,,,
SZ300978,2024-08-16,,,,
SZ002703,2024-08-16,,,,
SH603868,2024-08-16,,,,
SZ300360,2024-08-16,,,,
SH603610,2024-08-16,,,,
SH688072,2024-08-16,,,,
SZ002190,2024-08-16,,,,
SH603060,2024-08-16,,,,
SH600939,2024-08-16,,,,
SZ002166,2024-08-16,,,,
SZ000096,2024-08-16,,,,
SH600308,2024-08-16,,,,
SZ003013,2024-08-16,,,,
SH600869,2024-08-16,,,,
SZ002321,2024-08-16,,,,
SH688231,2024-08-16,,,,
SH603638,2024-08-16,,,,
SH600251,2024-08-16,,,,
SH603039,2024-08-16,,,,
SZ300559,2024-08-16,,,,
SH603889,2024-08-16,,,,
SZ000936,2024-08-16,,,,
SZ301332,2024-08-16,,,,
SH605599,2024-08-16,,,,
SH688508,2024-08-16,,,,
SZ000582,2024-08-16,,,,
SH600435,2024-08-16,,,,
SH603277,2024-08-16,,,,
SH600186,2024-08-16,,,,
SH603919,2024-08-16,,,,
SH600965,2024-08-16,,,,
SH600180,2024-08-16,,,,
SZ002048,2024-08-16,,,,
SH600982,2024-08-16,,,,
SZ300579,2024-08-16,,,,
SZ300788,2024-08-16,,,,
SZ000906,2024-08-16,,,,
SH600876,2024-08-16,,,,
SZ002833,2024-08-16,,,,
SZ002299,2024-08-16,,,,
SZ002099,2024-08-16,,,,
SZ300134,2024-08-16,,,,
SH600551,2024-08-16,,,,
SZ001227,2024-08-16,,,,
SZ300278,2024-08-16,,,,
SZ000681,2024-08-16,,,,
SH688239,2024-08-16,,,,
SH603690,2024-08-16,,,,
SZ002912,2024-08-16,,,,
SZ000011,2024-08-16,,,,
SH600694,2024-08-16,,,,
SZ301456,2024-08-16,,,,
SZ002444,2024-08-16,,,,
SZ002174,2024-08-16,,,,
SZ002088,2024-08-16,,,,
SZ002838,2024-08-16,,,,
SZ002181,2024-08-16,,,,
SZ001914,2024-08-16,,,,
SZ000620,2024-08-16,,,,
SH600641,2024-08-16,,,,
SZ300471,2024-08-16,,,,
SH688099,2024-08-16,,,,
SH600874,2024-08-16,,,,
SZ002279,2024-08-16,,,,
SZ300024,2024-08-16,,,,
SZ300406,2024-08-16,,,,
SH600783,2024-08-16,,,,
SH603111,2024-08-16,,,,
SZ301048,2024-08-16,,,,
SZ300383,2024-08-16,,,,
SH600903,2024-08-16,,,,
SH600917,2024-08-16,,,,
SH600252,2024-08-16,,,,
SH600742,2024-08-16,,,,
SH600897,2024-08-16,,,,
SH688220,2024-08-16,,,,
SZ300821,2024-08-16,,,,
SZ300324,2024-08-16,,,,
SZ300718,2024-08-16,,,,
SH605368,2024-08-16,,,,
SZ300019,2024-08-16,,,,
SZ300057,2024-08-16,,,,
SZ002746,2024-08-16,,,,
SH603098,2024-08-16,,,,
SZ002733,2024-08-16,,,,
SH603881,2024-08-16,,,,
SZ000786,2024-08-16,,,,
SH600814,2024-08-16,,,,
SH600525,2024-08-16,,,,
SZ300133,2024-08-16,,,,
SZ300128,2024-08-16,,,,
SZ000755,2024-08-16,,,,
SZ002062,2024-08-16,,,,
SZ000019,2024-08-16,,,,
SZ301162,2024-08-16,,,,
SZ000524,2024-08-16,,,,
SZ002041,2024-08-16,,,,
SZ000717,2024-08-16,,,,
SH603800,2024-08-16,,,,
SH688660,2024-08-16,,,,
SZ002423,2024-08-16,,,,
SZ000905,2024-08-16,,,,
SH600330,2024-08-16,,,,
SH601199,2024-08-16,,,,
SH605577,2024-08-16,,,,
SZ300080,2024-08-16,,,,
SH600797,2024-08-16,,,,
SZ000852,2024-08-16,,,,
SH603777,2024-08-16,,,,
SH600746,2024-08-16,,,,
SH600879,2024-08-16,,,,
SZ301536,2024-08-16,,,,
SH688147,2024-08-16,,,,
SH688356,2024-08-16,,,,
SZ002930,2024-08-16,,,,
SH603031,2024-08-16,,,,
SZ002170,2024-08-16,,,,
SH688819,2024-08-16,,,,
SH603123,2024-08-16,,,,
SZ000589,2024-08-16,,,,
SZ002996,2024-08-16,,,,
SZ002158,2024-08-16,,,,
SH605555,2024-08-16,,,,
SH688107,2024-08-16,,,,
SZ000557,2024-08-16,,,,
SZ000848,2024-08-16,,,,
SH600197,2024-08-16,,,,
SH688152,2024-08-16,,,,
SZ000505,2024-08-16,,,,
SZ301376,2024-08-16,,,,
SH603529,2024-08-16,,,,
SH601279,2024-08-16,,,,
SH603053,2024-08-16,,,,
SH600648,2024-08-16,,,,
SZ000498,2024-08-16,,,,
SZ002210,2024-08-16,,,,
SH603659,2024-08-16,,,,
SH603112,2024-08-16,,,,
SZ000881,2024-08-16,,,,
SH605198,2024-08-16,,,,
SZ002386,2024-08-16,,,,
SH688507,2024-08-16,,,,
SH605366,2024-08-16,,,,
SH600118,2024-08-16,,,,
SZ000912,2024-08-16,,,,
SH600861,2024-08-16,,,,
SZ002724,2024-08-16,,,,
SZ300791,2024-08-16,,,,
SZ002003,2024-08-16,,,,
SH603008,2024-08-16,,,,
SH603995,2024-08-16,,,,
SZ300672,2024-08-16,,,,
SZ300516,2024-08-16,,,,
SZ300765,2024-08-16,,,,
SH600055,2024-08-16,,,,
SH603565,2024-08-16,,,,
SH600316,2024-08-16,,,,
SH688700,2024-08-16,,,,
SZ002014,2024-08-16,,,,
SZ002641,2024-08-16,,,,
SZ000156,2024-08-16,,,,
SH600620,2024-08-16,,,,
SH600230,2024-08-16,,,,
SZ002146,2024-08-16,,,,
SZ301267,2024-08-16,,,,
SZ300982,2024-08-16,,,,
SH600433,2024-08-16,,,,
SZ301017,2024-08-16,,,,
SZ002206,2024-08-16,,,,
SH688375,2024-08-16,,,,
SZ300815,2024-08-16,,,,
SH603938,2024-08-16,,,,
SZ301286,2024-08-16,,,,
SH601008,2024-08-16,,,,
SH603489,2024-08-16,,,,
SH600500,2024-08-16,,,,
SH605337,2024-08-16,,,,
SZ000719,2024-08-16,,,,
SZ300048,2024-08-16,,,,
SZ300725,2024-08-16,,,,
SH600429,2024-08-16,,,,
SZ000507,2024-08-16,,,,
SZ000157,2024-08-16,,,,
SZ000553,2024-08-16,,,,
SZ000751,2024-08-16,,,,
SH605020,2024-08-16,,,,
SZ002009,2024-08-16,,,,
SH603291,2024-08-16,,,,
SZ301047,2024-08-16,,,,
SH600515,2024-08-16,,,,
SZ002367,2024-08-16,,,,
SH688711,2024-08-16,,,,
SH600748,2024-08-16,,,,
SH603666,2024-08-16,,,,
SZ300619,2024-08-16,,,,
SH605338,2024-08-16,,,,
SZ002419,2024-08-16,,,,
SZ300729,2024-08-16,,,,
SH600332,2024-08-16,,,,
SZ002427,2024-08-16,,,,
SZ002344,2024-08-16,,,,
SZ002726,2024-08-16,,,,
SH605319,2024-08-16,,,,
SZ002545,2024-08-16,,,,
SH600775,2024-08-16,,,,
SZ000917,2024-08-16,,,,
SH603032,2024-08-16,,,,
SZ000937,2024-08-16,,,,
SH600221,2024-08-16,,,,
SH603711,2024-08-16,,,,
SZ002573,2024-08-16,,,,
SZ300288,2024-08-16,,,,
SH603893,2024-08-16,,,,
SZ300678,2024-08-16,,,,
SH688550,2024-08-16,,,,
SH605123,2024-08-16,,,,
SH600189,2024-08-16,,,,
SZ301073,2024-08-16,,,,
SZ002203,2024-08-16,,,,
SZ300298,2024-08-16,,,,
SZ002307,2024-08-16,,,,
SH600449,2024-08-16,,,,
SZ000410,2024-08-16,,,,
SH600619,2024-08-16,,,,
SZ002135,2024-08-16,,,,
SH600458,2024-08-16,,,,
SZ002818,2024-08-16,,,,
SZ001213,2024-08-16,,,,
SH603901,2024-08-16,,,,
SH600724,2024-08-16,,,,
SH600217,2024-08-16,,,,
SH600603,2024-08-16,,,,
SZ002959,2024-08-16,,,,
SZ300887,2024-08-16,,,,
SH603191,2024-08-16,,,,
SH600955,2024-08-16,,,,
SZ002334,2024-08-16,,,,
SH688789,2024-08-16,,,,
SH603858,2024-08-16,,,,
SZ301069,2024-08-16,,,,
SZ002824,2024-08-16,,,,
SZ002149,2024-08-16,,,,
SZ300258,2024-08-16,,,,
SH600400,2024-08-16,,,,
SZ002242,2024-08-16,,,,
SH603668,2024-08-16,,,,
SH600108,2024-08-16,,,,
SH603920,2024-08-16,,,,
SH600373,2024-08-16,,,,
SZ002516,2024-08-16,,,,
SZ301345,2024-08-16,,,,
SZ002075,2024-08-16,,,,
SH600510,2024-08-16,,,,
SZ301368,2024-08-16,,,,
SZ002623,2024-08-16,,,,
SZ301596,2024-08-16,,,,
SZ301217,2024-08-16,,,,
SZ000822,2024-08-16,,,,
SZ002263,2024-08-16,,,,
SZ002478,2024-08-16,,,,
SH601789,2024-08-16,,,,
SZ002552,2024-08-16,,,,
SZ002169,2024-08-16,,,,
SZ301087,2024-08-16,,,,
SH603366,2024-08-16,,,,
SZ002208,2024-08-16,,,,
SZ000541,2024-08-16,,,,
SZ002458,2024-08-16,,,,
SH601700,2024-08-16,,,,
SZ002302,2024-08-16,,,,
SZ000713,2024-08-16,,,,
SH600866,2024-08-16,,,,
SH600990,2024-08-16,,,,
SZ000555,2024-08-16,,,,
SH600936,2024-08-16,,,,
SH600850,2024-08-16,,,,
SZ300532,2024-08-16,,,,
SZ300229,2024-08-16,,,,
SZ002777,2024-08-16,,,,
SZ301268,2024-08-16,,,,
SH688006,2024-08-16,,,,
SH601106,2024-08-16,,,,
SZ300291,2024-08-16,,,,
SH600750,2024-08-16,,,,
SZ301031,2024-08-16,,,,
SZ002215,2024-08-16,,,,
SH600178,2024-08-16,,,,
SZ000623,2024-08-16,,,,
SZ300639,2024-08-16,,,,
SH600269,2024-08-16,,,,
SZ002101,2024-08-16,,,,
SZ002095,2024-08-16,,,,
SZ300191,2024-08-16,,,,
SH600267,2024-08-16,,,,
SH600821,2024-08-16,,,,
SH600997,2024-08-16,,,,
SH603859,2024-08-16,,,,
SH603299,2024-08-16,,,,
SZ300850,2024-08-16,,,,
SZ002110,2024-08-16,,,,
SZ002300,2024-08-16,,,,
SH600590,2024-08-16,,,,
SZ301004,2024-08-16,,,,
SZ002534,2024-08-16,,,,
SH600938,2024-08-16,,,,
SZ300261,2024-08-16,,,,
SH605376,2024-08-16,,,,
SH688262,2024-08-16,,,,
SH688106,2024-08-16,,,,
SH600973,2024-08-16,,,,
SH688233,2024-08-16,,,,
SH605222,2024-08-16,,,,
SZ002445,2024-08-16,,,,
SH600862,2024-08-16,,,,
SH601121,2024-08-16,,,,
SH600121,2024-08-16,,,,
SH600981,2024-08-16,,,,
SH605168,2024-08-16,,,,
SZ000721,2024-08-16,,,,
SH600927,2024-08-16,,,,
SH603313,2024-08-16,,,,
SZ001328,2024-08-16,,,,
SZ000680,2024-08-16,,,,
SZ002214,2024-08-16,,,,
SH603983,2024-08-16,,,,
SZ300520,2024-08-16,,,,
SH688337,2024-08-16,,,,
SZ002637,2024-08-16,,,,
SZ000888,2024-08-16,,,,
SH600388,2024-08-16,,,,
SH603069,2024-08-16,,,,
SH603611,2024-08-16,,,,
SZ002581,2024-08-16,,,,
SH603566,2024-08-16,,,,
SZ300990,2024-08-16,,,,
SZ000761,2024-08-16,,,,
SH600057,2024-08-16,,,,
SH600268,2024-08-16,,,,
SH600162,2024-08-16,,,,
SH603733,2024-08-16,,,,
SH603693,2024-08-16,,,,
SZ000999,2024-08-16,,,,
SH600403,2024-08-16,,,,
SZ000564,2024-08-16,,,,
SH601022,2024-08-16,,,,
SZ002672,2024-08-16,,,,
SZ002537,2024-08-16,,,,
SZ002978,2024-08-16,,,,
SZ002051,2024-08-16,,,,
SH601515,2024-08-16,,,,
SZ300755,2024-08-16,,,,
SH600127,2024-08-16,,,,
SH603308,2024-08-16,,,,
SZ000058,2024-08-16,,,,
SZ000789,2024-08-16,,,,
SZ300775,2024-08-16,,,,
SH688559,2024-08-16,,,,
SZ300503,2024-08-16,,,,
SZ002515,2024-08-16,,,,
SH600744,2024-08-16,,,,
SZ000885,2024-08-16,,,,
SH688562,2024-08-16,,,,
SH600022,2024-08-16,,,,
SZ000503,2024-08-16,,,,
SZ002678,2024-08-16,,,,
SZ002216,2024-08-16,,,,
SH603708,2024-08-16,,,,
SZ301095,2024-08-16,,,,
SH688439,2024-08-16,,,,
SZ301215,2024-08-16,,,,
SZ300569,2024-08-16,,,,
SZ002238,2024-08-16,,,,
SH600584,2024-08-16,,,,
SH600780,2024-08-16,,,,
SZ002375,2024-08-16,,,,
SH600881,2024-08-16,,,,
SH600084,2024-08-16,,,,
SH601028,2024-08-16,,,,
SZ000981,2024-08-16,,,,
SH600758,2024-08-16,,,,
SH688031,2024-08-16,,,,
SZ002140,2024-08-16,,,,
SZ000887,2024-08-16,,,,
SZ000517,2024-08-16,,,,
SH688798,2024-08-16,,,,
SH600651,2024-08-16,,,,
SZ001323,2024-08-16,,,,
SZ002332,2024-08-16,,,,
SH603113,2024-08-16,,,,
SH600378,2024-08-16,,,,
SH601860,2024-08-16,,,,
SH603416,2024-08-16,,,,
SZ002664,2024-08-16,,,,
SH600151,2024-08-16,,,,
SH688503,2024-08-16,,,,
SH601069,2024-08-16,,,,
SZ002258,2024-08-16,,,,
SZ002539,2024-08-16,,,,
SZ000516,2024-08-16,,,,
SZ002935,2024-08-16,,,,
SZ002265,2024-08-16,,,,
SH600169,2024-08-16,,,,
SH688327,2024-08-16,,,,
SZ300267,2024-08-16,,,,
SH603093,2024-08-16,,,,
SH688680,2024-08-16,,,,
SH601777,2024-08-16,,,,
SH600855,2024-08-16,,,,
SH688469,2024-08-16,,,,
SH601005,2024-08-16,,,,
SH603719,2024-08-16,,,,
SZ002243,2024-08-16,,,,
SZ002434,2024-08-16,,,,
SZ300236,2024-08-16,,,,
SZ300470,2024-08-16,,,,
SZ300226,2024-08-16,,,,
SH603170,2024-08-16,,,,
SZ000544,2024-08-16,,,,
SH605377,2024-08-16,,,,
SZ002946,2024-08-16,,,,
SH600502,2024-08-16,,,,
SH600770,2024-08-16,,,,
SZ300770,2024-08-16,,,,
SZ301305,2024-08-16,,,,
SH600366,2024-08-16,,,,
SH600682,2024-08-16,,,,
SZ300655,2024-08-16,,,,
SH601609,2024-08-16,,,,
SH603303,2024-08-16,,,,
SZ000670,2024-08-16,,,,
SZ000665,2024-08-16,,,,
SH688321,2024-08-16,,,,
SH600395,2024-08-16,,,,
SZ301508,2024-08-16,,,,
SZ002034,2024-08-16,,,,
SZ000652,2024-08-16,,,,
SH600223,2024-08-16,,,,
SZ001322,2024-08-16,,,,
SH600918,2024-08-16,,,,
SH603178,2024-08-16,,,,
SZ002896,2024-08-16,,,,
SH603456,2024-08-16,,,,
SZ300529,2024-08-16,,,,
SH600120,2024-08-16,,,,
SH688206,2024-08-16,,,,
SZ300688,2024-08-16,,,,
SZ002884,2024-08-16,,,,
SH603918,2024-08-16,,,,
SH600158,2024-08-16,,,,
SZ002985,2024-08-16,,,,
SH600617,2024-08-16,,,,
SH603876,2024-08-16,,,,
SZ000898,2024-08-16,,,,
SH688297,2024-08-16,,,,
SZ002484,2024-08-16,,,,
SH603713,2024-08-16,,,,
SZ300709,2024-08-16,,,,
SH688390,2024-08-16,,,,
SH605098,2024-08-16,,,,
SZ301315,2024-08-16,,,,
SZ300785,2024-08-16,,,,
SH600581,2024-08-16,,,,
SZ300041,2024-08-16,,,,
SZ002549,2024-08-16,,,,
SH601226,2024-08-16,,,,
SZ002536,2024-08-16,,,,
SH688387,2024-08-16,,,,
SZ000862,2024-08-16,,,,
SZ002530,2024-08-16,,,,
SH688520,2024-08-16,,,,
SZ002150,2024-08-16,,,,
SZ002468,2024-08-16,,,,
SZ003021,2024-08-16,,,,
SH600335,2024-08-16,,,,
SZ000501,2024-08-16,,,,
SH600184,2024-08-16,,,,
SH600029,2024-08-16,,,,
SH600195,2024-08-16,,,,
SH601588,2024-08-16,,,,
SH600422,2024-08-16,,,,
SZ002116,2024-08-16,,,,
SZ300129,2024-08-16,,,,
SZ002267,2024-08-16,,,,
SH688052,2024-08-16,,,,
SH603156,2024-08-16,,,,
SZ300820,2024-08-16,,,,
SZ002379,2024-08-16,,,,
SZ000595,2024-08-16,,,,
SH600726,2024-08-16,,,,
SZ002221,2024-08-16,,,,
SZ000566,2024-08-16,,,,
SZ001258,2024-08-16,,,,
SH600643,2024-08-16,,,,
SZ300409,2024-08-16,,,,
SH603208,2024-08-16,,,,
SZ002065,2024-08-16,,,,
SZ002759,2024-08-16,,,,
SH600094,2024-08-16,,,,
SH605016,2024-08-16,,,,
SZ000797,2024-08-16,,,,
SZ000021,2024-08-16,,,,
SZ300160,2024-08-16,,,,
SH603871,2024-08-16,,,,
SZ003038,2024-08-16,,,,
SZ300224,2024-08-16,,,,
SZ002191,2024-08-16,,,,
SZ002326,2024-08-16,,,,
SZ300382,2024-08-16,,,,
SH600720,2024-08-16,,,,
SZ002690,2024-08-16,,,,
SZ002157,2024-08-16,,,,
SZ301058,2024-08-16,,,,
SH600133,2024-08-16,,,,
SZ002011,2024-08-16,,,,
SZ002353,2024-08-16,,,,
SH600248,2024-08-16,,,,
SZ002179,2024-08-16,,,,
SZ300953,2024-08-16,,,,
SH600810,2024-08-16,,,,
SZ000886,2024-08-16,,,,
SZ300005,2024-08-16,,,,
SH600933,2024-08-16,,,,
SZ002929,2024-08-16,,,,
SH600486,2024-08-16,,,,
SZ300054,2024-08-16,,,,
SZ002542,2024-08-16,,,,
SH600380,2024-08-16,,,,
SH603025,2024-08-16,,,,
SZ002292,2024-08-16,,,,
SZ002043,2024-08-16,,,,
SH600658,2024-08-16,,,,
SZ002483,2024-08-16,,,,
SZ002987,2024-08-16,,,,
SH603533,2024-08-16,,,,
SZ002698,2024-08-16,,,,
SH600206,2024-08-16,,,,
SH600662,2024-08-16,,,,
SH600736,2024-08-16,,,,
SZ301325,2024-08-16,,,,
SH600391,2024-08-16,,,,
SZ300435,2024-08-16,,,,
SZ002489,2024-08-16,,,,
SZ000029,2024-08-16,,,,
SZ002303,2024-08-16,,,,
SZ300696,2024-08-16,,,,
SH688275,2024-08-16,,,,
SH601882,2024-08-16,,,,
SH603612,2024-08-16,,,,
SZ300663,2024-08-16,,,,
SH601326,2024-08-16,,,,
SZ000958,2024-08-16,,,,
SH688295,2024-08-16,,,,
SZ002979,2024-08-16,,,,
SH600996,2024-08-16,,,,
SH603026,2024-08-16,,,,
SH600771,2024-08-16,,,,
SZ000559,2024-08-16,,,,
SZ301175,2024-08-16,,,,
SH600657,2024-08-16,,,,
SZ000546,2024-08-16,,,,
SZ002984,2024-08-16,,,,
SZ300587,2024-08-16,,,,
SZ300217,2024-08-16,,,,
SH601228,2024-08-16,,,,
SZ301035,2024-08-16,,,,
SZ300525,2024-08-16,,,,
SZ003037,2024-08-16,,,,
SZ300343,2024-08-16,,,,
SZ300185,2024-08-16,,,,
SH601568,2024-08-16,,,,
SH601015,2024-08-16,,,,
SH600376,2024-08-16,,,,
SH600645,2024-08-16,,,,
SZ002096,2024-08-16,,,,
SZ002918,2024-08-16,,,,
SZ002882,2024-08-16,,,,
SZ301370,2024-08-16,,,,
SZ301029,2024-08-16,,,,
SH688348,2024-08-16,,,,
SH600976,2024-08-16,,,,
SH603230,2024-08-16,,,,
SH600125,2024-08-16,,,,
SZ002006,2024-08-16,,,,
SH600925,2024-08-16,,,,
SH688100,2024-08-16,,,,
