instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SZ300222,2023-01-12,0.15,7681258.59,0
SZ300222,2023-01-13,0.15,7693021.62,0
SZ300222,2023-01-19,0.15,7896692.16,-100
SZ300222,2023-01-20,0.15,7982402.79,-2944
SZ300222,2023-02-02,0.14,9025907.48,-100
SZ300222,2023-02-03,0.14,9071897.84,-100
SZ300222,2023-02-08,0.14,8912567.97,0
SZ300222,2023-02-09,0.14,9006299.28,-1100
SZ300222,2023-02-10,0.14,8938069.74,0
SZ300222,2023-02-13,0.14,8869840.2,0
SZ300222,2023-02-14,0.14,8858468.61,0
SZ300222,2023-02-15,0.14,8983556.1,0
SZ300222,2023-02-16,0.14,8790239.07,0
SZ300222,2023-02-17,0.14,8619665.22,0
SZ300222,2023-02-23,0.13,8203282.46,-104000
SZ300222,2023-02-24,0.13,8108948.94,-2797
SZ300222,2023-03-01,0.13,8142251.04,-2300
SZ300222,2023-03-02,0.13,8245057.24,0
SZ300222,2023-03-08,0.13,7854393.68,0
SZ300222,2023-03-09,0.13,7895516.16,0
SZ300222,2023-03-15,0.19,11419091.58,-31400
SZ300222,2023-03-16,0.23,13321174.36,304000
SZ300222,2023-03-22,0.26,16203243.48,293300
SZ300222,2023-03-23,0.23,14203124.76,-299161
SZ300222,2023-03-29,0.35,21866626.08,-157653
SZ300222,2023-03-30,0.37,22989215.36,197456
SZ300222,2023-04-03,0.48,30492543.64,737000
SZ300222,2023-04-04,0.4,24784075.89,-641993
SZ300222,2023-04-12,0.46,28147521.31,377200
SZ300222,2023-04-13,0.45,26748425.28,-84473
SZ300222,2023-04-19,0.4,23386057.14,-152858
SZ300222,2023-04-20,0.43,24673676.4,222222
SZ300222,2023-04-26,0.32,17356633.45,-142111
SZ300222,2023-04-27,0.35,18581296.72,217463
SZ300222,2023-05-04,0.24,14130030.16,-977829
SZ300222,2023-05-10,0.29,17623699.46,160982
SZ300222,2023-05-11,0.34,21000610.4,462095
SZ300222,2023-05-17,0.29,19948292.12,300706
SZ300222,2023-05-18,0.68,45808266.6,3019088
SZ300222,2023-05-24,0.82,57083284.15,17184
SZ300222,2023-05-25,0.93,62861970.08,823343
SZ300222,2023-05-31,1.18,80056070.05,1285029
SZ300222,2023-06-01,1.22,81859243.09,296800
SZ300222,2023-06-07,1.13,74777885.04,-697000
SZ300222,2023-06-08,1.24,79769707.68,812800
SZ300222,2023-06-09,1.23,80737636.3,-35166
SZ300222,2023-06-14,1.12,73405498.28,268171
SZ300222,2023-06-15,1.22,83256371.28,788143
SZ300222,2023-06-21,0.42,30130141.23,-6079182
SZ300222,2023-06-28,0.59,39930863.29,213066
