instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SH600105,2017-03-16,0.03,2773250.4,
SH600105,2017-03-17,0.02,1749104.0,-100800.0
SH600105,2017-03-20,0.02,1677074.4,-7000.0
SH600105,2017-03-21,0.02,1848348.8,17900.0
SH600105,2017-03-22,0.02,1554739.2,-28100.0
SH600105,2017-03-23,0.02,1752854.4,19800.0
SH600105,2017-03-24,0.01,1429032.6,-33300.0
SH600105,2017-03-27,0.02,1607004.0,16200.0
SH600105,2017-03-28,0.02,1558911.6,-8400.0
SH600105,2017-03-29,0.02,1758807.2,19600.0
SH600105,2017-03-30,0.02,1852739.4,11400.0
SH600105,2017-03-31,0.02,1871255.2,-200.0
SH600105,2017-04-05,0.02,1878710.4,0.0
SH600105,2017-04-06,0.02,1815325.6,-7000.0
SH600105,2017-04-07,0.02,1839958.2,4800.0
SH600105,2017-04-10,0.02,1860012.6,6200.0
SH600105,2017-04-11,0.02,2042252.8,15700.0
SH600105,2017-04-12,0.03,2279284.0,26500.0
SH600105,2017-04-18,0.03,2186944.4,-3100.0
SH600105,2017-04-19,0.03,2695019.1,60307.0
SH600105,2017-04-20,0.03,2389738.45,-34200.0
SH600105,2017-04-21,0.02,2033789.1,-36900.0
SH600105,2017-04-24,0.03,2589801.78,71000.0
SH600105,2017-04-25,0.04,3319529.96,75900.0
SH600105,2017-04-26,0.03,2683186.71,-78000.0
SH600105,2017-04-27,0.03,2425920.4,-23900.0
SH600105,2017-04-28,0.03,2161684.57,-26400.0
SH600105,2017-05-04,0.04,2900431.05,79700.0
SH600105,2017-05-05,0.03,2599439.01,-29120.0
SH600105,2017-05-08,0.03,2710188.33,13600.0
SH600105,2017-05-09,0.03,2717629.64,3200.0
SH600105,2017-05-10,0.04,2868450.81,35600.0
SH600105,2017-05-11,0.04,2822476.74,3100.0
SH600105,2017-05-12,0.04,2743610.41,-10000.0
SH600105,2017-05-15,0.04,2786796.47,-2000.0
SH600105,2017-05-16,0.04,3187714.83,44100.0
SH600105,2017-05-17,0.04,2703144.16,-56700.0
SH600105,2017-05-18,0.04,2785114.47,12400.0
SH600105,2017-05-19,0.04,3004626.78,29100.0
SH600105,2017-05-22,0.05,3108956.05,21200.0
SH600105,2017-05-23,0.06,3754619.6,95613.0
SH600105,2017-05-24,0.06,4032303.6,30128.0
SH600105,2017-05-25,0.06,4060692.48,-3400.0
SH600105,2017-05-26,0.06,3813625.08,-27700.0
SH600105,2017-05-31,0.05,3440164.42,-47694.0
SH600105,2017-06-01,0.05,3572928.06,26157.0
SH600105,2017-06-02,0.05,3519767.48,-7900.0
SH600105,2017-06-05,0.05,3367057.61,-21000.0
SH600105,2017-06-06,0.05,3536846.97,12600.0
SH600105,2017-06-07,0.05,3418091.07,-19900.0
SH600105,2017-06-08,0.05,3188299.62,-30500.0
SH600105,2017-06-09,0.04,2772923.3,-52166.0
SH600105,2017-06-12,0.03,2449692.45,-32900.0
SH600105,2017-06-13,0.04,2564728.8,11500.0
SH600105,2017-06-14,0.04,2528746.1,1000.0
SH600105,2017-06-15,0.04,2692840.8,14700.0
SH600105,2017-06-16,0.03,2325550.5,-42900.0
SH600105,2017-06-19,0.03,2389400.7,6073.0
