instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ002627,2021-03-31,115.6859,2.4415,0.2611,0.59,35.0358,0.0266,0.3598,0.1433,19.0442,0.59,628.053,,135.712666326821,4.7258,0.3598,2.5688,0.2826,318.4713,27.9417,10.0103820007
SZ002627,2021-06-30,52.217,4.4875,0.487,2.22,36.1947,0.0912,15.755,0.2758,30.0828,2.22,652.6468,1.4313,263.815683255855,5.9835,1.315,4.9731,0.5585,322.2919,10.7162,12.7956165889
SZ002627,2021-09-30,18.8178,4.3292,0.5846,2.9,39.6365,0.0953,1.4899,0.3551,63.3862,2.17,760.3492,,507.8931,4.2596,1.4899,6.8119,0.6628,407.3627,7.0427,12.828689715
SZ002627,2021-12-31,11.69,5.3193,0.7733,4.06,40.672,0.157,14.2553,0.4715,97.2924,3.37,763.5207,2.5812,107.0493,3.7002,2.41,8.8513,0.8814,408.4411,5.0411,14.8503557848
SZ002627,2022-03-31,-16.552,3.2522,0.1569,0.45,39.1423,0.0227,0.3422,0.1062,30.9271,0.45,847.4576,,11.1562,2.9101,0.3422,2.2993,0.1923,468.0187,16.8294,11.8347127299
SZ002627,2022-06-30,-3.646,-0.3717,0.3395,-0.19,32.065,-0.0056,12.8573,0.2365,61.4562,-0.19,761.0994,1.2835,-107.9821,2.9289,-0.0899,5.6136,0.4406,408.5338,0.297862986402,6.9634510328
SZ002627,2022-09-30,-2.9011,0.6659,0.486,0.21,33.6423,0.0142,0.2468,0.3481,75.5387,0.22,775.6392,,-85.0652,3.5743,0.2468,8.0256,0.6722,401.6662,44.9413,7.1251276548
SZ002627,2022-12-31,-12.4281,0.2528,0.5907,0.14,40.5922,0.0065,13.4828,0.4151,110.3467,0.14,867.2609,2.1475,-95.8378,3.2624,0.11,8.8687,0.7952,452.7163,104.5048,5.4476078051
SZ002627,2023-03-31,-9.3024,4.2774,0.1434,0.67,45.3355,0.0271,0.4377,0.1044,22.103,0.66,862.069,,19.2891,4.0718,0.4377,1.9852,0.2075,433.7349,2.8529,8.071533948
SZ002627,2023-06-30,-21.6539,7.0001,0.2666,1.99,51.3084,0.0826,14.8756,0.199,31.9673,1.96,904.5226,0.9596,1111.55954271433,5.6308,1.3939,3.5082,0.4077,441.5011,1.4297,13.9586560032
SZ002627,2023-09-30,-18.7951,8.0924,0.391,3.4,51.7886,0.1405,2.3734,0.2929,48.9918,3.35,921.8163,,886.8861,5.5111,2.3734,5.2135,0.6021,448.4305,2.1181,16.4719626214
SZ002627,2023-12-31,-16.0955,7.4646,0.4906,4.24,32.2928,0.1618,17.4249,0.3708,91.6255,4.17,970.8738,1.6548,2377.3128,3.929,2.8117,11.148,0.7872,457.3171,3.1709,15.2541576619
SZ002627,2024-03-31,-72.0426,7.5751,0.0392,0.31,6.5736,0.0134,0.2376,0.0311,7.3181,0.31,2893.8907,,-50.4892,12.2983,0.2376,13.6912,0.0697,1291.2482,-4.1187,20.2533702391
SZ002627,2024-06-30,-60.8646,16.4501,0.103,1.76,4.7132,0.076,17.2496,0.0813,15.9849,1.77,2214.0221,0.3343,-8.0328,11.2606,1.3547,38.1905,0.1839,978.7928,1.2984,32.074713754
SZ002627,2024-09-30,-56.5848,21.2379,0.1667,3.54,4.8536,0.1623,2.7894,0.1311,25.599,3.62,2059.4966,,13.9405,10.5473,2.7894,55.6284,0.2974,907.8682,1.5253,33.703607964
SZ002627,2024-12-31,-53.6806,16.1244,0.2227,3.8,4.6143,0.165,18.6324,0.1748,37.8938,3.81,2059.4966,0.6879,0.055,9.5002,2.8244,78.0191,0.399,902.2556,2.8471,31.351008399
SZ002627,2025-03-31,7.5559,12.3626,0.0424,0.54,5.814,0.024,0.4171,0.0335,5.2101,0.54,2686.5672,,75.5316,17.2741,0.4171,15.48,0.0791,1137.8003,0.9324,23.8897308455
SZ002627,2025-06-30,7.4725,18.0136,0.1109,2.04,4.9566,0.0911,18.6692,0.0874,12.3919,2.07,2059.4966,0.3249,17.687,14.5256,1.589,36.3154,0.2084,863.7236,1.8531,34.0050471594
SZ002627,2025-09-30,9.4768,13.9661,0.1838,2.77,4.7482,0.1174,2.0854,0.1466,20.4441,2.77,1841.7462,,-28.0078,13.2067,2.0854,56.8637,0.36,750.0,2.347,35.9132345101
SZ002627,2025-12-31,2.1015,7.9079,0.2292,2.08,5.9055,0.0826,19.7032,0.1834,30.5294,2.08,1962.9226,0.6735,-49.9262,11.7919,1.4878,60.9606,0.4844,743.1874,4.3157,34.4641535875
SZ002627,2026-03-31,7.0379,8.5917,0.0457,0.46,10.0828,0.0178,0.3323,0.038,5.4666,0.46,2368.4211,,-25.6112,16.4636,0.3323,8.9261,0.1189,756.9386,0.5983,27.0910177167
