instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ300657,2021-03-31,87.2056,2.5408,0.4642,1.42,50.2232,0.0565,0.389,0.1583,0.7338,1.5,568.5407,,172.867518970077,122.6492,0.389,1.792,0.2644,340.3933,-5.5951,10.5436851888
SZ300657,2021-06-30,42.7353,-4.4261,0.9755,-3.66,49.939,-0.2009,11.6048,0.3267,1.5161,-3.95,550.9642,1.2668,-2287.1619,118.7257,-1.4136,3.6044,0.561,320.8556,0.049882289193,6.3472383306
SZ300657,2021-09-30,20.9582,-7.9706,1.3694,-11.29,49.4433,-0.4197,-3.8,0.4874,2.2345,-10.22,553.9598,,-349.3818,120.8324,-3.8,5.4608,0.8485,318.2086,0.043704802132,4.1818789523
SZ300657,2021-12-31,21.1516,-8.874,1.906,-17.44,42.6808,-0.6371,8.9983,0.6772,3.019,-16.64,531.6007,2.233,-411.489,119.2448,-5.9105,8.4347,1.2172,295.7608,0.030061332238,3.9478099815
SZ300657,2022-03-31,2.2143,-4.462,0.4659,-2.29,44.7984,-0.0779,-0.7249,0.1622,0.7181,-2.32,554.8705,,-279.504,125.3307,-0.7249,2.009,0.3316,271.4113,0.139141084613,4.6297810897
SZ300657,2022-06-30,-3.285,-2.2989,0.8171,-2.28,46.0311,-0.0775,16.3184,0.3059,1.3486,-2.28,588.4276,0.8526,25.85510800627,133.4717,-0.6884,3.9104,0.6487,277.478,0.171070945323,8.0505649099
SZ300657,2022-09-30,-5.7472,-5.0934,1.1359,-6.67,44.4657,-0.2273,-2.2566,0.4487,2.0629,-5.69,601.7384,,37.500494127669,130.8837,-2.2566,6.0721,0.958,281.8372,0.113482538585,6.4679841517
SZ300657,2022-12-31,-12.6073,-11.5408,1.4934,-18.0,46.1959,-0.6598,12.4084,0.5712,2.6448,-17.84,630.2521,1.5724,-14.996726663074,136.1162,-6.471,7.7929,1.1679,308.2456,0.036037486683,4.7951534784
SZ300657,2023-03-31,-17.6655,-12.9814,0.3178,-4.42,46.4157,-0.17,-1.7034,0.1298,0.6739,-4.51,693.3744,,-107.527868665853,133.551,-1.7034,1.939,0.2694,334.0757,-0.149044598794,2.7410603489
SZ300657,2023-06-30,-1.4339,-13.3961,0.7561,-11.06,38.7614,-0.4055,17.3223,0.2996,1.4369,-11.71,600.8011,0.8231,-332.306247395562,125.2697,-4.0501,4.6438,0.6169,291.7815,0.030217164181,2.3794094786
SZ300657,2023-09-30,12.6846,-10.9889,1.2797,-15.08,37.5036,-0.5527,-5.1262,0.4795,2.2717,-16.31,563.0865,,-119.514716562635,118.8537,-5.1262,7.1993,0.946,285.4123,0.056699867198,3.2240073589
SZ300657,2023-12-31,24.5637,-14.1716,1.9325,-28.91,61.3392,-1.0093,10.6511,0.6524,2.8643,-34.22,551.8087,1.9542,-41.561702367126,125.6852,-8.6735,5.869,1.2134,296.687,0.041048151743,2.385234341
SZ300657,2024-03-31,161.0758,4.7767,1.0536,2.18,40.4149,0.1633,1.4943,0.303,1.0731,2.16,297.0297,,137.72422074077,83.8692,1.4943,2.2269,0.525,171.4286,-1.9401,12.7864545952
SZ300657,2024-06-30,105.4638,3.4177,1.9202,3.79,38.52,0.2126,21.3645,0.5192,1.5977,3.72,346.6872,1.7216,127.200764392155,112.662,1.7247,4.6729,0.9004,199.9112,-0.7432,10.6081089726
SZ300657,2024-09-30,81.0987,2.6048,2.7734,4.21,45.143,0.2373,1.8598,0.7468,2.4931,4.12,361.5426,,122.62023657805,108.2989,1.8598,5.981,1.344,200.8929,0.5215,10.3290756418
SZ300657,2024-12-31,68.9073,1.8893,3.9798,4.6,53.5962,0.2273,19.6042,0.9561,3.5635,4.93,376.5297,2.6997,113.04538538578,101.0243,1.68,6.7169,1.7724,203.1144,1.8253,10.0409032665
SZ300657,2025-03-31,-4.966,0.9676,1.1188,0.59,44.2239,0.0314,0.2271,0.2374,0.8159,0.58,379.107,,-80.7498,110.3076,0.2271,2.0351,0.4668,192.8021,-19.1799,9.3016738315
SZ300657,2025-06-30,15.0072,2.4148,2.3997,4.56,53.5762,0.1748,18.4809,0.4823,1.6648,4.44,373.2117,1.353,-18.741,108.1211,1.0703,3.3597,0.8861,203.1373,-0.6051,12.072167422
SZ300657,2025-09-30,24.7472,2.2877,3.7487,7.51,43.4405,0.2631,1.6712,0.7815,2.4994,7.19,345.4894,,9.5619,108.0259,1.6712,6.2154,1.4651,184.2878,-1.5609,11.7215838932
SZ300657,2025-12-31,24.4703,2.7098,4.7994,11.92,42.6212,0.4106,21.3999,0.9944,3.2734,11.06,362.0274,2.7327,78.5303,109.9774,2.4461,8.4465,1.82,197.8022,0.3853,12.4523764451
SZ300657,2026-03-31,1.8548,3.4788,0.9414,2.81,54.1353,0.1166,0.6594,0.1944,0.6749,2.67,462.963,,266.2056,133.3531,0.6594,1.6625,0.3231,278.5515,-1.5444,12.7044638466
