instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920931,2023-03-31,0.474,104.492011781776,22.4743339521,576.400436398409,9.7066,0.2255,,1.4783,123.6264,4.57,399.1131,0.4222,189.8734,0.1242,2.8833,,1.4783,0.728,25.389402114465,4.47
BJ920931,2023-06-30,1.1137,7.0789,22.8157667821,492.149752252612,10.0806,0.519,,3.4691,131.0139,11.38,346.8208,1.0491,161.6234,0.3142,1.4297,,3.4691,1.3739,9.8398,11.8
BJ920931,2023-09-30,1.7681,38.387669297517,21.8958116241,493.869050022236,10.7601,0.8044,,5.3579,131.0362,18.74,335.6539,1.5747,152.7063,0.5208,0.1954,,5.3579,2.0605,29.991546511998,18.16
BJ920931,2023-12-31,2.7462,16.3132,21.4018529959,459.492161517457,10.7084,1.1764,,7.8422,100.0611,25.4,306.0184,2.1198,131.0902,0.7203,1.431,,7.8422,3.5978,19.5162,23.49
BJ920931,2024-03-31,0.7027,27.8849,24.1455125046,556.722016012098,9.8795,0.2443,,1.4841,110.4159,5.05,368.3995,0.3521,128.0774,0.1588,-2.7217,,1.4841,0.8151,25.6461,2.92
BJ920931,2024-06-30,1.5862,-7.0856,22.4543611058,588.62,9.1366,0.4542,0.3058,12.8319,136.3327,6.75,396.3012,0.6814,113.4788,0.2026,-1.4004,,2.4925,1.3203,2.5144,5.15
BJ920931,2024-09-30,2.412,-11.4887,22.7305090082,574.84805917448,9.9049,0.7216,,4.3357,139.204,9.58,374.1685,0.975,111.9403,0.3199,-0.2126,,4.3357,1.9396,-3.8464,7.89
BJ920931,2024-12-31,3.1853,-16.8417,22.699337777,577.9419,9.7377,0.9849,0.6229,17.5595,133.0426,11.78,365.5193,1.2703,113.0192,0.4157,0.584,,5.6698,2.7059,-8.552,10.01
BJ920931,2025-03-31,0.8811,-20.4171,22.21436147,725.2216,9.6605,0.2044,0.1241,1.2011,197.4117,2.1,440.3131,0.2054,102.145,0.0877,-3.3999,,1.2011,0.4559,-18.613,2.08
BJ920931,2025-06-30,1.898,-37.6527,20.4283545601,701.7544,6.6664,0.4272,0.2565,13.9771,212.6654,3.0,421.3483,0.4316,94.8367,0.1263,-5.6407,2.8846,1.6968,0.8464,-14.5499,3.03
BJ920931,2025-09-30,2.5252,-69.5223,17.057470358,793.1845,3.6609,0.5785,0.3404,1.1727,243.1118,2.35,466.7243,0.6087,106.9222,0.0975,-8.7224,,1.1727,1.1106,-17.5389,2.37
BJ920931,2025-12-31,2.4445,-73.7184,18.1122788778,870.6167,3.2937,0.692,0.4135,12.6783,239.1391,2.68,520.2312,0.7571,147.2694,0.1092,-3.5336,1.9156,1.2542,1.5054,-22.2982,2.68
BJ920931,2026-03-31,0.5166,-70.8106,14.7521872782,866.2175,2.8814,0.1824,0.1039,0.3051,251.5372,0.7,493.4211,0.202,174.216,0.0256,-18.6766,,0.3051,0.3578,-2.1375,0.69
