instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
SH601668,2021-03-31,0.1809,41.6674,0.6925,0.3408,8.7737185294,3.57,36.6017,170.778,53.4053,0.6266,0.6266,3.54,2.4589,3.5336,,0.2519,-3.2012,497.5124,0.527,357.2846
SH601668,2021-06-30,0.4123,21.6996,1.5902,0.9555,10.5211170582,8.13,33.1309,147.7469,28.6366,3.0832,1.7047,8.11,5.433,4.2789,23.4823,0.5722,-1.2411,436.5753,1.2183,314.5753
SH601668,2021-09-30,0.5863,18.4009,2.2404,1.3276,10.4876213419,11.89,35.4057,159.9242,24.2487,2.3512,2.3512,11.5,7.6259,4.1652,,0.8087,-0.7785,460.5151,1.6883,333.8692
SH601668,2021-12-31,0.8258,9.559,3.1087,1.8531,11.3455881774,15.93,32.4667,147.9533,17.1091,4.7092,3.2548,14.95,11.0883,4.1099,45.5479,1.1492,0.1848,435.9409,2.4332,313.2614
SH601668,2022-03-31,0.1985,16.762,0.7483,0.3981,8.1611459484,3.63,35.6648,147.7105,19.9414,0.6672,0.6672,3.62,2.5235,3.4399,,0.2755,-7.3348,453.4005,0.6093,326.6788
SH601668,2022-06-30,0.4256,2.7209,1.6323,0.9817,10.2185432074,7.99,34.6534,137.3312,13.2436,3.0209,1.5855,7.95,5.1943,3.8813,23.5803,0.5879,-1.6728,422.9323,1.3107,306.1745
SH601668,2022-09-30,0.6101,2.6838,2.3283,1.3637,9.8249502587,12.1,35.4764,145.1925,14.8257,2.1624,2.1624,11.71,7.6107,3.7248,,0.8466,-0.9179,442.5504,1.8596,318.9227
SH601668,2022-12-31,0.8153,-10.9616,3.1135,1.6505,10.4556810086,13.94,34.259,144.277,8.6559,4.1233,2.6089,13.26,10.5082,3.3679,43.8194,1.1452,0.0553,441.5553,2.4952,314.3556
SH601668,2023-03-31,0.1956,5.6842,0.7645,0.4208,8.0924416228,3.73,35.9095,146.1276,8.1141,0.6503,0.6503,3.73,2.5063,3.3626,,0.2754,-3.7072,460.1227,0.6159,326.7974
SH601668,2023-06-30,0.4062,-2.8234,1.6206,0.9541,9.5761654303,7.3,36.5816,137.3522,4.9532,2.9364,1.4142,7.32,4.9205,3.5937,21.9632,0.5731,-0.2639,443.1315,1.3105,314.0813
SH601668,2023-09-30,0.6071,-0.7511,2.3878,1.3539,8.9279708935,10.78,37.1563,139.2758,8.8563,1.9897,1.9897,10.49,7.2666,3.3961,,0.8573,-0.2881,444.7373,1.9386,314.9423
SH601668,2023-12-31,0.8155,6.2532,3.2102,1.7543,9.8345856091,13.36,37.1935,138.1587,10.2419,4.1043,2.533,12.69,9.6791,3.246,43.9646,1.1548,0.15,441.447,2.6057,311.7423
SH601668,2024-03-31,0.1872,1.1555,0.7425,0.4289,8.0863446506,3.38,42.6581,144.1615,4.6665,0.6018,0.6018,3.37,2.1098,3.2498,,0.2652,-5.4109,480.7692,0.6243,339.3665
SH601668,2024-06-30,0.3752,0.5028,1.5369,0.9661,9.4434489288,6.79,44.785,140.9002,2.812,2.7667,1.2574,6.61,4.0192,3.513,21.7192,0.525,-2.705,479.7441,1.2775,342.8571
SH601668,2024-09-30,0.5266,-8.0901,2.1523,1.2536,8.8271254388,9.04,51.3045,147.5732,-2.6747,1.5935,1.5935,8.7,5.2627,3.2071,,0.7372,-1.4763,512.7231,1.8296,366.2507
SH601668,2024-12-31,0.718,-14.6891,2.9113,1.5077,9.8579289586,10.37,47.3049,143.1981,-3.4597,3.5421,1.9671,9.99,7.6102,2.8685,41.1515,1.0107,0.2514,501.3928,2.514,356.1888
SH601668,2025-03-31,0.1722,0.585,0.7096,0.4346,7.8520293127,3.18,54.935,138.8032,1.0964,0.5505,0.5505,3.15,1.6383,3.2334,,0.2402,-5.3381,522.6481,0.6484,374.6878
SH601668,2025-06-30,0.3364,0.1583,1.4046,0.9747,9.4251142509,6.44,55.958,138.6963,-3.1724,2.7051,1.1846,6.29,3.2167,3.6339,20.6008,0.4674,-2.0567,535.0773,1.2978,385.1091
SH601668,2025-09-30,0.4721,-5.412,1.9622,1.1941,8.7201222791,8.03,63.2719,151.8816,-4.2004,1.4459,1.4459,7.77,4.2673,3.1665,,0.6527,-1.4081,571.9127,1.7777,413.6663
SH601668,2025-12-31,0.6169,-14.632,2.6125,1.2962,9.8976469764,8.15,63.3379,152.3616,-4.801,2.9814,1.5041,7.95,5.6838,2.5722,38.8635,0.8524,0.3835,583.563,2.3628,422.3369
SH601668,2026-03-31,0.1427,-8.8907,0.6164,0.3959,7.9268484254,2.77,75.4211,156.7671,-7.8321,0.4527,0.4527,2.75,1.1933,3.1962,,0.1946,-4.7059,630.6938,0.5741,462.4872
