instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920651,2023-03-31,0.2967,19.068305024905,59.2441530578,1025.16155703171,22.3336,0.1417,,1.9954,192.431,3.05,635.1447,0.1364,303.3367,0.1967,-0.2392,,1.9954,0.4677,28.313959028331,3.0
BJ920651,2023-06-30,0.7571,18.8761,56.0116535577,995.5752,24.0299,0.2717,0.1808,9.1786,174.7573,7.61,662.4954,0.267,237.7493,0.4143,0.2866,,3.8908,1.03,23.0146,5.4
BJ920651,2023-09-30,1.4325,7.626,53.4848568266,826.923172376692,25.432,0.4876,,7.4595,156.0333,15.45,553.7326,0.4919,188.4817,0.7887,0.7314,,7.4595,1.7304,15.269,10.7
BJ920651,2023-12-31,2.06,8.552,51.7361450874,788.2636,23.1364,0.7099,0.4567,14.9999,144.1441,15.41,507.1137,0.684,174.7573,1.0172,1.0152,,9.3921,2.4975,12.2275,13.35
BJ920651,2024-03-31,0.2426,-16.2451,54.7554764004,1559.792,21.8612,0.0896,0.0577,1.2693,240.7705,1.77,1004.4643,0.0808,370.981,0.136,0.1197,,1.2693,0.3738,-14.4354,1.75
BJ920651,2024-06-30,0.7476,-11.083,49.135139935,1096.8921,21.1123,0.2589,0.1641,9.9145,193.5276,4.78,695.2491,0.2335,240.7705,0.3684,-0.19,1.4598,3.5296,0.9301,1.2049,5.03
BJ920651,2024-09-30,1.1848,-17.9617,47.8029417912,980.0363,21.4614,0.4353,0.2755,5.8525,176.4591,8.36,620.2619,0.3956,227.8866,0.647,0.2425,,5.8525,1.5301,-2.7837,8.49
BJ920651,2024-12-31,1.9703,19.7694,50.022130371,827.396,24.799,0.6537,0.4351,16.5848,146.8608,15.39,550.7113,0.6206,182.7133,1.2183,0.5347,3.575,10.3654,2.4513,11.7398,14.83
BJ920651,2025-03-31,0.319,36.8095,49.4303215504,1133.5013,20.0086,0.1194,0.0794,1.5941,214.0818,2.24,753.7688,0.1118,282.1317,0.186,-1.007,,1.5941,0.4204,49.4772,2.21
BJ920651,2025-06-30,0.7477,35.8709,48.2277315551,970.8738,23.5042,0.2813,0.1854,11.7357,197.6719,5.98,639.8862,0.2619,240.7383,0.5005,-0.0321,1.3855,4.4603,0.9106,22.0442,6.22
BJ920651,2025-09-30,1.1374,32.4593,50.1305963371,903.3121,24.5586,0.4467,0.2989,7.388,182.0757,10.26,604.4325,0.4195,237.3835,0.857,0.2373,,7.388,1.4829,15.7544,10.17
BJ920651,2025-12-31,2.4208,3.3596,45.5067687079,747.8189,21.8117,0.7037,0.4814,17.5751,146.4069,14.87,511.5816,0.6769,148.7112,1.2592,0.9501,2.9442,10.293,2.4589,17.5156,14.24
BJ920651,2026-03-31,0.4059,-3.6521,45.8744976561,1170.3511,19.2495,0.1113,0.0769,1.4972,239.1709,2.0,808.6253,0.1041,221.7295,0.1792,-1.7039,,1.4972,0.3763,0.147,1.98
