instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SZ000540,2021-03-31,96.2388,1165.8031,0.0282,1810.8652,0.2051,0.0772,3191.4894,0.1856,1.15,62.0745,0.0497,25.1815296906,1.14,37.5271,0.2051,0.0438,2.0129,,7.5655,44.7116
SZ000540,2021-06-30,-7.9622,1831.1292,0.0338,2830.1887,1.098,0.0983,5325.4438,0.2271,0.22,2.2676,0.0636,22.0615905872,0.22,35.1068,0.2972,0.0661,2.5322,1.4553,9.3017,71.0844
SZ000540,2021-09-30,-166.3531,2250.0,0.0394,3678.4741,-0.2667,0.12,6852.7919,0.2727,-4.88,-2.1559,0.0734,17.2576198076,-4.99,2.626079941469,-0.2667,-0.0609,3.0665,,-7.2648,88.0483
SZ000540,2021-12-31,-1595.5943,1354.9116,0.0392,4699.7389,-6.0573,0.2657,9183.6735,0.3497,-39.1,-19.5512,0.0766,5.4040234727,-53.95,2.591065234981,-6.8711,-1.5159,4.4757,1.7085,-185.0633,80.4343
SZ000540,2022-03-31,-535.5041,65.5547,0.007,6206.8966,-0.8483,1.3729,12857.1429,0.1037,-8.49,-73.2541,0.0145,2.7639551355,-8.85,3.333642513021,-0.8483,-0.1907,1.3233,,-123.1892,68.0118
SZ000540,2022-06-30,-750.2178,58.8543,0.0159,5625.0,-1.0864,3.0584,11320.7547,0.2615,-23.66,-50.2082,0.032,3.6994713531,-26.82,1.509514739676,-1.904,-0.43,5.1987,0.7882,-121.4683,34.624
SZ000540,2022-09-30,-423.090359412178,1641.3374,0.0209,6279.0698,-3.6064,0.1645,12918.6603,0.4075,-47.4,-44.231,0.043,-3.6344628512,-62.4,1.224776885257,-3.6064,-0.815,5.2524,,-174.274,51.4051
SZ000540,2022-12-31,-150.151357928102,1598.579,0.0254,6716.4179,-12.477,0.2252,14173.2283,4.2871,0.0,-33.5562,0.0536,-15.1092603112,,0.982436488971,-13.4648,-2.8082,6.6607,1.1917,-515.9719,54.0484
SZ000540,2023-03-31,-74.614950086306,3673.4694,0.0055,8035.7143,-1.3935,0.0245,16363.6364,,0.0,-24.6964,0.0112,-13.2156451263,,4.872497005971,-1.3935,-0.2977,1.3209,,-255.3625,68.1354
SZ000540,2023-06-30,-100.788100051068,2965.4036,0.007,12949.6403,-3.9148,0.0607,25714.2857,,0.0,-58.8281,0.0139,-128.1475068822,,2.969401328199,-3.9148,-0.808,1.6348,,-554.3542,110.1052
SZ000540,2023-12-31,-13.046238692072,2145.4112,0.0421,4342.5814,-15.879,0.1678,8551.0689,,0.0,49.024,0.0829,-10.2058898191,,-0.101417529666,-15.879,-2.8093,9.271,,-346.3674,38.8308
SZ000540,2024-06-30,87.652344023357,2179.1768,,4225.3521,-1.3399,0.0826,2356.87561639825,,0.0,165.7422,0.0426,-9.8209440234,,-0.876975948659,-1.3399,-0.2311,4.5322,,-59.6707,39.7158
SZ000540,2024-12-31,86.407221908091,3133.1593,,5853.6585,-4.2102,0.1149,3565.36648144594,,0.0,-35.7475,0.0615,-12.1267521428,,-1.258086653364,-4.2102,-0.3913,8.3553,,-131.2643,43.0864
SZ000540,2025-06-30,182.297153050844,1643.8356,,2088.1671,0.3238,0.1095,1703.81572090491,,0.0,69.4217,0.0862,20.4213828571,,6.44,0.3238,0.03,14.8627,,7.9888,12.1109
SZ000540,2025-12-31,34.698677598064,4353.0834,,8551.0689,-2.2341,0.0827,3430.74733491343,,0.0,-38.7557,0.0421,-22.2817200207,,-3.099813130836,-2.2341,-0.1937,10.6905,,-106.0694,33.6748
