instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920237,2023-03-31,0.6957,-76.5771,16.9454484907,697.134,2.3844,0.1767,0.1291,0.3158,99.0971,0.45,509.3379,0.1919,129.3661,0.0369,-12.6907,,0.3158,0.9082,31.382,0.46
BJ920237,2023-06-30,1.7405,-52.9147,20.414383549,596.4215,7.0528,0.4188,0.3018,13.5719,88.7749,3.33,429.7994,0.4451,103.4186,0.253,-0.2412,1.6543,2.2009,2.0276,13.1359,3.38
BJ920237,2023-09-30,2.85,-18.3882,23.0395248323,565.3266,10.1529,0.6684,0.4776,5.0047,83.7313,7.34,403.9497,0.6919,94.7368,0.5774,0.7885,,5.0047,3.2246,14.3879,7.22
BJ920237,2023-12-31,3.7046,7.676,24.5848751896,598.6033,11.0475,0.8483,0.6014,17.9519,81.4904,10.43,424.3782,0.8786,97.1765,0.8206,1.3176,3.1453,6.6058,4.4177,14.1446,10.06
BJ920237,2024-03-31,0.8202,616.7359,32.8940479379,693.909,16.7038,0.1943,0.1297,2.2063,100.3121,3.07,463.2012,0.1768,109.7293,0.2643,0.1044,,2.2063,0.8972,2.3121,3.02
BJ920237,2024-06-30,1.8491,145.6538,34.5238261634,605.449,17.0104,0.4496,0.2973,17.5684,93.7989,7.07,400.3559,0.407,97.3447,0.4788,0.3358,1.3825,5.1104,1.919,1.8517,7.02
BJ920237,2024-09-30,2.893,66.7317,33.9160169798,608.1081,17.4299,0.6698,0.444,7.7282,90.8112,10.76,403.1054,0.604,93.3287,0.7449,0.8426,,7.7282,2.9732,-2.879,10.4
BJ920237,2024-12-31,4.0866,72.8681,32.9109046448,626.6319,19.1135,0.8755,0.5745,23.0445,85.9989,15.52,411.1936,0.7909,88.0928,1.0976,1.2562,2.1868,10.5756,4.1861,-0.0831,14.57
BJ920237,2025-03-31,0.9439,-29.9085,29.1346580999,752.5084,11.4451,0.1858,0.1196,1.3579,95.8466,1.81,484.3918,0.1611,95.3491,0.1433,1.8741,,1.3579,0.939,2.2963,1.8
BJ920237,2025-06-30,1.9987,-37.2359,30.9372184625,715.9905,11.6312,0.3971,0.2514,17.0456,90.9137,4.0,453.2863,0.3372,90.0585,0.2322,1.5446,0.7811,2.9386,1.9799,-8.2088,4.06
BJ920237,2025-09-30,3.0693,-36.9768,30.2666815347,704.9608,11.7093,0.5994,0.383,4.4471,89.3478,6.09,450.4505,0.5153,87.9679,0.3611,1.959,,4.4471,3.0219,-6.1868,6.04
BJ920237,2025-12-31,4.2918,-41.1144,29.1207517606,714.0024,12.3066,0.9093,0.5042,21.4027,91.7244,8.22,395.9089,0.6677,83.8809,0.4972,1.4964,1.5952,6.1815,3.9248,-8.544,8.03
BJ920237,2026-03-31,0.8761,-23.7895,26.3035818048,872.093,10.0921,0.2188,0.1032,1.0389,98.3177,1.3,411.3346,0.134,102.728,0.084,2.6875,,1.0389,0.9154,-13.5725,1.32
