instrument,datetime,profit_growth,inventory_turn_days,inventory_turnover,asset_turn_days,revenue_growth,gross_margin,roe,ocf_to_np,roa,ar_turnover,net_margin,ar_turn_days
SH600832,2015-03-31,62.833975741838,188.190152666566,0.478239688553,899.677287025689,72.793276864292,34.6540211899,2.8,-0.336037010268,1.9609534239,3.24768693119,19.6025028491,27.712030718128
SH600832,2014-12-31,68.114028595129,324.028380017045,1.111013794474,1308.72920345118,16.933100486216,36.6164014962,13.83,0.322995656473,7.8771633307,11.292653717992,28.6363158089,31.879132132284
SH600832,2014-09-30,153.35229017633,286.937118768408,0.940972716109,1248.88075778865,37.001615954774,38.2782753532,12.18,0.085975799456,6.5075974216,7.747507802654,30.1007896268,34.849916499278
SH600832,2014-06-30,105.611825781778,318.727850139696,0.564745126355,1446.06364963214,15.761370696957,36.3113857531,7.69,-0.18881289489,4.1592989179,5.315052915431,33.4145054066,33.866078638166
SH600832,2014-03-31,16.982332236739,271.829288521908,0.331090150327,1251.24934523917,29.711386331078,34.9700235929,2.14,-0.154306396763,1.2293820255,3.269596797434,17.0918161612,27.526329873651
SH600832,2013-12-31,27.793601734792,264.960498506806,1.358693095872,1276.47046803518,25.78292505297,33.9936770403,9.01,0.519478781118,5.6615602026,22.341752560651,20.0744844489,16.113328577188
SH600832,2013-09-30,3.452742692004,188.991179432136,1.428638102642,1435.7311372939,4.688395544136,26.409891618,4.97,0.167396213227,3.2414713502,24.035674055663,17.2365975855,11.233302605732
SH600832,2013-06-30,7.528529390714,181.398527790724,0.99229030242,1411.21661396553,6.939603861834,24.9661903072,3.82,0.040319435871,2.5022808332,13.904804869912,19.6181126924,12.945165479416
SH600832,2013-03-31,15.432981582176,188.472149327796,0.477524134579,1382.23285400212,5.58588033639,26.3574160295,1.83,-0.139956656862,1.2475345347,5.5876525706,19.1598135599,16.106942738986
SH600832,2012-12-31,20.033775213463,180.294096396319,1.996737592609,1374.85411965097,21.598233790609,29.2959524762,7.4,0.218306568957,5.1187526361,69.10178926131,19.548717081,5.209705911357
SH600832,2012-09-30,8.017208135702,182.88342978479,1.476350264853,1412.62877405322,36.663784585653,29.6393092615,4.97,0.133542197513,3.4416268745,15.916029796631,18.0064487127,16.964029563274
SH600832,2012-06-30,11.459386480178,182.592066399421,0.985804057917,1428.93773071406,30.957672570426,30.1773192917,3.55,0.08689869853,2.5140176796,10.057960582343,19.9576373222,17.896272164358
SH600832,2012-03-31,34.755523398426,183.920937409395,0.489340698605,1434.26435705476,33.154391358813,31.8675136612,1.65,-0.163540442929,1.1999281552,4.763372116024,19.1223798226,18.894177865559
SH600832,2011-12-31,-28.162127129728,229.230737741803,1.57047001439,1700.14227670301,6.730142098393,34.1605148944,6.12,0.227668701439,4.1812182475,122.395512606027,19.7462941962,2.941284303116
SH600832,2011-09-30,-17.075110751665,304.563960187721,0.88651329538,1966.95345210549,-10.812016264372,37.7262158412,4.6,0.009700527657,3.1107133881,12.531688023472,22.6615868047,21.545381555485
SH600832,2011-06-30,-12.535977361885,283.382453074064,0.635183999741,1972.50744022853,-8.02278616546,35.7415943508,3.15,0.116904067882,2.1607938271,16.67476742061,23.6787883378,10.794753261597
SH600832,2011-03-31,0.321282875651,273.682400703524,0.328848328459,2034.24215834649,-26.174305740235,33.9490607728,1.16,-0.236044129482,0.7978890835,7.45325050841,18.0344401263,12.075268354183
SH600832,2010-12-31,39.660244286679,292.435637574227,1.23104011189,1798.65966887036,24.995844802123,37.4906027999,8.26,0.418825137204,5.6968129968,207.624101987587,28.4628549401,1.733902743245
SH600832,2010-09-30,13.477472821832,268.464991038645,1.00571772489,1613.59300992498,37.189738927495,37.6214451267,5.73,0.14796858585,3.9455386997,37.343409673701,23.5796061712,7.230191414207
SH600832,2010-06-30,17.193937963959,261.94937991038,0.687155663669,1596.66603322035,39.899639969191,35.4479927005,4.04,0.173280175663,2.6508727436,41.356221544495,23.5142137118,4.352428565224
SH600832,2010-03-31,5.180806180672,186.198344781624,0.483355532003,1319.21926328258,71.284772899553,25.9199828292,1.13,0.077733837093,0.8935277003,24.170467621508,13.0973217173,3.723552287417
SH600832,2009-12-31,1.982691381647,384.88493073187,0.935344491964,2038.64722926995,5.543252011557,37.2301761124,6.54,0.371310169477,4.5651940531,183.474018635534,25.8522783539,1.962130674835
SH600832,2009-09-30,6.794728222698,403.21046609807,0.669625475283,2024.95081695171,-4.148238349005,37.3824024587,,0.168614110201,3.7824047791,20.574251459339,28.3673468421,13.123199185817
SH600832,2009-06-30,-2.46796497694,390.481014899996,0.460969914366,2182.03030737876,-6.971725191625,35.2762842759,3.39,0.300867394187,2.3766616641,11.451661485843,28.8108210084,15.718243175676
SH600832,2009-03-31,10.546899937946,381.199916861011,0.236096588743,2130.67020683626,6.704315718587,33.2868042577,,0.101644800554,0.9023569538,10.008762552267,21.3625008591,8.992120607319
SH600832,2008-12-31,-30.897486110819,235.092439007654,1.531312540376,1865.04366327361,6.64729869572,38.1842516745,7.15,0.329741609169,5.1822344615,147.568765452677,26.8474820666,2.4395406365
SH600832,2008-09-30,-11.714873481256,69.63539094838,3.877338754372,1818.97709508065,34.007368730886,34.5538036798,,0.049364780795,3.7989631407,31.063649959897,25.593433104,8.6918311386
SH600832,2008-06-30,11.217440949048,65.513966063443,2.747505773436,1753.34015175252,37.398291375887,34.3667018482,4.13,0.268725459824,2.8764544649,22.968781571972,28.0189061553,7.836723921814
SH600832,2008-03-31,-29.061265928379,71.222260704424,1.263649863257,1900.07695061262,23.851936560761,34.8842161031,,0.151815911852,1.0120462329,8.653836374207,21.3662857789,10.400011752966
