instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SH600836,2021-03-31,-97.0698,56.5895,0.1228,409.2769,0.3526,1.5904,732.899,0.2381,0.7,-81.7258,0.2199,23.3466962767,0.7,-6.8387,0.3526,0.0114,1.201,,2.9716,74.9376
SH600836,2021-06-30,-41.5396,66.6247,0.2178,440.8523,30.8823,2.7017,826.4463,0.3832,13.48,-72.9526,0.4083,22.6119166188,12.63,-0.0173,7.4089,0.2216,2.2495,1.007,33.8843,80.0178
SH600836,2021-09-30,-49.5147,69.8902,0.2915,502.3256,6.3347,3.8632,926.2436,0.5243,11.92,-69.0499,0.5375,19.9462416003,11.31,0.3492,6.3347,0.195,3.2465,,21.9578,83.1665
SH600836,2021-12-31,-21.5806,67.687,0.3997,499.653,31.5457,5.3186,900.6755,0.7164,18.57,-62.0165,0.7205,28.6610925534,17.04,0.9093,9.5859,0.31,4.896,1.9739,24.9732,73.5294
SH600836,2022-03-31,-70.3787,87.3871,0.0646,801.4248,0.0994,1.0299,1393.1889,0.113,0.18,-43.8579,0.1123,32.3638436563,0.18,11.4512,0.0994,0.0033,0.7376,,1.5679,122.0174
SH600836,2022-06-30,-120.1035,103.2169,0.1059,967.2219,21.555,1.7439,1699.7167,0.1851,-2.21,-47.0586,0.1861,30.1859337864,-2.23,0.303425208171,-1.3634,-0.044,1.6833,0.5794,-12.8669,106.9328
SH600836,2022-09-30,-139.8785,92.9432,0.1706,910.3169,-2.4445,2.905,1582.6495,0.2967,-4.06,-37.9757,0.2966,25.269593366,-4.14,0.126047517415,-2.4445,-0.0766,2.4229,,-14.1178,111.4367
SH600836,2022-12-31,-139.1951,83.5422,0.2431,927.357,19.4812,4.3092,1480.8721,0.422,-6.88,-38.2602,0.3882,26.243302655,-7.06,0.117660729887,-3.957,-0.1212,3.8807,1.6638,-15.8541,92.7668
SH600836,2023-03-31,2.728,78.2745,0.062,1007.8387,0.1131,1.1498,1451.6129,0.1077,0.11,-11.1886,0.0893,26.6761254499,0.11,-33.3026,0.1131,0.0034,0.8215,,1.8135,109.5557
SH600836,2023-06-30,78.516938043161,69.3027,0.1244,1005.0251,24.3434,2.5973,1446.9453,0.2156,-0.5,10.1256,0.1791,20.2872318755,-0.5,-0.045816563044,-0.2154,-0.0064,1.9433,1.2321,-1.7072,92.6259
SH600836,2023-09-30,79.52651321888,69.8993,0.1836,1019.6375,-0.4182,3.8627,1470.5882,0.3155,-0.87,1.046,0.2648,18.2148180963,-0.88,-1.423711398194,-0.4182,-0.0122,3.2822,,-2.2182,82.2619
SH600836,2023-12-31,64.490850673084,66.8958,0.261,946.6211,25.2572,5.3815,1379.3103,0.4446,-2.54,0.3365,0.3803,18.0670451785,-2.58,-1.898337643881,-1.4083,-0.0399,4.9543,2.577,-5.168,72.6642
SH600836,2024-03-31,-457.4251,63.1357,0.0648,945.3782,-0.4413,1.4255,1388.8889,0.1068,-0.78,-4.07,0.0952,12.1710762355,-0.78,0.066004625745,-0.4413,-0.0123,1.5621,,-6.757,57.6147
SH600836,2024-06-30,-281.15432154581,69.3107,0.122,1002.7855,-1.1477,2.597,1475.4098,0.2001,-1.97,-10.3469,0.1795,13.6888479981,-1.98,-0.008694118404,-1.1477,-0.0312,3.029,,-9.2168,59.4256
