instrument,datetime,profit_growth,gross_margin,ar_turn_days,inventory_turn_days,revenue_growth,roa,roe,ar_turnover,net_margin,ocf_to_np,asset_turn_days,inventory_turnover
BJ920028,2026-03-31,7.992047263479,25.0147169741,138.217842500471,55.015222333805,11.807587973492,1.6621114167,2.8,0.651146034201,11.5295522812,-0.295350145232,624.302134550067,1.635910865795
BJ920028,2025-12-31,21.21312612005,26.3917006987,119.471247388074,43.127381312809,7.940512077262,10.2908692903,15.4,3.013277318773,13.3099205404,0.154635838095,465.613862092124,8.347365155071
BJ920028,2025-09-30,20.127251650718,25.2516151341,133.31550255426,44.032859055732,12.60953886618,6.9363862997,10.61,2.025270841177,12.3847492569,0.089571565116,482.078441840397,6.131784439849
BJ920028,2025-06-30,22.355907714159,25.5469001614,132.458130360155,46.523497019633,13.240280486428,4.7735174013,7.42,1.358919981058,13.3611397423,0.134857965778,503.822433523253,3.869012682431
BJ920028,2025-03-31,21.827197016941,24.8949325948,145.851660141036,53.575847768567,14.288966565818,1.9530344307,3.03,0.61706531083,11.93691076,-0.019526355778,550.078355768673,1.679861425409
BJ920028,2024-12-31,-9.105244040982,25.371944689,109.318635190534,42.410118301241,13.978372011555,9.5190252273,14.87,3.293125635648,11.8525087573,0.037714986763,448.250009927514,8.488540339428
BJ920028,2024-09-30,,25.1201029392,,,,,,,11.6096962481,-0.00035707713,,
BJ920028,2024-06-30,30.066084425806,25.7962863953,111.500897707452,50.714076073463,13.36257421949,4.634155368,7.1,1.614336778456,12.36572259,0.064138304769,480.309762929793,3.549310446655
BJ920028,2024-03-31,,25.3952758849,,,,,,,11.1982974915,-0.007973657656,,
BJ920028,2023-12-31,124.346472097969,27.8975602182,99.707530098491,48.684126918694,28.160339859335,12.4218112864,20.55,3.610559800693,14.8625697727,0.059535576803,430.73630687097,7.394607293692
BJ920028,2023-06-30,,25.2562823366,,,,,7.51,,10.777676218,-0.102284783978,,
BJ920028,2022-12-31,,22.9775752681,119.556822596669,57.649417555446,,12.3353882946,12.41,3.01112050472,8.4904031494,0.021112030092,,6.244642448534
