instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
BJ920108,2021-06-30,,95.1324,1.2199,0.3517,14.0341163586,7.31,39.3193,16.0902,67.0441,5.8451,5.8451,7.04,4.5779,5.9932,,1.6544,0.7376,180.599034728477,11.1869,108.8008
BJ920108,2021-09-30,,17.209746140585,1.8423,0.4305,12.808689536,8.88,32.6979,16.357,53.860347911022,5.6406,5.6406,8.49,8.2574,4.8191,,2.1322,1.437,202.378630822767,16.5067,126.6298
BJ920108,2021-12-31,,12.9969,2.3935,0.5489,30.3468118648,11.22,30.3301,16.3338,55.2158,6.3692,6.3692,10.64,11.8694,4.6877,,3.3392,0.9853,552.669443855656,22.0402,107.8103
BJ920108,2022-06-30,,30.3728,1.4665,0.4586,37.3087612326,8.51,20.6614,21.4846,34.6896,5.0525,5.0525,8.16,8.7119,5.8011,,2.4179,0.4061,499.323882352573,8.3781,74.4448
BJ920108,2022-12-31,,21.3768,2.8043,0.6663,32.3218954208,12.04,21.8345,21.6452,33.0071,6.5469,6.5469,11.2,16.4877,4.2778,,4.46,0.3213,538.478386521953,16.6319,80.7175
BJ920108,2023-06-30,,72.1924,1.9219,0.3158,34.4974540943,12.42,24.1874,16.9093,54.6031,7.0136,7.0136,11.66,7.4419,6.4611,,2.7223,0.2286,410.590597908804,10.645,66.1206
BJ920108,2023-09-30,,32.007592043673,1.1015,0.3762,32.3933982341,14.72,55.3699,39.4847,43.564655325613,8.4907,8.4907,13.77,4.8763,13.3647,,1.5888,1.0578,408.44044729432,6.8381,169.9396
BJ920108,2023-12-31,,82.8114,1.3258,0.4872,33.0887230563,18.43,62.7047,45.1564,-43.7484,10.501,10.501,16.76,5.7412,13.9023,,1.956,1.4274,448.16724948287,7.9723,184.0491
BJ920108,2024-03-31,,270.873161027798,0.4013,0.2337,34.0004056508,7.87,63.3847,20.258,53.76920297854,4.4466,4.4466,7.7,1.4199,19.5977,,0.5362,1.7312,373.386695650103,4.4427,167.8478
BJ920108,2024-06-30,,43.2404,0.7556,0.4524,34.4254359275,14.78,66.3301,22.6142,-52.689,7.565,7.565,14.07,2.7137,19.562,,1.0873,1.9644,413.271496131805,7.9596,165.5477
BJ920108,2024-09-30,,47.558,1.0007,0.5551,33.414861827,17.09,71.3663,30.6307,15.4804,7.5498,7.5498,15.46,3.7833,17.0771,,1.524,2.1008,498.032888339745,8.8147,177.1654
BJ920108,2024-12-31,0.7273,34.3237,1.4152,0.6544,30.0663313807,20.01,85.751,33.8795,32.0902,23.3354,8.0887,18.0,4.1982,14.1374,,1.939,1.7268,494.9814,10.6259,185.6627
BJ920108,2025-03-31,0.168,-83.4833,0.3434,0.0314,16.5261152504,0.92,81.9821,31.8945,21.4377,0.4217,0.4217,0.8,1.0978,2.6655,,0.4415,-3.7796,535.7143,2.8218,203.8505
BJ920108,2025-06-30,0.3639,-38.6552,0.7414,0.2256,22.3009151553,5.94,87.0154,34.407,39.9677,17.3907,2.8606,5.45,2.0686,8.5736,0.7141,0.9292,-1.1915,494.6414,5.2315,193.715
BJ920108,2025-09-30,0.4448,-60.2751,0.9276,0.1281,20.8095974537,5.15,86.1217,43.3269,22.1036,2.2605,2.2605,4.48,3.1351,5.5558,,1.1614,-1.997,607.0144,6.2317,232.478
BJ920108,2025-12-31,0.5582,-71.8789,1.1987,0.1069,17.7156769421,3.9,114.4601,48.8944,10.7887,17.3006,1.7893,3.74,3.1452,3.5884,1.1141,1.4454,0.2376,644.9301,7.3628,249.066
BJ920108,2026-03-31,0.1919,146.7063,0.4297,0.0553,16.937060248,1.96,88.4434,38.432,44.1417,0.8298,0.8298,1.99,1.0176,4.5621,,0.4373,-1.1351,468.9943,2.3418,205.8084
