instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH603663,2021-03-31,86.2317,0.1644,12.5024,24.9089,2.0872,1.9743,3.45,0.4458,12.3766,1.9743,0.1454,0.2956,547.4453,1.0437,48.8069,201.8843,3.39,25.9045921488,,1.844
SH603663,2021-06-30,91.1254,0.317,32.5305,26.3712,1.8011,16.6397,6.94,0.912,12.7734,3.942,0.2882,0.5634,567.8233,1.9753,46.1704,197.3684,6.86,27.9057189017,1.0064,3.8986
SH603663,2021-09-30,96.4596,0.4266,57.1435,26.1973,1.8067,4.902,10.79,1.1165,12.428,4.902,0.3579,0.648,632.9114,2.7991,48.5184,241.8271,6.59,28.7798161114,,5.5649
SH603663,2021-12-31,113.5181,0.5499,43.0394,7.6515,1.7534,20.0069,12.88,1.4711,13.5309,6.9458,0.4968,0.8146,654.6645,3.1713,48.247,244.7148,9.28,31.035962152,1.6269,7.4616
SH603663,2022-03-31,128.7001,0.1161,2.5819,-19.5863,0.4722,1.8011,2.77,0.3017,15.7885,1.8011,0.1336,0.1512,775.1938,0.6993,57.7552,298.3096,2.74,32.7899021095,,1.5583
SH603663,2022-06-30,120.9759,0.287,61.7085,6.3419,0.8466,18.5359,7.35,0.7175,19.4238,5.3372,0.4155,0.3857,627.1777,1.4879,48.7805,250.8711,7.22,34.8204476534,0.8548,3.69
SH603663,2022-09-30,122.2273,0.4387,77.4667,18.1937,0.5975,7.5931,11.23,1.0977,18.6606,7.5931,0.4517,0.5963,615.4548,2.209,48.7585,245.9688,10.74,36.0765478582,,5.5375
SH603663,2022-12-31,131.1906,0.5816,56.1333,23.2003,0.7555,22.5944,13.07,1.4989,17.1478,9.2299,0.5516,0.7821,618.9821,2.7441,39.739,240.1761,12.49,34.143120118,1.7808,9.0591
SH603663,2023-03-31,120.919,0.1591,32.4485,63.8915,0.6878,1.9595,2.94,0.3956,12.7595,1.9595,0.1258,0.2261,565.682,0.7443,47.6291,227.5025,2.89,30.5845194673,,1.8896
SH603663,2023-06-30,126.2803,0.3149,-2.8634,28.8093,0.176,17.8527,6.36,0.7778,14.6477,4.418,0.288,0.4478,571.61,1.4254,52.2618,231.422,6.3,31.4332827795,1.0275,3.4442
SH603663,2023-09-30,134.9123,0.4394,-36.4431,15.0874,0.2354,4.2826,6.65,1.0992,10.3053,4.2826,0.2048,0.6333,614.4743,2.0013,51.0716,245.6332,6.47,29.1464005321,,5.2867
SH603663,2023-12-31,138.403,0.5647,-56.1177,11.066,1.1041,18.1709,6.42,1.4283,6.7751,3.6247,0.1726,0.8175,637.5066,2.6011,50.2407,252.0479,6.3,27.5031827643,1.668,7.1655
SH603663,2024-03-31,138.7176,0.1239,-40.8201,-14.1788,0.6625,1.0668,1.52,0.2995,8.7986,1.0668,0.0531,0.1887,726.3923,0.6488,65.9534,300.5008,1.51,24.8299091192,,1.3646
SH603663,2024-06-30,128.5072,0.2883,-20.1438,1.9573,-0.4422,17.8756,4.85,0.6862,11.4725,3.1776,0.1643,0.4395,624.3496,1.4007,58.7487,262.3142,4.74,27.5726870256,0.7994,3.0639
SH603663,2024-09-30,129.4033,0.4063,-8.0187,0.9418,0.0762,3.6861,5.91,0.9887,9.3905,3.6861,0.1885,0.6209,664.5336,2.0865,64.7513,273.0859,5.88,26.5016390815,,4.1698
SH603663,2024-12-31,131.4204,0.5183,-7.5584,-2.4079,1.0622,20.4059,5.94,1.3445,6.4176,3.3017,0.1597,0.7765,694.5784,2.7393,65.35,267.7575,5.85,24.8321396606,1.3536,5.5088
SH603663,2025-03-31,132.314,0.1132,-52.3035,-9.7518,1.563,0.5284,1.02,0.304,4.6501,0.5284,0.0253,0.1676,795.053,0.6802,85.8451,296.0526,1.03,21.7650996429,,1.0484
SH603663,2025-06-30,112.3525,0.2715,-35.0978,-7.3463,0.0993,20.578,3.39,0.7005,8.0363,2.1595,0.1067,0.4003,662.9834,1.6021,84.8496,256.9593,3.3,23.0993580281,0.7035,2.1214
SH603663,2025-09-30,113.1743,0.4093,-3.123,0.9609,0.8879,3.6052,5.8,1.0322,9.0106,3.6052,0.1827,0.619,659.6628,2.3857,73.2601,261.5772,5.9,24.2940518672,,3.6855
SH603663,2025-12-31,104.4902,0.571,82.2441,10.5932,1.4403,26.0284,8.62,1.5213,10.5754,6.0611,0.2912,0.8248,630.4729,3.4453,63.7292,236.6397,8.59,26.6717642025,1.4946,5.6489
SH603663,2026-03-31,106.2448,0.1268,288.6845,14.2619,1.305,1.9609,2.66,0.3236,15.8181,1.9609,0.0986,0.1796,709.7792,0.8471,75.4464,278.1211,2.65,27.9845659492,,1.1929
