instrument,datetime,asset_turn_days,ar_turnover,profit_growth,fixed_asset_turnover,equity_turnover,roa_alt,current_asset_turnover,net_margin,eps,inventory_turnover,current_asset_turn_days,gross_margin,roe,revenue_growth,ocf_to_np,asset_turnover,ar_turn_days,inventory_turn_days,roa,roe_weighted
SZ002993,2021-03-31,462.4872,0.8945,74.2745,,0.3777,1.8214,0.2325,9.7548,0.4601,1.5733,387.0968,19.8792073585,3.62,86.5763,0.6607,0.1946,100.6149,57.2046,1.8214,3.68
SZ002993,2021-06-30,425.4313,1.8037,24.3048,3.5602,0.8214,5.9218,0.5127,8.7639,0.6952,3.3976,351.0825,18.9887659511,7.04,63.3858,0.4361,0.4231,99.7949,52.9786,3.5396,7.18
SZ002993,2021-09-30,408.4102,2.8142,5.0769,,1.2817,5.2354,0.8089,8.4311,1.064,4.9794,333.7866,18.4367802537,10.38,43.7064,0.9675,0.6611,95.942,54.2234,5.2354,10.83
SZ002993,2021-12-31,392.4989,3.7741,4.3353,7.0538,1.8004,9.6377,1.139,8.0867,1.4606,6.8228,316.0667,18.224330816,13.75,44.142,1.04,0.9172,95.387,52.7643,6.7859,14.63
SZ002993,2022-03-31,414.5555,0.8404,25.5215,,0.4339,2.0323,0.2844,9.4349,0.4443,1.357,316.4557,19.0427158598,4.02,29.7773,0.6218,0.2171,107.0919,66.3228,2.0323,4.1
SZ002993,2022-06-30,430.3132,1.5783,50.2027,2.7003,0.8298,8.6798,0.5545,11.2542,1.0442,2.7948,324.6168,20.0163622893,9.08,16.9665,1.227,0.4183,114.0468,64.4053,4.5726,9.39
SZ002993,2022-09-30,491.6242,2.5116,52.5657,,0.9482,5.3455,0.699,11.3928,1.3822,4.4434,386.2661,20.6663823457,8.44,12.9049,1.0842,0.5492,107.5012,60.7643,5.3455,13.32
SZ002993,2022-12-31,488.2018,3.5719,28.9558,5.5277,1.2541,9.9952,0.9514,9.911,1.6038,5.8543,378.3897,21.7452829393,9.58,5.2193,1.4271,0.7374,100.7867,61.4933,6.2749,13.46
SZ002993,2023-03-31,692.8406,0.8409,-11.8375,,0.1954,1.3469,0.1683,10.2026,0.3335,1.3591,534.7594,24.32945582,1.96,-18.4714,1.6339,0.1299,107.0282,66.2203,1.3469,1.97
SZ002993,2023-06-30,639.8862,1.726,-10.9804,1.9935,0.4317,7.3533,0.3651,10.8363,0.7915,2.7032,493.0156,23.2597888116,4.65,-7.5473,1.1797,0.2813,104.2874,66.5877,3.0005,4.66
SZ002993,2023-09-30,561.7978,2.6284,-7.3534,,0.7531,4.5357,0.6197,9.9069,1.2806,4.4842,435.6947,22.5716337188,7.32,6.5421,0.9847,0.4806,102.7241,60.2114,4.5357,7.51
SZ002993,2023-12-31,537.8754,3.6259,-0.5283,4.9003,1.0911,9.6315,0.8748,8.5108,1.5953,6.1303,411.5226,22.0567368036,9.24,15.8373,1.4046,0.6693,99.2857,58.7247,5.239,9.44
SZ002993,2024-03-31,557.9665,0.8531,34.9194,,0.2766,1.4623,0.2161,9.1127,0.45,1.3563,416.4739,21.8765827323,2.5,51.0554,1.5547,0.1613,105.4976,66.357,1.4623,2.53
SZ002993,2024-06-30,515.0215,1.7381,5.6955,2.1066,0.6039,7.8855,0.4717,7.8,0.8366,2.9501,381.5985,20.7336092905,4.8,46.8395,1.0826,0.3495,103.5614,61.0149,2.7056,4.76
SZ002993,2024-09-30,505.5233,2.6874,-14.598,,0.918,3.504,0.7224,6.6412,1.0937,4.5508,373.7542,19.8096560394,6.07,27.3966,1.1097,0.5341,100.4689,59.3302,3.504,6.16
SZ002993,2024-12-31,487.013,3.4295,6.7767,4.3493,1.3014,11.2202,0.9947,7.3206,1.7034,6.3582,361.9182,19.8444881054,9.45,24.1365,1.0569,0.7392,104.9716,56.6198,5.2403,9.44
SZ002993,2025-03-31,559.3536,0.7988,5.947,,0.2846,1.4696,0.2194,9.1262,0.4767,1.3281,410.2097,20.1039686945,2.48,5.7908,1.861,0.1609,112.669,67.766,1.4696,2.51
SZ002993,2025-06-30,500.8347,1.6729,10.4958,1.8864,0.6398,10.11,0.4928,7.9974,0.9244,3.0415,365.2597,19.6631525511,4.87,7.7679,1.2449,0.3594,107.5976,59.1813,2.905,5.0
SZ002993,2025-09-30,476.0226,2.5582,30.6788,,1.0287,4.2323,0.776,7.6038,1.4292,4.9301,347.9381,20.0067962406,7.25,14.1354,1.5902,0.5672,105.543,54.7656,4.2323,7.26
SZ002993,2025-12-31,474.1834,3.6115,0.6761,4.1505,1.4324,12.1165,1.0348,6.6173,1.7149,6.497,347.8933,19.1925329886,8.74,11.3753,2.1396,0.7592,99.6816,55.4102,4.795,8.59
SZ002993,2026-03-31,622.8374,0.7577,-57.4504,,0.2959,0.5293,0.1939,3.7909,0.2029,0.9554,464.1568,18.1022845038,0.96,2.4344,3.3974,0.1445,118.7805,94.2014,0.5293,0.96
