instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SH601313,2021-03-31,-22.5738,31.8471,0.0573,1067.6157,0.5734,2.826,1570.6806,0.069,0.73,13.4069,0.0843,58.7796220184,0.72,-0.9761,0.5734,0.036,1.4322,,10.0774,62.8404
SH601313,2021-06-30,-48.4537,31.92,0.128,950.8716,6.5339,5.6391,1406.25,0.1534,1.56,13.0311,0.1893,58.8989525808,1.56,-0.2576,1.267,0.0773,2.8461,13.8065,9.8248,63.2444
SH601313,2021-09-30,-40.8107,30.7451,0.1981,923.3926,2.3247,8.7819,1362.948,0.2362,2.78,7.0874,0.2924,59.5562547788,2.82,-0.0615,2.3247,0.1365,4.1606,,11.4182,64.8945
SH601313,2021-12-31,-70.3875,47.4396,0.2523,934.0944,7.3622,7.5886,1426.8728,0.3036,2.5,-6.2756,0.3854,62.290626936,2.58,0.197,1.999,0.1176,5.2193,12.0649,7.7199,68.9748
SH601313,2022-03-31,-16.4092,59.2963,0.0604,930.7135,0.5169,1.5178,1490.0662,0.0731,0.64,-1.0309,0.0967,58.8117610773,0.65,-1.4453,0.5169,0.0301,1.2643,,8.5115,71.1856
SH601313,2022-06-30,-175.6489,59.954,0.1183,962.0524,4.9943,3.0023,1521.5554,0.1427,-1.17,-14.1621,0.1871,59.3134588274,-1.22,-0.056365784891,-1.0568,-0.0585,2.3613,3.5405,-8.6586,76.2292
SH601313,2022-09-30,-304.4564,60.2423,0.1738,1011.6148,-5.2794,4.4819,1553.5098,0.2099,-5.95,-18.7896,0.2669,59.8722859466,-6.31,-0.016377405093,-5.2794,-0.279,3.5722,,-28.7466,75.5837
SH601313,2022-12-31,-365.8393,55.6888,0.2361,991.1894,0.8005,6.4645,1524.7776,0.2858,-6.67,-12.5392,0.3632,58.8031153573,-6.94,0.058537518877,-5.7853,-0.3127,4.7866,6.776,-23.4648,75.21
SH601313,2023-03-31,-188.0574,64.9866,0.0507,1214.5749,-0.4872,1.3849,1775.1479,0.0622,-0.59,-22.1701,0.0741,60.6516546993,-0.59,0.002795349393,-0.4872,-0.0265,1.2218,,-9.63,73.6618
SH601313,2023-06-30,42.041574613376,46.3177,0.1145,1079.784,5.643,3.8862,1572.0524,0.1417,-0.73,-6.6437,0.1667,59.5241849236,-0.72,0.02897069953,-0.5903,-0.0331,2.76,3.2661,-5.2469,65.2174
SH601313,2023-09-30,81.233535610423,46.4508,0.173,1075.6972,-0.9616,5.8126,1560.6936,0.2135,-1.17,-2.835,0.251,61.2872705426,-1.17,0.032984899588,-0.9616,-0.0529,4.0918,,-5.6063,65.9856
SH601313,2023-12-31,77.650805723681,45.7067,0.2299,1110.0833,5.3812,7.8763,1565.8982,0.2851,-1.55,-4.8883,0.3243,60.6069621249,-1.54,0.102070637215,-1.2425,-0.0699,5.5931,6.2012,-5.5117,64.365
SH601313,2024-03-31,41.148841603504,50.3215,0.0429,1549.0534,-0.2841,1.7885,2097.9021,0.0542,-0.34,-12.5305,0.0581,62.297172807,-0.35,-0.111306329255,-0.2841,-0.0159,1.2793,,-6.608,70.351
SH601313,2024-06-30,-47.8172918652,44.2434,0.094,1368.8213,6.529,4.0684,1914.8936,0.1179,-1.08,-18.018,0.1315,63.0993105462,-1.11,-0.127224309903,-0.909,-0.0489,2.6372,2.3931,-9.4551,68.2542
SH601313,2024-09-30,-57.028001334559,47.7792,0.1422,1355.4217,-1.5256,5.651,1898.7342,0.18,-1.86,-16.7554,0.1992,64.4610871803,-1.89,-0.041983695095,-1.5256,-0.0827,4.1944,,-10.5322,64.3715
SH601313,2024-12-31,-122.102441748312,46.2927,0.2027,1271.6355,4.6646,7.7766,1776.0237,0.2564,-3.54,-12.2329,0.2831,66.0978426039,-3.62,0.041039633815,-2.8952,-0.1582,5.8807,5.2948,-13.936,61.2172
SH601313,2025-03-31,-149.159483741506,57.9598,0.049,1274.7875,-0.7311,1.5528,1836.7347,0.0621,-0.91,8.3927,0.0706,71.7906137726,-0.91,-0.257422124832,-0.7311,-0.0395,1.5506,,-14.8456,58.042
SH601313,2025-06-30,17.426762119378,50.1812,0.1008,1233.7217,7.5166,3.587,1785.7143,0.1284,-0.94,3.6671,0.1459,66.545401242,-0.95,-0.021870628265,-0.7624,-0.0411,3.2436,2.6056,-7.51,55.4939
SH601313,2025-09-30,78.884299733461,50.9424,0.1595,1157.8045,-0.3465,5.3001,1692.79,0.2043,-0.41,8.1827,0.2332,67.3174459406,-0.42,-0.055647404167,-0.3465,-0.0187,5.0324,,-2.1605,53.6523
SH601313,2025-12-31,124.045825604156,42.2773,0.2294,1070.1546,9.2234,8.5152,1569.3112,0.2924,0.88,9.3723,0.3364,66.544669674,0.89,0.6055,0.6788,0.0364,6.7012,5.9141,2.9298,53.7217
SH601313,2026-03-31,139.999853568892,57.0631,0.0536,1108.3744,0.2815,1.5772,1679.1045,0.0688,0.37,7.8957,0.0812,70.7010962212,0.37,-0.6023,0.2815,0.0151,1.6288,,5.2541,55.2554
