instrument,datetime,revenue_growth,net_margin,inventory_turn_days,ar_turnover,roe,asset_turn_days,profit_growth,ar_turn_days,roa,inventory_turnover,ocf_to_np,gross_margin
SZ301680,2026-03-31,48.917543312247,15.7093043056,54.243370298528,1.367880560863,6.16,474.431927634432,1.895603450218,65.795218219359,2.980063746,1.659188938753,0.084536373193,28.2389161813
SZ301680,2025-12-31,21.794067853309,16.8650689052,63.028434974052,4.654247831042,24.11,385.594012754576,4.300481302242,77.34869587282,15.7456407647,5.711707741882,0.088465661828,30.243168691
SZ301680,2025-09-30,18.812386622873,,,,,399.480186062878,2.515858902507,,,,,
SZ301680,2025-06-30,,17.6185311934,73.718626278415,2.09585375324,11.69,435.332612706152,,85.883855074208,7.2848565034,2.441716687994,0.048923242013,32.7094092462
SZ301680,2025-03-31,35.458906698517,19.4539628569,,,7.86,414.249192022007,57.206113061752,,4.2265783273,,0.199416016436,35.1891286647
SZ301680,2024-12-31,39.48264752464,18.2841785469,62.594713509536,4.369621806667,31.57,364.771080973194,70.934059922052,82.386992725715,18.0450277454,5.751284410706,0.203676910816,37.0243607362
SZ301680,2024-09-30,,,,,,,,,,,,
SZ301680,2024-03-31,,,,,,,,,,,,
SZ301680,2023-12-31,37.003898331248,15.0598726313,52.429659055386,3.953312497815,25.11,365.371587639251,56.868431572175,91.062874538497,14.8384667299,6.866342571858,0.141444647708,33.3071528528
SZ301680,2022-12-31,,13.5198537475,54.773104024495,3.332883811251,22.58,,,108.014566479854,22.7565292389,6.572568898761,0.185331860743,28.3971093661
SZ301680,2018-12-31,22.046312650302,7.3186100315,28.633743724908,2.940972562442,11.05,430.093644597054,-9.300503727819,122.408486429767,6.125874317,12.572578823734,0.139337399701,24.4414399339
SZ301680,2018-06-30,-10.644151028822,8.8226364284,30.551642451369,1.170394502366,4.96,556.937524492209,-30.995841792398,153.794297252869,2.8514411173,5.891663608152,0.234497596638,24.3321032633
SZ301680,2017-12-31,-15.099602756991,9.967868206,21.378205054117,2.883484714371,13.12,416.287625438903,-32.290488319464,124.848936498881,8.6200798075,16.839580268254,0.064116527992,23.8608783612
SZ301680,2017-06-30,-14.697571388573,11.458038056,24.3842339784,1.296942979404,7.56,382.255458918311,-28.625711953187,138.787905758754,5.3954673555,7.381818931013,0.130925972899,25.7314745672
SZ301680,2016-12-31,-26.092280352141,12.4964947394,20.147431419085,3.296305890366,21.01,307.491154546965,-25.18803822343,109.213165274546,14.6304634773,17.868282686347,0.173603399352,24.3306480888
SZ301680,2016-06-30,-15.492330509719,13.693985608,22.545213713493,1.487382707653,11.65,302.259000083195,-4.663690640792,121.017945868168,8.1549843305,7.983956252864,0.332241222712,24.7525490783
SZ301680,2015-12-31,37.657666508851,12.3454512868,16.108362997906,4.848172419451,33.5,206.821290943575,46.393828357629,74.254784866081,21.4889020515,22.348639650522,0.011952593887,21.9916727574
SZ301680,2015-06-30,61.449579044824,12.0985931831,,,15.38,,113.736199467467,,,,0.003868567018,23.1267649112
SZ301680,2014-12-31,41.85250116951,11.5874939663,17.779074835748,5.089839839364,27.71,236.121353788572,23.682830795622,70.729141065661,17.666753815,20.248522677691,0.061897985562,22.2769494325
SZ301680,2014-06-30,17.521736091488,9.1196164987,20.965289492643,1.788583271766,,285.96042709058,-21.206020184001,100.638311249704,5.7404130581,8.585619581507,-0.008454431067,21.7689037975
SZ301680,2013-12-31,27.805022546598,13.3090134023,18.707437737074,4.813627906128,26.18,260.260125032576,5.191160504516,74.787666811907,18.4094464115,19.243682916905,0.126387984939,26.3330204013
SZ301680,2013-06-30,,13.6379697355,20.782636092858,1.893420474646,,276.813414561647,,95.066047087958,8.8681921585,8.661076448423,0.028990636579,28.2322853252
SZ301680,2012-12-31,11.273858396422,16.2699303166,20.292761282219,4.076600243598,0.32,273.870917608155,16.692789866938,88.308879578113,21.3866260979,17.740316115355,0.026286903205,29.5630335303
SZ301680,2011-12-31,7.880196778653,,,,,204.607050714404,56.877351075548,,27.1363589394,,0.078907296314,31.6018899167
SZ301680,2010-12-31,151.541722983009,,,,,106.392641305634,360.731901062151,,35.8923900017,,-0.014156574139,24.7907560773
SZ301680,2009-12-31,,,,,,,,,25.0976056588,,0.106061802447,18.4370446764
