instrument,datetime,profit_growth,gross_margin,ar_turn_days,inventory_turn_days,revenue_growth,roa,roe,ar_turnover,net_margin,ocf_to_np,asset_turn_days,inventory_turnover
BJ920188,2026-03-31,29.428173558982,57.4712981729,92.174219134528,179.880925470341,15.061199130169,4.0958159596,4.86,0.976411851872,38.9300371117,0.512090303677,855.434759420019,0.500330981535
BJ920188,2025-12-31,8.216152483576,58.0454867288,112.01725185784,209.908136620017,7.889560750699,15.5489153105,19.78,3.213790679822,31.4665112742,0.282622604731,728.535967462571,1.715035947614
BJ920188,2025-09-30,17.468776173465,57.532153456,117.014545345808,185.388186522986,16.08184217646,13.4615650351,17.24,2.307405452904,34.2405778626,0.237206017555,686.76680600157,1.456403479984
BJ920188,2025-06-30,39.361616447524,57.011005015,115.895097912381,180.954429034026,26.289862249892,9.4532417155,12.15,1.553128676211,34.6029897119,0.072681444207,658.878545120189,0.994725583457
BJ920188,2025-03-31,,57.7429572245,,,,,5.93,,33.7391129952,0.211102679462,,
BJ920188,2024-12-31,37.250617401696,59.6769847319,100.921330030174,200.121364166085,22.357565007243,17.3392348421,23.28,3.567134914813,31.2505098052,0.372616318678,648.8281422043,1.79890838492
BJ920188,2024-09-30,,58.1593183034,,,,,,,33.6718753706,0.299976873559,,
BJ920188,2024-06-30,,55.3951820507,,,,,11.56,,31.3052005032,0.146584365097,,
BJ920188,2023-12-31,26.831088421745,52.635232989,96.754484329767,176.956524357125,15.696391465617,14.9878913877,20.97,3.720757776694,27.8016191446,0.225760159461,667.777917060876,2.0343980043
BJ920188,2022-12-31,,51.9685782652,102.236606954715,203.282106135476,,25.0757954151,16.93,3.521243620296,25.3608721013,0.306417787715,,1.770937968146
