instrument,datetime,profit_growth,gross_margin,ar_turn_days,inventory_turn_days,revenue_growth,roa,roe,ar_turnover,net_margin,ocf_to_np,asset_turn_days,inventory_turnover
BJ920181,2026-03-31,14.724301376852,25.3931014771,78.416596381563,115.899776064011,7.667795808956,4.8222018797,5.58,1.147716225301,18.3640360182,0.201604048563,342.740366928896,0.776532993043
BJ920181,2025-12-31,19.182805426747,25.7953625087,78.273095625319,106.0288380464,31.2200710023,17.7284759491,20.82,4.599281491603,14.6791717985,0.044246051584,298.079872327594,3.395302699087
BJ920181,2025-09-30,31.981766082895,26.9560658642,77.951924679561,112.71581080966,38.434683539247,14.4765184141,,3.463673297483,15.8659938715,0.087731768983,295.91495847062,2.395404851019
BJ920181,2025-06-30,29.418159643312,26.3126730529,81.027030041736,102.873185328969,43.964942363814,9.4387673493,10.97,2.221480904672,15.1829409569,-0.02591978654,289.54303789008,1.749727097731
BJ920181,2025-03-31,64.877461361103,26.8288060659,69.640071933438,105.77416687479,69.229313276134,5.1525291257,6.04,1.292359377314,17.2344939695,-0.011046673179,301.037494287721,0.850869381997
BJ920181,2024-12-31,34.19991310111,27.0111941876,82.489868136156,113.297015077232,42.648574028356,19.9202007498,25.2,4.364172329695,16.1617437915,-0.016888696037,292.076763583552,3.177488831057
BJ920181,2024-09-30,,26.9834584021,,,,,,,16.6417218516,0.040009090825,,
BJ920181,2024-06-30,,28.3838044031,84.119407392444,116.557925026796,,10.703219088,12.44,2.139815359852,16.8895248225,-0.037130817121,284.037395016087,1.544296537182
BJ920181,2024-03-31,,27.746517568,,,,,,,17.6893891685,0.004804251563,,
BJ920181,2023-12-31,25.377999429063,28.8543361173,79.335553340239,129.825138480234,46.37261567636,19.9272290018,24.36,4.537688146651,17.179219065,0.053670798192,310.35518600357,2.772960647023
BJ920181,2022-12-31,,32.9389463928,95.128860045349,183.351390652565,,34.5969116102,23.38,3.784340523248,20.0558889221,0.108240854764,,1.963442975364
BJ920181,2019-06-30,-1.940237656324,39.3404977703,84.828647337177,31.825812307254,-5.645660540477,5.7762842227,6.74,2.121924675806,17.5888162993,0.255985966227,548.100961074808,5.655786512603
BJ920181,2018-12-31,13.759932838844,35.4642257168,75.323539178812,39.405413868892,6.306838133334,15.1409522614,17.8,4.779382433762,19.9743400965,0.213095875361,474.921412511286,9.13580050695
BJ920181,2018-06-30,-4.39062251605,38.4137661415,79.377601970946,63.159723421412,9.454571466698,6.6412611648,7.8,2.267642200452,16.9241807662,0.104026254095,458.700909709075,2.849917482998
BJ920181,2017-12-31,-17.55195949099,40.1982615886,66.99888423939,40.915082329076,31.390167756324,13.9326351823,16.26,5.373223809425,18.6657014159,0.03028745541,482.295877398124,8.798711367719
BJ920181,2017-06-30,91.004054466786,44.8601303963,59.853818508663,40.833398533881,42.38599099095,7.4346983748,8.37,3.007326925582,19.3749713882,0.06220641228,469.083569240003,4.408156226591
BJ920181,2016-12-31,28.458760549176,47.2405049462,79.124184396041,46.704993082219,-16.712030170308,16.4588473362,24.22,4.549809931665,29.7458814689,0.110186897937,650.623771522988,7.70795532217
BJ920181,2016-06-30,-25.193044103457,34.8618698149,87.698776045558,29.369178992306,-24.702367506111,3.6121099831,5.68,2.052480184062,14.4432771819,-0.540565883379,719.742727907209,6.128874084194
BJ920181,2015-12-31,4.368322142512,42.146960008,74.334645947347,39.637610121154,-3.159431501306,12.57260863,18.86,4.842963807953,19.2861434109,0.216348184501,552.23317866939,9.0822831876
BJ920181,2015-06-30,,37.4103991269,,,,,7.64,,14.5380140685,0.031307454361,,
BJ920181,2014-12-31,-9.484746687246,38.9628261528,77.397030005635,32.837740495929,-4.490525383472,13.1891584534,16.27,4.651341272059,17.8950955014,0.256953393581,488.449236791331,10.962995460806
BJ920181,2013-12-31,,42.3353045046,78.745225354488,23.366966498352,,31.4240719248,20.63,4.571705755865,18.8824657391,0.202561204711,,15.406364365926
