instrument,datetime,asset_turn_days,ar_turnover,profit_growth,fixed_asset_turnover,equity_turnover,roa_alt,current_asset_turnover,net_margin,eps,inventory_turnover,current_asset_turn_days,gross_margin,roe,revenue_growth,ocf_to_np,asset_turnover,ar_turn_days,inventory_turn_days,roa,roe_weighted
SZ000980,2021-03-31,4225.3521,0.0614,38.959246005925,,,-2.6432,0.0379,-124.6162,-0.1262,0.6441,2374.6702,2.36756479,,-2.126,0.111930240336,0.0213,1465.798,139.7299,-2.6432,0.0
SZ000980,2021-06-30,4368.932,0.1212,27.220942113369,0.1385,,17.4907,0.0741,-196.1926,-0.3718,1.0887,2429.1498,9.3953728851,,-50.0762,-0.668772140606,0.0412,1485.1485,165.3348,-8.318,0.0
SZ000980,2021-09-30,4205.6075,0.1961,36.649581679747,,,-10.4378,0.1119,-161.8476,-0.4883,1.6214,2412.8686,8.1632375914,,-37.645,-0.354438479105,0.0642,1376.8485,166.5228,-10.4378,0.0
SZ000980,2021-12-31,3837.9531,0.32,93.178420714395,0.2887,,27.0006,0.1684,-85.7564,-0.1396,2.5447,2137.7672,10.7241067051,-20.5,-38.3359,-1.63147982223,0.0938,1125.0,141.4705,-8.8309,0.0
SZ000980,2022-03-31,5660.3774,0.069,38.48723875992,,0.0371,-2.0412,0.0287,-125.4255,-0.0309,0.4215,3135.8885,9.8671703829,-4.77,-39.1195,0.118054416768,0.0159,1304.3478,213.5231,-2.0412,0.0
SZ000980,2022-06-30,4761.9048,0.1631,63.145102350269,0.1066,0.09,34.6102,0.0683,-93.4666,-0.0549,1.0023,2635.4319,8.2381386645,-8.76,-22.4966,-0.421550995829,0.0378,1103.6174,179.587,-3.5934,-5.63
SZ000980,2022-09-30,4354.8387,0.2708,57.884463922901,,0.15,-5.4413,0.113,-85.8211,-0.0822,1.6094,2389.3805,10.0701645996,-13.78,-20.5886,-0.350532737629,0.062,997.0458,167.7644,-5.4413,-12.87
SZ000980,2022-12-31,3478.2609,0.4614,-30.439927698258,0.2899,0.266,26.4591,0.1929,-116.0009,-0.1792,2.878,1866.2519,10.6530735543,-37.3,-5.0896,0.279544209241,0.1035,780.2341,125.0869,-12.758,-30.42
SZ000980,2023-03-31,3913.0435,0.1048,-19.716084814158,,0.0693,-2.6781,0.0453,-115.4107,-0.0373,0.7695,1986.755,-5.7684682857,-8.34,30.2302,-0.599612016756,0.023,858.7786,116.9591,-2.6781,0.0
SZ000980,2023-06-30,3396.2264,0.2417,-2.365435051383,0.1469,0.1613,37.465,0.1053,-76.3469,-0.0562,1.3232,1709.4017,10.9243126954,-13.19,24.5459,-0.202512012568,0.053,744.7249,136.0339,-4.1112,-12.37
SZ000980,2023-09-30,3524.8042,0.3454,-8.926325984886,,0.2397,-6.5986,0.1519,-83.9119,-0.0885,1.9433,1777.4852,8.4222794681,-22.48,9.4539,-0.275104679017,0.0766,781.7024,138.9389,-6.5986,-20.21
SZ000980,2023-12-31,3260.8696,0.4896,-1.771092546372,0.297,0.3721,31.5334,0.2147,-126.2985,-0.1838,2.7767,1676.7583,4.7441937271,-61.89,-6.2835,-0.229608930405,0.1104,735.2941,129.6503,-15.0017,-47.82
SZ000980,2024-03-31,4864.8649,0.08,32.576737804549,,0.0786,-2.0667,0.0356,-110.9466,-0.0249,0.3479,2528.0899,10.5538396753,-9.04,-30.4158,-0.25964075958,0.0185,1125.0,258.695,-2.0667,0.0
SZ000980,2024-06-30,4295.9427,0.1753,8.917834544356,0.1087,0.1808,42.4661,0.0797,-102.7244,-0.0507,0.7396,2258.4693,14.4571535623,-20.41,-32.949,0.052129097162,0.0419,1026.8112,243.3748,-4.4778,-18.52
SZ000980,2024-09-30,4084.7201,0.2716,26.7061372557,,0.2871,-5.9783,0.1272,-84.9935,-0.0649,1.1148,2122.6415,15.7733347306,-27.8,-27.6331,-0.018351235524,0.0661,994.109,242.1959,-5.9783,-24.41
SZ000980,2024-12-31,3155.1271,0.4858,-6.819207277281,0.2523,0.64,41.9535,0.2359,-179.2001,-0.1983,1.8984,1526.0704,19.8695698804,-426.02,-23.9575,0.896491254598,0.1141,741.0457,189.6334,-27.733,-136.16
SZ000980,2025-03-31,3237.4101,0.1161,18.55263330391,,0.5236,-2.9586,0.0663,-104.9982,-0.0206,0.5275,1357.4661,12.105452986,-78.18,-12.8315,-0.207357411805,0.0278,775.1938,170.6161,-2.9586,0.0
SZ000980,2025-06-30,2258.4693,0.3244,42.819186739932,0.1388,1.6799,70.3374,0.1919,-52.7467,-0.0293,1.2987,937.9885,22.947953628,-169.48,12.6075,-0.200701958364,0.0797,554.8705,138.6001,-4.3173,-91.82
SZ000980,2025-09-30,2246.2562,0.4874,33.128174982475,,3.2236,-6.5609,0.2899,-52.7264,-0.0438,1.9555,931.3556,22.0801042867,-1769.37,8.9777,-0.0539301636,0.1202,553.9598,138.0721,-6.5609,-179.96
SZ000980,2025-12-31,2435.724,0.6027,63.294202167302,0.2615,2.8954,63.4202,0.3454,-70.6407,-0.073,2.9323,1042.2698,23.2350107723,-320.62,-6.662,0.317349833672,0.1478,597.3121,122.7705,-10.6822,-210.22
SZ000980,2026-03-31,4017.8571,0.089,20.412798235192,,0.9593,-2.5732,0.0533,-111.1219,-0.0165,0.7066,1688.5553,5.5443767594,-250.8,-24.2925,-0.707038912661,0.0224,1011.236,127.3705,-2.5732,-87.21
