instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ002753,2021-03-31,84.5938,15.5523,0.4194,6.52,44.4115,0.3475,4.8713,0.3215,1.4914,6.32,279.9378,,633.9057,60.346,4.8713,2.0265,0.529,170.1323,0.1817,23.7883385519
SZ002753,2021-06-30,74.6015,13.134,0.8793,11.55,39.7948,0.6266,18.2203,0.6701,3.1844,11.0,268.6166,2.7771,659.7764,56.5256,8.3862,4.5232,1.1134,161.667,0.1968,19.9201245557
SZ002753,2021-09-30,68.0748,9.8035,1.3311,13.05,40.3437,0.7138,9.4742,1.0183,4.8726,12.33,265.1478,,290.0481,55.4119,9.4742,6.6925,1.7373,155.4136,-0.0377,15.7222770496
SZ002753,2021-12-31,57.1995,8.4374,1.8108,15.27,34.5284,0.8448,21.7178,1.3957,6.603,14.31,257.9351,5.8499,100.4554,54.5207,11.1439,10.4262,2.4345,147.8743,0.1298,12.7404277888
SZ002753,2022-03-31,1.1469,1.2442,0.3819,0.48,44.0335,0.0281,0.369,0.2973,1.2662,0.47,302.7245,,-91.9083,71.0788,0.369,2.0439,0.542,166.0517,-3.5658,5.325548372
SZ002753,2022-06-30,12.1166,2.52,0.9059,2.28,39.7816,0.1348,11.6732,0.66,2.8253,2.28,272.7273,3.1094,-78.4884,63.71,1.5623,4.5247,1.1569,155.5882,-2.9518,6.1407715299
SZ002753,2022-09-30,18.5034,1.6556,1.4607,2.42,39.0467,0.1429,1.6266,1.0546,4.6205,2.42,256.0212,,-79.9872,58.4352,1.6266,6.9148,1.8599,145.1691,-3.7781,5.0297073157
SZ002753,2022-12-31,19.8191,0.8744,2.0379,1.78,41.4608,0.1049,11.7792,1.453,6.3229,1.79,247.7632,5.5204,-87.5825,56.9359,1.1744,8.6829,2.5546,140.9223,-6.4476,4.4171535045
SZ002753,2023-03-31,34.2019,-0.3987,0.5171,-0.21,52.6439,-0.0121,-0.1197,0.3186,1.4927,-0.21,282.4859,,-143.0085,60.2934,-0.1197,1.7096,0.5221,172.3808,-0.050133387988,3.6289824384
SZ002753,2023-06-30,9.1482,-0.1976,0.9956,-0.2,48.6119,-0.0115,11.7734,0.6575,3.1449,-0.2,273.7643,2.2226,-108.5607,57.2355,-0.1307,3.7028,1.1305,159.2216,0.018486068537,3.017990842
SZ002753,2023-09-30,3.4403,1.7701,1.5005,2.66,46.8319,0.1579,1.8096,1.0107,4.8235,2.62,267.1416,,10.5919,55.976,1.8096,5.7653,1.7482,154.4446,2.2725,5.2052307447
SZ002753,2023-12-31,1.3092,2.2214,2.0241,4.49,45.4902,0.2698,16.4247,1.3812,6.2654,4.4,260.6429,4.6739,157.3657,57.4584,3.1153,7.9138,2.4238,148.5271,1.9444,5.5648888431
SZ002753,2024-03-31,-15.689,3.2926,0.4161,1.37,46.5598,0.0841,0.9471,0.2913,1.4186,1.37,308.9598,,796.2171178149,63.4428,0.9471,1.933,0.5249,171.4612,-2.0384,6.5210597859
SZ002753,2024-06-30,-2.6908,2.429,0.9308,2.24,40.5936,0.1379,16.2246,0.6583,2.9336,2.27,273.4316,2.1429,1295.87074805235,61.3581,1.6057,4.4342,1.2177,147.8197,0.0716,5.1597994922
SZ002753,2024-09-30,-5.5352,2.594,1.3726,3.56,40.2745,0.2186,2.5374,0.9755,4.6218,3.56,276.7811,,38.4343,58.4188,2.5374,6.704,1.8266,147.8156,0.016,5.2295794279
SZ002753,2024-12-31,-7.3492,2.6348,1.8218,4.81,37.662,0.2965,19.221,1.2973,6.0107,4.77,277.4994,3.8045,9.8955,59.8932,3.4126,9.5587,2.4475,147.0889,0.5926,5.450059741
SZ002753,2025-03-31,-9.3393,3.4079,0.3704,1.26,49.7402,0.079,0.9157,0.2677,1.3035,1.25,336.1972,,-6.1646,69.0449,0.9157,1.8094,0.5377,167.3796,1.8721,5.9490242746
SZ002753,2025-06-30,-11.3334,2.1184,0.8126,1.7,40.3796,0.1066,18.0665,0.5755,2.6981,1.73,312.7715,1.5117,-22.6724,66.7136,1.2111,4.4577,1.1672,154.2152,2.0174,4.7302246874
SZ002753,2025-09-30,-9.108,1.6993,1.2349,2.09,40.8515,0.1301,1.4571,0.8693,4.1606,2.1,310.5947,,-40.4572,64.8945,1.4571,6.6093,1.7763,152.0014,1.5723,4.5337561688
SZ002753,2025-12-31,-8.8925,1.0109,1.5375,1.67,37.0431,0.0908,17.2506,1.0984,5.6483,1.46,327.7495,3.042,-65.0441,63.736,1.0386,9.7184,2.1592,166.7284,4.2134,3.5871458934
SZ002753,2026-03-31,12.3649,0.1364,0.3655,0.05,43.2755,0.0031,0.0341,0.2551,1.4539,0.05,352.8028,,-95.5024,61.9025,0.0341,2.0797,0.4926,182.704,-93.3403,3.8201853739
