instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ001337,2021-03-31,,25.6993,0.3857,9.91,147.4685,,4.0941,,,9.41,614.210386228646,,,,4.0941,0.6103,0.4463,201.6581,1.269,47.766534193
SZ001337,2021-09-30,,30.6102,0.7965,24.38,226.1685,,11.0068,,,21.65,820.480403447711,,,,11.0068,1.1938,1.0521,256.6296,1.2559,50.5763013128
SZ001337,2021-12-31,14.2514,29.1695,0.9945,27.15,148.8772,,36.7148,0.4482,4.3978,23.91,803.2129,,-5.8259,81.8591,12.8461,2.4181,1.3102,274.7672,1.2812,45.5031487982
SZ001337,2022-03-31,-34.5176,37.2317,0.3461,6.23,,,,,,6.23,,,-5.1326,,,,,,2.1118,38.2358644439
SZ001337,2022-06-30,,41.6484,0.412,17.16,79.8474,,33.9206,0.237,2.6283,15.79,759.4937,1.5586,,68.4853,9.6563,2.2543,0.7401,243.2104,1.44,49.2825556843
SZ001337,2022-09-30,-7.0665,45.551,1.0985,,,,,,,,,,38.2942,,,,,,2.0465,48.4389387849
SZ001337,2022-12-31,-10.1551,42.0538,0.6377,26.82,136.111,,14.6294,0.3702,,23.65,972.4473,,29.5297,,14.6294,2.6449,1.1739,306.6701,1.8991,51.3080867782
SZ001337,2023-03-31,60.0613,34.8037,0.1665,6.17,94.162,0.1473,3.5799,,333.3503,4.78,781.424463213343,,49.6232,0.27,3.5799,0.9558,0.2875,313.0435,1.355,54.511331539
SZ001337,2023-06-30,15.6415,27.6806,0.3209,8.15,88.205,0.2205,25.0725,0.2175,726.7214,7.44,827.5862,,-23.1416,0.2477,5.3866,2.0407,0.5785,311.1495,1.5759,44.5761581441
SZ001337,2023-09-30,41.5689,31.4972,0.4647,13.24,69.1404,0.3741,8.9037,,79.2944,12.02,845.144014425027,,-2.1093,3.405,8.9037,3.9051,0.8565,315.2364,1.6101,47.033429516
SZ001337,2023-12-31,33.1308,33.5334,0.5724,17.26,106.3987,0.5022,30.6689,0.3918,,15.54,918.8361,,6.1576,,11.3867,3.3835,1.0374,347.0214,1.451,51.1923652721
SZ001337,2024-03-31,6.835,40.4355,0.1359,5.5,71.7589,0.1828,4.0432,0.1012,,5.34,889.3281,,24.1226,,4.0432,1.2542,0.238,378.1513,1.2452,56.703202739
SZ001337,2024-06-30,18.0683,35.5799,0.2864,9.94,72.3095,0.3347,27.4567,0.213,30.7555,10.03,845.0704,2.4576,51.7616,5.8526,7.5692,2.4893,0.5069,355.0996,1.0739,53.053789923
SZ001337,2024-09-30,5.7712,37.3352,0.3812,13.96,79.0167,0.4691,10.1112,0.2777,69.8055,13.96,972.2722,,25.376,3.8679,10.1112,3.417,0.6671,404.7369,1.447,53.4424389893
SZ001337,2024-12-31,1.724,38.7898,0.4544,17.63,112.9766,0.5909,29.1031,0.3319,315.2125,17.02,1084.6641,1.4028,17.6693,1.1421,12.3885,3.1865,0.8136,442.4779,1.3403,56.6111869808
SZ001337,2025-03-31,9.7117,46.0229,0.1381,6.36,100.5137,0.2283,4.7703,0.1038,70.6568,6.15,867.052,,24.8718,1.2738,4.7703,0.8954,0.2571,350.0583,0.9971,63.157350458
SZ001337,2025-06-30,11.9217,47.1786,0.2917,13.45,118.6709,0.4967,25.7817,0.2139,90.4249,13.26,841.5147,0.5972,48.407,1.9906,9.789,1.5168,0.5229,344.2341,1.4847,65.0704022761
SZ001337,2025-09-30,49.4256,46.8124,0.4943,23.06,90.3705,0.8788,16.2031,0.3683,448.0454,21.32,733.098,,87.3557,0.6026,16.2031,2.9877,0.8788,307.2371,1.0904,64.1119253036
SZ001337,2025-12-31,60.3775,45.3953,0.6243,28.49,141.1709,1.1091,28.2558,0.4103,819.3303,25.47,877.4068,1.2593,87.6883,0.4394,15.5362,2.5501,1.0341,348.1288,1.385,62.8133899608
SZ001337,2026-03-31,130.7886,55.2245,0.2446,13.51,123.018,0.6321,7.7879,0.1501,45.463,12.63,599.6003,,176.9309,1.9796,7.7879,0.7316,0.3442,261.4759,1.6276,69.5405172677
