instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ000530,2021-03-31,6.1292,-6.3958,0.1432,-0.86,157.1503,-0.0373,-0.5413,0.0856,0.585,-0.86,1051.4019,,50.736280733024,153.8462,-0.5413,0.5727,0.1907,471.9455,0.035668670254,11.2063458002
SZ000530,2021-06-30,25.2898,-1.545,0.3192,-0.43,150.4891,-0.0201,8.4402,0.1893,1.2897,-0.44,950.8716,1.2616,38.213876772636,139.5673,-0.2876,1.1961,0.419,429.5943,-0.026398808251,13.1483818258
SZ000530,2021-09-30,31.0919,-2.7416,0.5133,-1.2,142.1726,-0.057,-0.8194,0.3035,2.018,-1.26,889.6211,,-1402.9161,133.7958,-0.8194,1.8991,0.6673,404.6156,0.002777346694,12.228209386
SZ000530,2021-12-31,20.9545,-13.172,0.643,-8.31,169.9396,-0.3264,4.4666,0.366,2.5501,-8.96,983.6066,2.3913,-1304.3409,141.1709,-4.7979,2.1184,0.7649,470.6498,0.000726695563,11.4721442066
SZ000530,2022-03-31,18.005,-2.0612,0.1906,-0.43,184.5397,-0.0142,-0.2127,0.1022,0.7049,-0.43,880.6262,,55.38151930225,127.6777,-0.2127,0.4877,0.1984,453.629,-0.189471511356,14.4068186749
SZ000530,2022-06-30,18.055,2.3098,0.4223,0.98,164.4737,0.0354,10.1271,0.2232,1.4326,0.98,806.4516,1.531,311.848556684353,125.6457,0.5108,1.0944,0.4185,430.1075,-6.3475,12.7172298351
SZ000530,2022-09-30,16.6791,0.5327,0.6702,0.27,155.53,0.0129,0.1839,0.3508,2.1032,0.27,769.6693,,118.701923743572,128.3758,0.1839,1.736,0.648,416.6667,-27.0841,13.1002144758
SZ000530,2022-12-31,38.4776,0.6875,0.947,0.61,170.9483,0.0236,20.3837,0.4338,2.5929,0.61,829.8755,2.7584,106.962008446368,138.8407,0.2616,2.1059,0.7384,487.5406,-2.8281,12.2898715646
SZ000530,2023-03-31,84.8846,2.3883,0.349,0.84,134.5493,0.0304,0.3418,0.1421,0.7119,0.84,633.3568,,289.867324121038,126.4223,0.3418,0.6689,0.2223,404.8583,-6.1847,16.9100721181
SZ000530,2023-06-30,80.1696,2.5567,0.7532,1.87,137.1951,0.0706,22.2689,0.2935,1.5694,1.87,613.2879,1.8102,99.4305,114.6935,0.7206,1.312,0.4532,397.1756,-2.1307,16.8346045908
SZ000530,2023-09-30,76.2183,2.1039,1.1642,2.34,135.8012,0.0899,0.9188,0.4545,2.436,2.34,594.0594,,596.0214,110.8374,0.9188,1.9882,0.7023,384.4511,-2.194,17.0829107132
SZ000530,2023-12-31,66.4639,1.1249,1.5625,1.63,136.3172,0.0642,22.8769,0.611,3.2252,1.62,589.198,3.7783,172.3849,111.621,0.6637,2.6409,0.9485,379.5467,-0.4511,16.8262844336
SZ000530,2024-03-31,8.1811,2.4659,0.372,0.96,147.6378,0.0339,0.3596,0.144,0.7073,0.95,625.0,,11.6996,127.2445,0.3596,0.6096,0.223,403.5874,-5.5286,16.996196177
SZ000530,2024-06-30,5.8319,3.2174,0.7869,2.55,134.8113,0.094,23.7297,0.3088,1.4494,2.53,582.9016,1.9155,33.1777,124.1893,1.0175,1.3352,0.4804,374.6878,-0.4112,16.815340654
SZ000530,2024-09-30,3.1223,2.6243,1.1832,3.08,128.4185,0.1156,1.2683,0.4687,2.2063,3.03,576.0614,,28.6264,122.3768,1.2683,2.1025,0.7283,370.7263,-0.4646,17.0008532952
SZ000530,2024-12-31,-5.9136,2.5089,1.44,3.57,144.9917,0.1348,25.0726,0.5739,2.9532,3.52,627.287,3.582,109.8439,121.9017,1.4903,2.4829,0.8743,411.758,2.0861,16.9347619355
SZ000530,2025-03-31,0.2642,2.7371,0.3629,0.96,123.0349,0.0378,0.4274,0.1543,0.7272,0.95,583.2793,,11.2898,123.7624,0.4274,0.7315,0.2327,386.7641,-5.8735,14.8998796556
SZ000530,2025-06-30,-2.5188,3.4373,0.748,2.52,118.2033,0.0979,25.9857,0.3184,1.4831,2.51,565.3266,1.9721,4.1445,121.3674,1.1074,1.5228,0.4801,374.9219,-0.0125,16.4160501496
SZ000530,2025-09-30,-2.733,2.5869,1.1238,2.86,119.0791,0.1108,1.2353,0.4756,2.1541,2.84,567.704,,-4.1177,125.3424,1.2353,2.2674,0.7112,379.64,-0.1628,16.4329237261
SZ000530,2025-12-31,-2.9364,1.4839,1.374,1.94,139.265,0.0774,25.8535,0.5778,2.813,1.97,623.053,3.5305,-42.5931,127.9772,0.8591,2.585,0.8714,413.1283,1.8727,16.856142396
SZ000530,2026-03-31,-10.4579,2.1096,0.3231,0.67,146.2939,0.0261,0.2993,0.1395,0.6302,0.67,645.1613,,-30.9854,142.8118,0.2993,0.6152,0.2129,422.7337,-7.7796,15.5510662315
