instrument,datetime,asset_turn_days,ar_turnover,profit_growth,fixed_asset_turnover,equity_turnover,roa_alt,current_asset_turnover,net_margin,eps,inventory_turnover,current_asset_turn_days,gross_margin,roe,revenue_growth,ocf_to_np,asset_turnover,ar_turn_days,inventory_turn_days,roa,roe_weighted
SZ002481,2021-03-31,718.2761,2.455,41.3036,,0.1687,2.6744,0.2596,21.2709,0.0801,0.5452,346.6872,31.9382451134,3.55,9.7272,1.1994,0.1253,36.6599,165.077,2.6744,3.6
SZ002481,2021-06-30,706.7138,5.0034,30.6496,0.6366,0.3628,21.1325,0.5102,21.7182,0.1767,1.0057,352.8028,32.8666990939,7.81,4.1126,0.5614,0.2547,35.9755,178.9798,5.2387,8.0
SZ002481,2021-09-30,723.8606,7.994,-15.1718,,0.5303,5.4595,0.7428,15.4734,0.1846,1.7358,363.4895,26.732225579,8.11,2.592,0.4485,0.373,33.7753,155.5479,5.4595,8.28
SZ002481,2021-12-31,621.118,10.0415,-24.201,1.3181,0.7887,26.8256,1.2668,12.3426,0.2149,2.5226,284.1806,26.3989311862,9.82,7.2165,0.8043,0.5796,35.8512,142.7099,7.1812,9.48
SZ002481,2022-03-31,760.1351,1.9334,-48.5035,,0.1622,1.3272,0.2701,11.4169,0.0412,0.4203,333.2099,21.9994378497,1.85,-4.0565,-5.0592,0.1184,46.5501,214.1328,1.3272,1.87
SZ002481,2022-06-30,607.0826,4.9387,-105.1325,0.7171,0.4359,18.2021,0.6441,-0.9472,-0.0091,1.1994,279.4597,14.6133282191,-0.41,17.6805,-0.224015203709,0.2965,36.4468,150.075,-0.2617,-0.41
SZ002481,2022-09-30,573.1267,7.7954,-185.3768,,0.7073,-4.7482,1.0568,-10.6005,-0.1583,2.1947,255.4883,6.1436541633,-7.95,24.6236,-0.153136395504,0.4711,34.6358,123.0236,-4.7482,-7.51
SZ002481,2022-12-31,577.9419,10.7286,-216.4674,1.3761,0.9311,14.0251,1.5168,-13.0716,-0.2523,3.138,237.3418,5.2127477708,-13.2,9.9728,0.039995024181,0.6229,33.5552,114.7228,-7.9328,-12.1
SZ002481,2023-03-31,644.2377,2.3962,-219.0329,,0.2237,-1.7068,0.3719,-11.652,-0.0495,0.9271,242.0005,-4.9049857942,-2.64,16.6313,0.090398143136,0.1397,37.5595,97.0769,-1.7068,-2.25
SZ002481,2023-06-30,664.6972,4.9533,-521.344166895237,0.5739,0.4362,23.906,0.7146,-6.7723,-0.056,1.7728,251.8892,-0.9126342049,-2.99,-14.3233,0.226604047573,0.2708,36.3394,101.5343,-1.9134,-2.94
SZ002481,2023-09-30,629.8111,7.6003,96.662770438921,,0.6713,-0.2086,1.1599,-0.4584,-0.0059,2.5734,232.7787,7.1869379355,-0.28,-13.9953,0.189749925247,0.4287,35.5249,104.9196,-0.2086,-0.28
SZ002481,2023-12-31,566.394,12.0325,129.981291927062,1.3241,0.9938,28.9032,1.6304,3.7342,0.0743,3.5862,220.8047,14.8099875185,3.65,3.1333,2.5155,0.6356,29.919,100.3848,2.4105,3.87
SZ002481,2024-03-31,817.4387,1.9819,168.678220109543,,0.1676,0.9982,0.2717,9.4116,0.0332,0.5951,331.2477,23.3907634432,1.59,-16.9525,3.033,0.1101,45.411,151.2351,0.9982,1.61
SZ002481,2024-06-30,770.8779,4.4424,178.791599893541,0.5165,0.3806,24.5474,0.525,5.3591,0.0428,1.4499,342.8571,23.0603123759,2.07,-3.3231,4.8314,0.2335,40.5186,124.1465,1.1388,2.08
SZ002481,2024-09-30,679.0744,7.9546,1060.85034848883,,0.6498,1.2864,0.8785,3.5784,0.0491,2.6652,307.3421,17.1940854851,2.4,6.4295,5.2658,0.3976,33.9426,101.3057,1.2864,2.42
SZ002481,2024-12-31,624.8915,10.0042,1.0826,1.2787,0.9391,26.8778,1.3371,3.7868,0.0751,4.3064,269.2394,15.0064469223,3.61,-0.3235,3.5052,0.5761,35.9849,83.5965,1.9746,3.61
SZ002481,2025-03-31,838.7698,1.7955,-80.2698,,0.1887,0.1747,0.2326,1.6164,0.0065,0.7095,386.9304,16.7322297869,0.34,14.8787,-3.7026,0.1073,50.1253,126.8499,0.1747,0.34
SZ002481,2025-06-30,793.6508,4.1005,1.4796,0.5602,0.3951,28.7044,0.5012,5.1219,0.0435,1.2494,359.1381,17.9212865506,2.07,6.1804,-3.3323,0.2268,43.8971,144.0692,1.1818,2.05
SZ002481,2025-09-30,843.4864,6.0861,-43.5699,,0.5911,0.7156,0.6947,2.255,0.0277,1.9947,388.657,17.7028341057,1.4,-10.452,3.9055,0.3201,44.3634,135.3587,0.7156,1.33
SZ002481,2025-12-31,793.4759,8.4848,-65.6013,1.0088,0.8342,29.2203,0.996,1.5037,0.0258,2.5463,361.4458,20.1866823166,1.35,-13.3706,2.8465,0.4537,42.4288,141.3816,0.6852,1.28
SZ002481,2026-03-31,760.1351,2.2704,80.9529,,0.2252,0.3141,0.2691,2.6529,0.0119,0.5519,334.4482,17.3358422218,0.62,10.2563,6.2357,0.1184,39.6406,163.073,0.3141,0.62
