instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ002930,2021-03-31,92.976,28.3138,0.1065,3.03,3.8396,0.1648,1.1851,0.0412,2.1778,2.99,2184.466,,137.8635,41.3261,1.1851,23.4397,0.2743,328.1079,2.3085,65.6052191106
SZ002930,2021-06-30,61.1864,29.5929,0.2223,6.51,3.6173,0.3562,19.3565,0.0835,4.5039,6.58,2155.6886,0.1799,83.6664,39.9654,2.4453,49.7602,0.54,333.3333,2.3941,65.8204792607
SZ002930,2021-09-30,34.1207,28.8621,0.31,9.43,3.5592,0.5185,3.3154,0.1203,6.9278,9.29,2244.389,,32.8052,38.9734,3.3154,75.8604,0.6969,387.43,2.4965,65.623389266
SZ002930,2021-12-31,28.2491,27.773,0.4129,12.22,3.3157,0.6762,21.9086,0.1643,9.7554,11.56,2191.1138,0.3373,20.8781,36.9026,4.3875,108.5748,1.0387,346.5871,2.5786,65.2911762601
SZ002930,2022-03-31,4.2577,21.8366,0.0926,2.27,2.5791,0.1316,0.7204,0.0358,2.2163,2.25,2513.9665,,-19.5929,40.6082,0.7204,34.8953,0.2621,343.3804,2.4418,60.1668242983
SZ002930,2022-06-30,12.906,23.3117,0.2091,5.2,3.2407,0.3141,17.4533,0.0788,4.4228,5.31,2284.264,0.1576,-11.0589,40.6982,1.6649,55.5427,0.5239,343.577,3.0424,59.4826848457
SZ002930,2022-09-30,16.7989,22.321,0.3214,7.73,3.293,0.4634,2.35,0.1187,7.5808,7.66,2274.642,,-9.6716,35.6163,2.35,81.9922,0.7497,360.1441,3.0691,58.4287593575
SZ002930,2022-12-31,16.1024,19.2101,0.4524,9.36,3.3395,0.5368,19.0645,0.1574,9.1135,9.44,2287.1665,0.3051,-19.6941,39.5018,2.6488,107.799,1.132,318.0212,3.4979,56.2222732817
SZ002930,2023-03-31,39.4696,21.8593,0.1364,2.87,3.8494,0.1817,0.9665,0.0426,2.0622,2.8,2112.6761,,39.6148,43.6427,0.9665,23.38,0.3913,230.0026,2.6373,57.9814363095
SZ002930,2023-06-30,27.8062,24.3258,0.2804,6.53,3.9155,0.4146,21.6639,0.0869,4.5793,6.54,2071.3464,0.1589,33.3663,39.3073,2.177,45.9717,0.7405,243.079,2.8791,59.3489741987
SZ002930,2023-09-30,23.8223,24.1236,0.4134,9.76,4.0382,0.6133,3.193,0.1295,6.6228,9.39,2084.9421,,33.8219,40.7683,3.193,66.8608,1.0332,261.324,2.8471,59.4097605547
SZ002930,2023-12-31,22.477,22.0247,0.5427,11.81,4.1088,0.7412,23.3924,0.1661,8.5947,11.21,2167.3691,0.31,40.422,41.8863,3.5988,87.6159,1.4339,251.0635,3.0993,57.6457640071
SZ002930,2024-03-31,1.0707,17.8704,0.1251,2.24,4.2983,0.1475,0.668,0.0387,1.8087,2.21,2325.5814,,-17.3726,49.7595,0.668,20.9383,0.3005,299.5008,2.7193,52.7052188983
SZ002930,2024-06-30,-4.8288,19.9439,0.2411,4.92,4.6143,0.319,23.1261,0.0772,3.8146,5.01,2331.6062,0.1446,-21.9723,47.1871,1.5273,39.0092,0.7863,228.9203,3.1884,52.1665497483
SZ002930,2024-09-30,-6.2862,17.7491,0.3543,6.39,4.6382,0.4219,2.0366,0.1148,6.165,6.41,2351.9164,,-31.0492,43.7956,2.0366,58.2121,1.2601,214.2687,3.7767,50.9912607399
SZ002930,2024-12-31,-6.2651,13.1675,0.4774,5.99,4.5866,0.4174,26.4115,0.154,7.5557,6.05,2337.6623,0.284,-43.9604,47.6461,2.0388,78.4903,1.7761,202.6913,4.7766,49.6385099045
SZ002930,2025-03-31,-14.9821,11.0493,0.1051,0.8,6.8329,0.078,0.3762,0.0343,1.6458,0.8,2623.9067,,-47.4336,54.6847,0.3762,13.1715,0.3954,227.6176,5.6286,43.9425567746
SZ002930,2025-06-30,-19.8005,1.7413,0.196,-0.47,6.9173,0.0225,26.7404,0.0631,3.1621,-0.49,2852.6149,0.1161,-92.9979,56.9242,0.11,26.0216,0.7342,245.1648,37.4642,38.8542418888
SZ002930,2025-09-30,-19.4613,-1.1465,0.291,-1.49,6.7136,-0.022,-0.1086,0.0941,4.766,-1.54,2869.288,,-105.2023,56.6513,-0.1086,40.2167,1.1279,239.3829,0.643743309259,37.7886085695
SZ002930,2025-12-31,-17.9242,-33.3931,0.4221,-18.26,6.2825,-0.8688,25.8569,0.1306,6.0339,-20.59,2756.5084,0.233,-308.1458,59.6629,-4.4839,57.3019,1.5929,226.0029,0.634688082496,37.5847443315
SZ002930,2026-03-31,8.0092,10.1734,0.1358,0.88,8.1657,0.0776,0.3928,0.039,1.6729,0.87,2307.6923,,-0.5525,53.7988,0.3928,11.0217,0.3922,229.4748,6.2507,42.8388409758
