instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SZ000673,2021-03-31,-44.56485726915,781.9288,0.0241,2884.6154,-1.7728,0.1151,3734.4398,,0.0,48.3746,0.0312,29.6172450414,,0.00186891977,-1.7728,-0.0334,0.133,,-72.6611,676.6917
SZ000673,2021-06-30,86.160258736688,598.4043,0.0574,2400.0,2.5457,0.3008,3135.8885,,0.0,71.2028,0.075,23.1707772956,,0.527042109374,-0.8672,-0.0163,0.329,1.8278,-14.8977,547.1125
SZ000673,2021-09-30,34.925006894117,585.3024,0.0835,2504.6382,-4.4872,0.4613,3233.5329,,0.0,0.9751,0.1078,19.7957168148,,0.129043881185,-4.4872,-0.0854,0.502,,-53.2802,537.8486
SZ000673,2021-12-31,-973.2889,542.7408,0.1213,2110.1993,-12.4006,0.6633,2967.8483,,65.84,-15.9287,0.1706,18.4339111852,-669.08,-0.192538215503,-13.7689,-0.2371,0.7611,5.5155,-106.9137,472.9996
SZ000673,2022-03-31,1.768713364999,1042.8737,0.0186,3092.7835,-2.0052,0.0863,4838.7097,0.512,0.0,-30.6294,0.0291,29.1012115506,,-0.033666064844,-2.0052,-0.0345,0.1372,,-107.7851,655.9767
SZ000673,2022-06-30,-460.790403450997,891.5305,0.0296,3837.9531,-4.435,0.2019,6081.0811,1.1648,0.0,-54.5806,0.0469,-6.2884364248,,-0.564058233469,-4.435,-0.0727,0.227,,-145.9784,792.9515
SZ000673,2022-12-31,-26.179402653191,1581.0277,0.0366,6143.3447,-18.0589,0.2277,9836.0656,,0.0,-73.8109,0.0586,-2.2379045987,,0.238523278417,-18.0589,-0.2616,0.3272,,-450.3834,1100.2445
SZ000673,2023-06-30,-64.985339621863,3015.0754,,8108.1081,-7.423,0.0597,13463.1058370392,,0.0,-61.996,0.0222,17.7579318332,,1.218092806493,-7.423,-0.1028,0.2152,,-542.5975,836.4312
SZ000673,2023-12-31,43.700545633211,1122.8946,,3464.8701,-10.6036,0.3206,5751.4124806282,,0.0,51.7305,0.1039,3.427225949,,-0.004050911349,-10.6036,-0.145,1.0747,,-164.5188,334.9772
SZ000673,2024-06-30,-153.372266601309,1377.1997,,2922.0779,-23.7051,0.1307,4228.8462541716,,0.0,174.9881,0.0616,31.8962417816,,-0.853656701243,-23.7051,-0.2559,1.3471,,-491.397,133.6204
SZ000673,2024-12-31,-137.582807704705,993.3775,,2631.5789,-29.5107,0.3624,3810.41682788401,,0.0,31.961,0.1368,17.1772619048,,-0.525805029292,-29.5107,-0.1978,2.1361,,-277.7367,168.5314
SZ000673,2025-06-30,80.621603690753,705.6056,,2195.122,-4.4246,0.2551,2698.98535916567,,0.0,41.0275,0.082,9.3633682306,,-0.891559099403,-4.4246,-0.03,1.602,,-66.7465,112.3596
