instrument,datetime,asset_turn_days,ar_turnover,profit_growth,net_margin,inventory_turnover,gross_margin,roe,revenue_growth,ocf_to_np,ar_turn_days,inventory_turn_days,roa
SZ001312,2026-03-31,455.975244688603,1.368502317112,3.418355644263,10.3775942312,1.117714391627,28.5279767446,3.05,-7.103954043443,-0.23964066471,65.765325257125,80.52146476256,2.0483205869
SZ001312,2025-12-31,404.753324037987,6.986030102995,-16.187394903495,13.3897645231,5.3518430288,26.9202265001,19.37,-5.10376275531,0.149109474734,51.531412646742,67.266546881649,11.9092665632
SZ001312,2025-09-30,389.63209672798,,-19.873654643097,,,,,-5.50749790499,,,,
SZ001312,2025-06-30,374.010602065883,2.990187371722,,11.2253972857,3.037266751613,26.5610435309,9.37,,0.12185742722,60.196896589909,59.263810103083,5.4024444769
SZ001312,2025-03-31,,,,9.3217249937,,25.6907461411,3.6,,-0.057300347514,,,
SZ001312,2024-12-31,320.19003590254,6.858142194143,19.883991955817,15.1604674425,5.864738055128,28.6530870607,29.64,19.508794528435,0.205221179102,52.492349940987,61.383815716241,17.0454032522
SZ001312,2024-09-30,,,,,,,,,,,,
SZ001312,2023-12-31,317.23226371167,6.053748428937,-17.111638608696,15.1130201704,5.290958009764,29.9679085763,34.39,-13.996390315986,0.056669833775,59.467287784738,68.040608021393,17.1504852555
SZ001312,2022-12-31,,7.164251938078,,15.6810228368,6.443130022792,27.7880374069,42.08,,0.185747566944,50.249489145768,55.873465028105,41.4677610954
