instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH603328,2021-03-31,52.4567,0.1405,-64.4541,12.3393,3.6208,0.7239,0.93,0.1956,5.1593,0.7239,0.031,0.1797,640.5694,1.7157,127.1007,460.1227,0.92,11.7631242829,,0.7081
SH603328,2021-06-30,55.4494,0.3041,-39.4286,19.6319,2.0535,29.7068,2.22,0.4324,5.701,1.7171,0.0747,0.3956,591.9106,3.2462,124.3352,416.2812,2.26,13.5880420477,1.2061,1.4477
SH603328,2021-09-30,53.5173,0.4591,-40.2687,12.5907,1.9585,2.6061,3.52,0.6685,5.842,2.6061,0.1178,0.6051,588.1072,5.0451,124.4354,403.8893,3.53,13.3975381667,,2.1698
SH603328,2021-12-31,47.4684,0.6553,-32.9123,18.6484,1.9451,30.379,4.5,0.9951,5.1789,3.2619,0.1508,0.8696,549.3667,7.584,113.7908,361.7727,4.47,13.5106444552,2.1329,3.1637
SH603328,2022-03-31,55.9528,0.1468,23.05,19.0487,4.4357,0.7454,1.12,0.2409,5.3327,0.7454,0.0381,0.2107,613.079,1.6085,120.1923,373.599,1.12,14.0793469834,,0.7488
SH603328,2022-06-30,50.7042,0.3154,64.7722,14.4463,2.132,29.2571,3.58,0.5793,8.208,2.5203,0.1231,0.4363,570.7039,3.55,118.4834,310.7198,3.52,15.5047848494,0.8952,1.5192
SH603328,2022-09-30,48.5786,0.4847,90.4901,14.9081,1.725,4.5436,6.46,0.8804,9.6847,4.5436,0.2245,0.6708,557.0456,5.558,121.3865,306.6788,6.35,16.0008775565,,2.2243
SH603328,2022-12-31,48.3799,0.6409,78.3054,5.1591,2.1104,30.247,7.72,1.1599,8.7812,5.4511,0.269,0.8807,561.7101,7.4411,117.5472,310.3716,7.51,16.8326897746,1.8524,3.0626
SH603328,2023-03-31,42.8225,0.1575,101.1651,10.6762,3.6034,1.5003,2.12,0.3146,9.6928,1.5003,0.0767,0.2186,571.4286,2.1017,113.0511,286.0776,2.1,21.0723405829,,0.7961
SH603328,2023-06-30,38.1073,0.3168,50.1792,6.9353,2.4376,28.9067,5.03,0.6592,11.5272,3.5633,0.1848,0.4362,568.1818,4.7235,116.5275,273.0583,4.9,20.3542452826,0.9791,1.5447
SH603328,2023-09-30,40.3394,0.4833,33.2366,4.204,2.1659,5.909,8.08,1.0198,12.383,5.909,0.2991,0.6602,558.6592,6.6932,114.8692,264.7578,8.01,22.3739923385,,2.3505
SH603328,2023-12-31,42.7655,0.6389,32.1959,3.897,2.0312,33.87,9.61,1.3431,11.173,7.0726,0.3556,0.8633,563.4685,8.418,116.7618,268.0366,9.38,21.2082321909,1.9585,3.0832
SH603328,2024-03-31,35.3274,0.1627,36.7467,3.6542,1.2556,2.0764,2.73,0.3519,12.7873,2.0764,0.1049,0.2133,553.1653,2.5476,113.2645,255.7545,2.69,22.0735795837,,0.7946
SH603328,2024-06-30,38.0325,0.3409,41.0519,9.5404,1.3274,32.1225,6.65,0.6761,14.8433,4.9401,0.2607,0.4592,528.0141,4.7328,111.331,266.2328,6.76,23.8937997613,1.1164,1.6168
SH603328,2024-09-30,46.1894,0.5006,22.6959,8.647,0.8954,6.7239,9.38,0.979,13.9842,6.7239,0.367,0.6766,539.3528,5.8455,112.5,275.7916,9.25,24.3376938519,,2.4
SH603328,2024-12-31,44.2016,0.663,23.2035,10.3589,0.8323,35.1581,11.19,1.3027,12.4734,7.8681,0.4381,0.8969,542.9864,8.1445,116.1703,276.3491,10.84,21.4607914233,2.1981,3.0989
SH603328,2025-03-31,52.0894,0.1604,11.0422,15.5759,1.3715,1.8639,2.84,0.2733,12.2857,1.8639,0.1164,0.2312,561.0973,1.7278,116.5954,329.3085,2.8,22.7577445111,,0.7719
SH603328,2025-06-30,48.5241,0.3291,0.1434,16.0522,1.7571,27.4587,6.26,0.5142,12.8085,3.8285,0.2611,0.4885,546.9462,3.7095,110.2333,350.0583,6.06,23.7240794632,1.2389,1.6329
SH603328,2025-09-30,49.8937,0.5047,0.0559,16.5323,1.8544,5.6052,8.78,0.8845,12.007,5.6052,0.3672,0.7407,534.9713,5.4115,107.9223,305.2572,8.71,22.9394093325,,2.5018
SH603328,2025-12-31,49.8525,0.6784,6.4703,14.797,1.8024,34.3016,11.11,1.2786,11.5686,7.3811,0.4664,0.9643,530.6604,7.2213,109.9505,281.558,10.79,22.1753587877,2.4374,3.2742
SH603328,2026-03-31,60.6306,0.142,-67.5955,-1.128,4.4946,0.5488,0.87,0.28,4.0265,0.5488,0.0377,0.2165,633.8028,1.4844,113.6507,321.4286,0.87,17.560782137,,0.7919
