instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ000926,2021-03-31,42.6494,3.843,0.1523,0.63,1875.0,0.0747,0.1393,0.036,4.2047,0.63,2500.0,,-56.7617,21.4046,0.1393,0.048,0.0449,2004.4543,12.8485,20.907906143
SZ000926,2021-06-30,0.8674,4.8156,0.2605,1.09,2281.3688,0.1599,1.8089,0.061,7.4759,1.09,2950.8197,4.1738,-39.7057,24.0774,0.2945,0.0789,0.0761,2365.3088,21.4218,23.5241942683
SZ000926,2021-09-30,105.7206,2.6314,0.6842,1.04,1168.3254,0.2299,0.4575,0.1668,19.96,1.04,1618.705,,-7.8648,13.5271,0.4575,0.2311,0.2093,1290.0143,18.1497,18.2768147978
SZ000926,2021-12-31,67.2213,2.8409,1.0156,1.54,1046.8159,0.3754,2.8152,0.2484,30.3476,1.53,1449.2754,14.7405,22.5182,11.8626,0.734,0.3439,0.3082,1168.0727,14.2527,19.4359303627
SZ000926,2022-03-31,-11.4843,3.2906,0.1331,0.33,1965.0655,0.0574,0.1128,0.0342,3.9856,0.33,2631.5789,,-24.2071,22.5813,0.1128,0.0458,0.0423,2127.6596,-24.3449,21.981578334
SZ000926,2022-06-30,154.6003,0.4016,0.6556,0.66,672.1434,0.0344,2.4837,0.1758,20.1466,0.66,1023.8908,10.6202,-78.7677,8.9345,0.0742,0.2678,0.2194,820.4193,31.2797,14.39254272
SZ000926,2022-09-30,9.284,0.1113,0.7424,0.54,906.9533,0.0108,0.0235,0.1995,23.5262,0.54,1353.3835,,-95.3772,11.4766,0.0235,0.2977,0.2492,1083.4671,173.0308,15.2810965641
SZ000926,2022-12-31,20.7185,0.9337,1.2221,0.93,738.0074,0.1489,3.2394,0.3488,40.4958,0.93,1032.1101,20.2788,-60.3255,8.8898,0.3694,0.4878,0.4392,819.6721,15.6389,20.63876421
SZ000926,2023-03-31,-16.6379,2.7272,0.1115,0.37,2054.7945,0.0397,0.0983,0.036,4.2577,0.37,2500.0,,-30.9126,21.1382,0.0983,0.0438,0.0464,1939.6552,21.3188,31.898961411
SZ000926,2023-06-30,-58.1419,1.1049,0.2754,0.66,1503.7594,0.0396,3.1438,0.0906,10.3826,0.66,1986.755,4.8802,15.1645,17.3367,0.1019,0.1197,0.1168,1541.0959,10.5095,25.7777636311
SZ000926,2023-09-30,-51.7134,0.9481,0.3588,0.72,1701.3233,0.0443,0.1136,0.1178,14.0956,0.72,2292.0204,,311.2734,19.1549,0.1136,0.1587,0.1519,1777.4852,31.3704,24.830553685
SZ000926,2023-12-31,-63.6248,1.8753,0.4332,0.61,1925.1337,0.1129,3.452,0.1465,17.0942,0.56,2457.3379,6.6773,-26.9397,21.0598,0.2798,0.187,0.1901,1893.7401,8.0234,25.8294067775
SZ000926,2024-03-31,-21.3859,4.7604,0.0829,0.45,2549.5751,0.0454,0.1435,0.0298,3.2181,0.45,3020.1342,,37.2235,27.9668,0.1435,0.0353,0.0403,2233.2506,-10.8919,30.5969982504
SZ000926,2024-06-30,-50.8605,2.2747,0.128,0.32,3225.8065,0.0334,3.4671,0.0458,5.0491,0.32,3930.131,1.8089,1.1619,35.6499,0.1053,0.0558,0.0619,2907.916,-10.3793,28.145771633
SZ000926,2024-09-30,-48.5971,0.6123,0.1749,0.14,3391.9598,0.0088,0.0389,0.0626,7.0372,0.14,4313.099,,-66.8034,38.3675,0.0389,0.0796,0.0847,3187.7214,-22.9478,24.7961069586
SZ000926,2024-12-31,58.9902,-30.3079,0.7487,-24.16,981.4613,-1.6662,-5.6112,0.2693,29.2026,-27.57,1336.7991,9.5454,-2669.549,12.3277,-9.4404,0.3668,0.3518,1023.3087,-0.004982729675,15.3525632123
SZ000926,2025-03-31,-68.2538,-29.5999,0.0335,-1.02,5882.3529,-0.064,-0.3593,0.0122,1.178,-1.03,7377.0492,,-297.3976,76.4007,-0.3593,0.0153,0.0159,5660.3774,0.7971978438,19.2108811923
SZ000926,2025-06-30,-56.2194,-91.2014,0.0733,-7.22,5113.6364,-0.4195,1.4803,0.0258,2.5688,-7.49,6976.7442,0.8271,-1855.3614,70.0716,-2.3364,0.0352,0.0335,5373.1343,0.93297641586,12.6822678701
SZ000926,2025-09-30,-55.4477,-86.7855,0.1024,-9.6,5521.4724,-0.5536,-3.165,0.0363,3.3981,-10.05,7438.0165,,-6415.0411,79.4562,-3.165,0.0489,0.0471,5732.4841,0.214202398811,12.8443712723
SZ000926,2025-12-31,-56.2082,-109.0526,0.4638,-55.7,1764.7059,-2.6254,-13.8885,0.1521,13.0795,-76.92,2366.8639,4.3651,-58.714438027802,27.524,-18.7367,0.204,0.1977,1820.9408,0.349743929747,13.5515700648
SZ000926,2026-03-31,16.5092,-33.9621,0.0654,-8.35,3260.8696,-0.0856,-0.6293,0.0183,1.324,-2.54,4918.0328,,-38.520846758385,67.9758,-0.6293,0.0276,0.0237,3797.4684,0.063791369884,2.452246578
