instrument,datetime,profit_growth,inventory_turn_days,inventory_turnover,asset_turn_days,revenue_growth,gross_margin,roe,ocf_to_np,roa,ar_turnover,net_margin,ar_turn_days
SZ000562,2005-06-30,91.147135358356,,,-182057.003091461,-105.145605186086,,-4.17,-53.910721683194,-0.6781918668,,685.9421047047,
SZ000562,2005-03-31,128.760967897575,,,13493.9232161126,-52.338651423133,,,-1.3914413955,0.4413172872,,66.167795413,
SZ000562,2004-12-31,-2994.7270722562,,,13942.4312551124,-42.591197760823,,-59.45,-4.495338886222,-9.2260717564,,-357.3163089363,
SZ000562,2004-09-30,5.141012145368,,,8268.43901897508,16.971310796276,,,-1.470348721352,0.0555823195,,1.7021445172,
SZ000562,2004-06-30,-5547.30542408449,,,14599.661534976,-12.299171520632,,0.25,-0.273227930837,-4.91552394,,-398.6943655187,
SZ000562,2004-03-31,149.547538656228,,,9987.55075546508,37.500123137308,,,3.990863612129,0.1242265935,,13.7857711948,
SZ000562,2003-12-31,-49.24062741324,,,7932.11633918274,-16.059846804191,,2.51,0.534119292667,0.321615616,,7.0863680079,
SZ000562,2003-09-30,-89.890457627694,,,10038.9555244194,-32.549657179035,,0.52,-1.424825370148,0.0502607995,,1.8687627051,
SZ000562,2003-06-30,-81.781257014008,,,10510.0886716895,-53.627019021961,,0.91,-0.944402413558,0.1091326633,,6.3721887126,
SZ000562,2003-03-31,-120.486415091421,,,10837.3710815146,-53.799460437046,,,-3.747629832288,-0.3177098161,,-38.2571019316,
SZ000562,2002-12-31,5.444450233445,,,5403.59089743175,1.718443723649,,6.39,-1.255435760592,0.7807235033,,11.7186400437,
SZ000562,2002-09-30,,,,5964.62246726134,,,,-1.26706232201,0.5719223941,,12.6344487458,
SZ000562,2002-06-30,-38.568718560437,,,5202.23584718786,-10.158241774903,,5.13,1.600162043188,0.5652429323,,16.3362613598,
SZ000562,2002-03-31,,,,5505.06469961887,,,,,-0.1310561366,,-8.0163612376,
SZ000562,2001-12-31,-50.319446686938,,,5819.30984081937,-6.564421857392,,7.68,-0.143191714278,0.6993333091,,11.304547799,
SZ000562,2001-06-30,20.571364135695,,,4289.48825878038,84.7664819235,,8.21,1.529237553672,1.002684641,,23.8944666388,
SZ000562,2000-12-31,63.242457436248,,,4451.68057989025,117.267338866846,,12.95,5.289276179838,1.7193233185,,21.2607728538,
SZ000562,2000-06-30,231.469150861687,,,5398.16139330103,32.743898408735,,,4.91155460052,1.2209643857,,36.616460052,
SZ000562,1999-12-31,-55.918050485885,,,6821.33357065774,-37.118862753683,,8.18,2.840174481573,1.4933911796,,28.2969982978,
SZ000562,1999-06-30,16.426736392973,,,5479.92859922769,20.853815373482,,,-1.340258162353,0.4816653589,,14.663843198,
SZ000562,1998-12-31,125.015144563593,,,2841.57014130108,19.911069614473,,21.83,-0.085440382567,5.1138040593,,40.3645358981,
SZ000562,1998-06-30,-51.986633190829,,,5331.11291753707,-33.179375124393,,,,0.5139372233,,15.2214298315,
SZ000562,1997-12-31,37.510950304157,,,2722.44108162484,-5.025353513915,,,,2.8444054518,,21.5103507074,
SZ000562,1997-06-30,482.879808458653,,,2624.48731409622,9.088251019775,,,,1.4528870376,,21.1837977721,
SZ000562,1996-12-31,796.404391954893,,,2509.33147949903,27.480174979975,,,,2.1313872303,,14.8565474219,
SZ000562,1996-06-30,-84.740448334411,,,3001.20611786189,-11.499431633345,,,,0.2377822716,,3.9646311562,
SZ000562,1995-12-31,-92.897614424307,,,2888.74809662053,167.932784039467,,,,0.2632991137,,2.1127911487,
SZ000562,1995-06-30,-1.985202974102,,,2304.75583385627,314.326069742788,,,,1.7957863146,,22.9936054725,
SZ000562,1994-12-31,136.551670370906,,,4901.64633615924,318.618595614614,,,,5.8538111541,,79.7036444335,
SZ000562,1994-06-30,,,,4331.02096308805,,,,,4.0396143858,,97.1980810418,
SZ000562,1993-12-31,,,,,,,,,8.3820910232,,141.0492162063,
