instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920089,2023-03-31,1.1832,20.5466,16.4617071801,423.5294,9.7861,0.2526,0.2125,2.0495,168.3817,3.04,356.2945,0.3107,76.0649,0.2619,-2.4046,,2.0495,0.5345,14.0332,3.0
BJ920089,2023-06-30,2.4212,22.8063,17.1029012025,414.174,8.8534,0.513,0.4346,8.5704,165.9292,5.74,350.8772,0.6424,74.3433,0.4922,-1.3318,4.8101,3.7351,1.0848,24.5482,5.58
BJ920089,2023-09-30,3.9896,29.467,17.4035054886,397.1756,8.6808,0.7975,0.6798,5.4357,164.2935,9.06,338.558,1.047,67.676,0.8004,-0.9445,,5.4357,1.6434,25.8876,8.76
BJ920089,2023-12-31,6.0887,26.8101,17.7887761125,377.5564,8.1754,1.1167,0.9535,11.566,156.7398,12.03,322.3784,1.4717,59.1259,1.0763,-0.7506,9.8917,7.076,2.2968,26.3965,11.44
BJ920089,2024-03-31,1.3773,6.69,17.8749670925,446.6501,9.1492,0.2354,0.2015,1.8492,199.3797,2.93,382.328,0.3199,65.3452,0.2794,-1.5659,,1.8492,0.4514,14.1166,2.88
BJ920089,2024-06-30,2.8791,11.3251,16.6455572226,436.5753,8.5044,0.4791,0.4123,7.2779,190.2748,5.73,375.7044,0.6696,62.5195,0.3914,-0.6632,3.728,3.4163,0.946,15.8931,5.57
BJ920089,2024-09-30,4.8983,5.7049,16.1269308709,426.3382,8.1714,0.7354,0.6333,4.8382,186.5156,8.64,367.1471,1.0597,55.1212,0.6043,-0.9653,,4.8382,1.4476,12.2952,8.35
BJ920089,2024-12-31,6.5256,4.3916,16.27484999,398.054,7.4969,1.063,0.9044,10.7372,168.5867,11.34,338.6642,1.5123,55.1673,0.8025,-0.9688,8.685,6.2663,2.1354,13.8399,10.79
BJ920089,2025-03-31,1.4798,12.5407,16.1428784407,410.7713,7.7871,0.2583,0.2191,1.6603,164.6844,2.98,348.4321,0.3821,60.819,0.2246,-3.8421,,1.6603,0.5465,32.2265,2.93
BJ920089,2025-06-30,3.335,23.2443,16.3044733696,402.7747,8.2642,0.5291,0.4469,8.4114,162.837,6.37,340.2003,0.7635,53.973,0.4823,-0.847,4.8612,3.6239,1.1054,26.827,6.18
BJ920089,2025-09-30,5.0184,41.6334,17.1877870384,391.3043,9.3534,0.8205,0.69,6.2397,155.2616,11.04,329.0676,1.1686,53.802,0.856,-0.7848,,6.2397,1.739,23.7344,10.46
BJ920089,2025-12-31,6.8948,36.9356,18.4921336843,370.5228,8.4099,1.1613,0.9716,12.8775,151.0701,13.9,309.9974,1.6431,52.2133,1.0989,-0.872,9.916,7.7995,2.383,22.069,13.08
BJ920089,2026-03-31,1.4293,-4.4451,15.3667216155,474.1834,8.2033,0.2303,0.1898,1.5921,183.2994,2.48,390.7946,0.3051,62.9679,0.2146,-2.1607,,1.5921,0.491,-9.2939,2.45
