instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH688063,2021-03-31,128.6633,0.0804,43.4741,51.6897,1.1656,1.8626,2.15,0.0926,23.0845,1.8626,0.3839,0.0932,1119.403,0.6995,76.297,971.9222,2.13,38.5995589437,,1.1796
SH688063,2021-06-30,129.6923,0.2004,25.6049,45.6029,0.4272,6.4335,5.52,0.2348,22.749,4.3193,1.0014,0.2462,898.2036,1.3879,68.9708,766.6099,5.53,36.935212749,2.4884,2.6098
SH688063,2021-09-30,129.1433,0.3613,27.8061,60.1508,-0.3267,6.3599,8.88,0.4252,19.4182,6.3599,1.6236,0.4597,747.3014,2.0907,73.7483,634.9953,8.67,33.7246967354,,3.6611
SH688063,2021-12-31,109.4059,0.5515,15.1903,84.1416,-1.0441,9.6276,11.1,0.6885,15.3298,7.4112,2.0419,0.7232,652.7652,3.2905,70.7951,522.8758,10.65,30.0272708709,5.8089,5.0851
SH688063,2022-03-31,124.0524,0.1789,70.4528,216.1811,1.2818,2.0949,3.35,0.2397,12.4448,2.0949,0.6544,0.268,503.0743,0.7255,64.2857,375.4693,3.26,27.5043903957,,1.4
SH688063,2022-06-30,117.5011,0.3804,70.0243,171.9411,0.5196,6.9852,8.32,0.5128,14.2233,4.8105,1.7026,0.5991,473.1861,1.5319,72.0259,351.014,8.19,29.0119285506,3.7214,2.4991
SH688063,2022-09-30,115.706,0.642,156.518,175.6181,0.8524,9.4146,19.41,0.864,18.0725,9.4146,4.1649,1.0773,420.5607,2.3335,71.3512,312.5,17.65,32.1762948977,,3.7841
SH688063,2022-12-31,96.3984,0.9733,302.533,191.5457,0.7492,17.7784,34.97,1.3162,21.1657,15.733,8.2194,1.652,369.8757,3.7345,75.8214,273.5147,29.53,34.7033220622,7.7302,4.748
SH688063,2023-03-31,106.9773,0.1671,355.8587,126.0731,2.123,3.314,5.87,0.2105,25.0941,3.314,2.63,0.2599,538.5996,0.8413,102.0755,427.5534,4.69,40.2249976977,,0.8817
SH688063,2023-06-30,137.0489,0.2365,162.9065,37.9442,1.709,6.766,7.81,0.31,27.108,5.121,3.9467,0.3643,761.0994,1.3134,134.5996,580.6452,7.13,37.9320703981,2.2167,1.3373
SH688063,2023-09-30,156.1325,0.2963,1.5368,-14.5511,1.7473,5.2423,7.25,0.4025,21.4752,5.2423,3.7285,0.4361,911.2386,1.7293,157.5814,670.8075,6.77,35.8787387647,,1.7134
SH688063,2023-12-31,170.608,0.3263,-59.4861,-45.1298,2.0788,6.6747,5.7,0.4517,15.6278,4.2506,2.936,0.4768,1103.2792,2.1101,179.2025,796.9892,5.41,30.9399880677,2.4446,2.0089
SH688063,2024-03-31,255.9727,0.032,-99.1444,-79.0523,53.2039,0.0331,0.04,0.045,1.0249,0.0331,0.0225,0.0405,2812.5,0.3516,283.1079,2000.0,0.04,33.9228154034,,0.3179
SH688063,2024-06-30,232.378,0.0721,-97.1398,-66.3938,23.3993,3.412,0.21,0.1018,2.3071,0.1695,0.0808,0.0915,2496.5326,0.7746,241.093,1768.1729,0.21,33.6102006556,0.4831,0.7466
SH688063,2024-09-30,210.9705,0.1185,-94.3901,-53.6879,18.3399,0.314,0.4,0.1664,2.6013,0.314,0.1497,0.1509,2278.481,1.2798,218.0233,1622.5962,0.41,33.0873250839,,1.2384
SH688063,2024-12-31,180.2704,0.1685,-92.5679,-39.2384,18.3879,4.4377,0.44,0.2364,1.9115,0.3286,0.1562,0.2141,2136.4985,1.997,201.9409,1522.8426,0.45,28.9361568029,1.0359,1.7827
SH688063,2025-03-31,194.6788,0.0338,-1110.9217,1.7168,0.375342225532,-0.3465,-0.42,0.0475,-10.1862,-0.3465,-0.1628,0.0427,2662.7219,0.4623,197.3251,1894.7368,-0.42,14.2355583528,,0.4561
SH688063,2025-06-30,174.1655,0.0971,-48.8983,33.7538,29.3662,5.0647,0.15,0.1351,0.8815,0.0844,0.0413,0.1255,1853.759,1.0335,143.1298,1332.3464,0.15,18.4448222205,0.4912,1.2576
SH688063,2025-09-30,174.3735,0.1647,13.7313,42.5158,8.5691,0.3269,0.52,0.226,2.0759,0.3269,0.1703,0.2192,1639.3443,1.5484,127.7683,1194.6903,0.52,19.5756320774,,2.1132
SH688063,2025-12-31,159.285,0.2541,102.6533,57.8114,8.7894,5.9655,0.92,0.3489,2.4547,0.5865,0.3165,0.3434,1416.7651,2.2601,114.6533,1031.8143,0.92,17.6302473151,1.3741,3.1399
SH688063,2026-03-31,233.0399,0.0726,158.387547127115,147.8862,-10.2379,0.15,0.24,0.0981,2.0889,0.15,0.0828,0.1052,1239.6694,0.3862,100.0445,917.4312,0.24,24.1924914349,,0.8996
