instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
SH603075,2021-12-31,,82.4793,2.117,,27.7741518538,28.24,58.9025,55.0518,23.8256,11.8941,11.8941,25.73,6.1118,13.3561,,1.5342,0.885,391.77071536319,6.5393,234.65
SH603075,2022-06-30,,,0.9001,,28.1520014905,11.38,65.6407,73.701,,5.1309,5.1309,11.39,2.7422,12.6439,,0.7769,0.2843,446.847425690551,2.4423,231.6901
SH603075,2022-09-30,,,2.782,,28.1533934305,,,,,,,,,13.3444,,,0.9441,,,
SH603075,2022-12-31,0.8189,0.1214,1.7343,,29.0764969756,25.62,62.3409,70.1864,-6.4098,24.9028,11.4988,23.19,5.7747,14.2882,,1.6203,1.1631,439.6141,5.1292,222.1811
SH603075,2023-03-31,0.1837,17.762000215749,0.3705,,29.3116866709,,,,-0.746780638792,2.0798,2.0798,,,10.9988,,,0.7862,489.9292,,
SH603075,2023-06-30,0.3967,15.0098,0.7835,,30.3415861651,11.31,63.5414,72.3356,1.7531,5.7259,5.7259,11.26,2.8328,14.2912,,0.8409,1.1619,453.7434,2.4884,214.0564
SH603075,2023-09-30,0.5188,16.0868,0.8523,0.485,30.8323979757,18.29,64.8181,68.5053,1.4433,6.9259,6.9259,10.1,4.1655,15.2707,,0.9403,1.3989,520.4318,3.9413,287.1424
SH603075,2023-12-31,0.6899,3.2239,1.1012,0.622,30.3698514291,19.43,69.8581,69.8202,-0.6465,21.7918,9.0066,12.54,5.1533,14.8448,2.3416,1.2649,1.5801,521.8148,5.1561,284.6075
SH603075,2024-03-31,0.1492,37.835,0.2066,0.142,30.0291319672,2.83,83.7365,62.5913,11.6356,1.9988,1.9988,2.79,1.0748,13.58,,0.2488,0.194,603.2172,1.4379,361.7363
SH603075,2024-06-30,0.3274,18.8955,0.4604,0.3498,31.2152856948,6.93,80.8262,62.2557,9.8548,19.3036,5.0618,7.3,2.227,15.4673,1.1351,0.5504,0.254,549.7862,2.8913,327.0349
SH603075,2024-09-30,0.4986,17.4585,0.7009,0.5661,31.2307544706,11.31,80.2855,60.4351,11.2976,7.8327,7.8327,11.26,3.363,16.116,,0.8253,0.6093,541.5162,4.4676,327.1538
SH603075,2024-12-31,0.6695,19.9586,0.9371,0.7414,31.069957433,14.75,80.3518,59.7907,14.8021,24.2701,9.9983,14.25,4.4803,15.5116,2.4002,1.1013,0.8709,537.7147,6.021,326.8864
SH603075,2025-03-31,0.1505,20.7131,0.2117,0.1703,30.6373918902,3.22,91.3984,67.4511,8.5572,2.2482,2.2482,3.16,0.9847,15.1007,,0.2408,0.8466,598.0066,1.3343,373.7542
SH603075,2025-06-30,0.3363,14.408,0.4799,0.3977,31.7499036024,7.5,89.9101,62.9657,8.9064,21.5665,5.569,8.05,2.002,16.2486,1.1511,0.5483,0.8857,535.2364,2.8587,328.2874
SH603075,2025-09-30,0.5148,7.7398,0.735,0.61,31.0434550047,11.69,88.3566,62.6101,9.3507,8.124,8.124,11.75,3.0558,15.8786,,0.8267,1.0843,524.4755,4.3124,326.5997
SH603075,2025-12-31,0.7059,7.9105,0.992,0.8002,30.5165055724,15.33,89.1906,59.7858,10.4887,27.4458,10.6005,14.86,4.0363,15.1496,2.4748,1.1301,1.0897,509.9873,6.0215,318.5559
SH603075,2026-03-31,0.1726,3.9977,0.2378,0.1771,28.8294585803,3.24,96.8992,62.7528,15.7994,2.3357,2.3357,3.19,0.9288,13.5617,,0.2728,1.3878,521.4368,1.4342,329.912
