instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
BJ920932,2021-03-31,,81.413339083967,0.1266,-0.0127,30.714871974,-0.15,549.4505,242.653,149.054714545863,-0.1555,-0.1555,-0.15,0.1638,-1.8079,,0.0966,-1.007202971515,1071.58777858983,0.3709,931.677
BJ920932,2021-06-30,,26.0176,0.3082,0.1346,40.8875505092,2.34,463.2012,225.3662,38.2312,1.4942,1.4942,2.32,0.3886,7.786,,0.2252,-5.5026,913.663629282531,0.7987,799.2895
BJ920932,2021-09-30,,3264.71143632077,0.4598,0.2211,39.1075800329,3.88,427.8922,272.3421,52.835450388063,2.3758,2.3758,3.81,0.631,8.5141,,0.3319,-3.0344,927.775190783295,0.9914,813.498
BJ920932,2021-12-31,0.434,36.9041,0.6076,0.5503,44.777258561,12.38,311.8773,196.4315,30.7839,8.6009,5.2084,6.94,1.1543,15.2075,,0.4861,-0.5567,829.4931,1.8327,740.5884
BJ920932,2022-03-31,0.072,1707.77758367261,0.0921,0.0924,41.1955764733,1.19,382.9787,306.1224,46.7909,0.9349,0.9349,1.18,0.235,12.5543,,0.08,-3.7499,1250.0,0.294,1125.0
BJ920932,2022-06-30,0.1831,44.1554,0.23,0.1389,35.9164601926,1.75,342.5309,217.6279,47.3989,5.5303,1.4843,1.76,0.5255,7.6146,6.1808,0.2051,-4.8653,983.0694,0.8271,877.6207
BJ920932,2022-09-30,0.2503,38.9658,0.3161,0.2086,38.7700168415,2.78,368.4498,269.6495,39.3191,2.1715,2.1715,2.63,0.7328,8.4925,,0.2819,-6.6376,1078.7056,1.0013,957.7864
BJ920932,2022-12-31,0.4162,41.6629,0.5752,0.7395,41.9336512641,9.51,294.9369,173.871,31.5888,9.622,6.3292,9.14,1.2206,16.3717,5.1723,0.5044,-0.5239,864.9688,2.0705,713.7193
BJ920932,2023-03-31,0.0692,-20.0897,0.0989,0.0701,42.8433039095,0.85,497.5124,285.2615,16.3164,0.5942,0.5942,0.85,0.1809,8.6249,,0.0918,-8.1733,1300.578,0.3155,980.3922
BJ920932,2023-06-30,0.168,23.078,0.2495,0.1609,42.7505124748,1.97,418.1185,213.7513,19.1846,4.8827,1.261,1.95,0.4305,7.8634,1.3735,0.2259,-4.4747,1071.4286,0.8421,796.8127
BJ920932,2023-09-30,0.2447,37.8448,0.3887,0.2855,42.5261795314,3.46,404.3127,203.1603,30.2135,1.9885,1.9885,3.47,0.6678,8.9902,,0.3305,-3.3474,1103.3919,1.329,816.944
BJ920932,2023-12-31,0.4128,-2.8647,0.6711,0.7132,44.3391890997,8.52,335.5705,142.6307,27.0483,7.9773,4.4566,8.18,1.0728,12.5171,1.8886,0.615,-0.0657,872.093,2.524,585.3659
BJ920932,2024-03-31,0.0586,-10.1869,0.1079,0.0625,47.1574338838,0.93,537.6344,245.3653,19.0859,0.3725,0.3725,0.94,0.1674,6.5048,,0.0972,8.4044,1535.8362,0.3668,925.9259
BJ920932,2024-06-30,0.1337,14.0898,0.2525,0.1836,45.6061348353,2.14,478.7234,214.2602,9.1676,5.7695,1.0543,2.17,0.376,8.2179,0.4375,0.2274,2.7756,1346.2977,0.8401,791.5567
BJ920932,2024-09-30,0.2126,1.131,0.4027,0.2887,45.1621082127,3.56,447.4644,197.0659,13.8409,1.6028,1.6028,3.5,0.6034,7.9865,,0.37,1.6133,1269.9906,1.3701,729.7297
BJ920932,2024-12-31,0.3174,-38.2145,0.6222,0.4406,42.9097750517,4.87,408.117,139.4592,-1.5099,8.1057,2.2768,4.97,0.8821,7.8523,0.9015,0.5676,2.2271,1134.2155,2.5814,634.2495
BJ920932,2025-03-31,0.0449,-245.9257,0.0956,-0.0912,40.532813052,-0.89,671.1409,228.4844,-9.1715,-0.467,-0.467,-0.89,0.1341,-10.4506,,0.086,-0.027598202834,2004.4543,0.3939,1046.5116
BJ920932,2025-06-30,0.0974,-72.9246,0.2101,0.0497,44.4564485847,0.66,595.8292,210.8222,-13.7282,7.7022,0.2458,0.66,0.3021,2.5791,0.2467,0.1842,7.7719,1848.0493,0.8538,977.1987
BJ920932,2025-09-30,0.1308,-95.1336,0.2888,0.0103,46.333030257,0.32,631.2836,288.0615,-26.8169,0.0666,0.0666,0.32,0.4277,0.5311,,0.2431,18.1822,2064.2202,0.9373,1110.6541
BJ920932,2025-12-31,0.1849,-372.9407,0.437,-0.8822,30.1588255543,-14.0,582.6185,204.1395,-33.4086,3.5342,-5.7083,-14.81,0.6179,-32.1845,0.4525,0.3785,0.20898162352,1946.9984,1.7635,951.1229
BJ920932,2026-03-31,0.0561,11.105568088538,0.15,-0.0322,34.0787688687,-8.04,423.3302,221.2389,49.2832,-0.173,-0.173,-0.91,0.2126,-3.3735,,0.1158,0.402324336868,1604.2781,0.4068,777.2021
