instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
BJ920455,2021-06-30,,-1.9097,0.3332,0.137,46.9114253601,10.01,199.6672,276.7953,2.5873,8.7156,8.7156,10.3,0.9015,29.5355,,0.4019,1.7811,612.966952517791,0.6503,447.8726
BJ920455,2021-12-31,,-7.3898,0.6776,0.2697,47.4038887595,18.78,181.7081,273.7434,-1.4024,15.8445,15.8445,18.43,1.9812,27.2954,,0.8078,1.1711,598.559134598541,1.3151,445.6549
BJ920455,2022-03-31,,15.40058715895,0.147,0.0586,46.5172731414,3.93,201.6129,316.0112,10.937923045037,3.4556,3.4556,3.85,0.4464,26.7172,,0.1716,-0.6139,681.446865195107,0.2848,524.4755
BJ920455,2022-06-30,0.3011,-3.6539,0.3502,0.132,45.5235510048,8.91,177.9359,269.8651,7.989,37.8668,8.1263,9.45,1.0116,26.3511,,0.4064,1.1403,597.808,0.667,442.9134
BJ920455,2022-09-30,,12.402435482463,0.5605,0.2185,45.2806391762,14.83,175.5527,252.195,16.899199892484,12.3818,12.3818,14.73,1.538,26.4602,,0.6417,0.7256,564.398179768718,1.0706,420.7574
BJ920455,2022-12-31,,1.4959,0.7342,0.2737,44.1641048528,18.54,170.0439,244.8313,11.533,14.3532,14.3532,17.79,2.1171,24.839,,0.8162,0.6341,587.181834535819,1.4704,441.0684
BJ920455,2023-03-31,,8.0466,0.1584,0.0633,43.3339214994,4.03,200.6689,277.1789,13.4015,3.3213,3.3213,3.95,0.4485,25.4556,,0.1754,1.6562,689.860280393078,0.3247,513.1129
BJ920455,2023-06-30,0.2147,-4.7412,0.2465,0.0941,42.2388479763,7.85,203.666,267.897,2.5438,22.2088,4.3689,4.78,0.8838,24.479,,0.27,0.0031,838.3791,0.6719,666.6667
BJ920455,2023-09-30,,-27.1756,0.3623,0.1148,39.8292705687,8.07,224.4762,276.0172,-9.7557,5.6684,5.6684,6.18,1.2028,21.3526,,0.4007,0.1778,853.9796071679,0.9782,673.8208
BJ920455,2023-12-31,0.4517,-20.8477,0.5047,0.1563,37.973361181,10.16,210.7605,258.2311,-4.4855,27.0636,7.8684,8.23,1.7081,20.5839,,0.5754,0.6306,796.9892,1.3941,625.6517
BJ920455,2024-03-31,0.0873,67.0109,0.0911,0.0763,40.078581623,3.94,246.9813,318.8098,-1.6105,3.7063,3.7063,3.86,0.3644,43.2096,,0.1071,0.0108,1030.9278,0.2823,840.3361
BJ920455,2024-06-30,0.2007,57.274,0.2114,0.1426,38.9486995042,7.24,221.8935,274.3484,8.5173,26.1433,7.059,7.49,0.8112,35.4775,1.3618,0.2478,0.5438,896.861,0.6561,726.3923
BJ920455,2024-09-30,0.286,42.7398,0.3009,0.1639,36.2160461142,8.47,234.192,280.9573,7.0776,8.0361,8.0361,8.5,1.1529,28.4641,,0.352,0.3421,944.0559,0.961,767.0455
BJ920455,2024-12-31,0.389,25.4988,0.4132,0.1961,35.6611422104,10.23,230.8136,275.0821,4.9812,27.9364,9.287,10.01,1.5597,24.6068,2.7131,0.4776,0.1604,925.4499,1.3087,753.7688
BJ920455,2025-03-31,0.095,-42.636,0.1013,0.0438,39.4558392156,2.21,246.8459,327.3918,13.7052,2.0692,2.0692,2.18,0.3646,21.7991,,0.1167,0.1559,947.3684,0.2749,771.2082
BJ920455,2025-06-30,0.2032,-38.9304,0.2222,0.0871,38.980067249,4.41,227.445,304.9297,5.8455,23.7614,4.195,4.66,0.7914,20.4694,1.325,0.253,1.0252,885.8268,0.5903,711.4625
BJ920455,2025-09-30,0.309,-21.4868,0.3435,0.1287,37.516317625,6.61,236.8837,282.1906,15.5417,5.8666,5.8666,6.72,1.1398,19.342,,0.3834,1.0415,873.7864,0.9568,704.2254
BJ920455,2025-12-31,0.423,-21.7718,0.4662,0.1534,36.3582877403,7.93,215.0281,268.9176,14.0186,26.1828,7.0209,7.91,1.6742,16.8828,2.6629,0.5309,1.3045,851.0638,1.3387,678.0938
BJ920455,2026-03-31,0.1207,5.4281,0.1322,0.0461,33.6432775735,2.35,190.5972,223.4359,29.2978,2.181,2.181,2.32,0.4722,17.7748,,0.1555,-0.0236,745.6504,0.4028,578.7781
