instrument,datetime,current_asset_turn_days,fixed_asset_turnover,roe,roa_alt,ocf_to_np,net_margin,equity_turnover,roe_weighted,gross_margin,roa,profit_growth,asset_turn_days,inventory_turn_days,ar_turn_days,eps,revenue_growth,inventory_turnover,asset_turnover,ar_turnover,current_asset_turnover
SZ000987,2021-03-31,11538.4615,,2.39,0.5845,-0.475,148.2309,0.0168,2.41,,0.5845,-78.2956,21951.2195,79.5193,9.8171,0.2893,30.376072154727,1.1318,0.0041,9.1677,0.0078
SZ000987,2021-06-30,5389.2216,30.3581,5.22,1.2353,-2.9632,71.7553,0.074,5.2,,1.2023,-60.6866,10055.8659,48.4718,5.8788,0.619,109.8985,3.7135,0.0179,30.6184,0.0334
SZ000987,2021-09-30,4078.5498,,8.15,1.8817,-2.1057,57.4728,0.1471,8.32,,1.8817,-45.0301,7605.6338,38.5087,3.5024,0.7418,72.3397,7.0114,0.0355,77.0906,0.0662
SZ000987,2021-12-31,4332.13,78.76,9.86,2.2046,-2.1851,52.7646,0.1888,10.22,,2.1716,-36.5638,7912.0879,42.9323,4.9906,0.8959,65.705,8.3853,0.0455,72.1363,0.0831
SZ000987,2022-03-31,3750.0,,2.27,0.4976,-3.0028,37.5404,0.058,2.3,,0.4976,-1.8751,6716.4179,47.8825,3.3299,0.2103,287.4527,1.8796,0.0134,27.0277,0.024
SZ000987,2022-06-30,4627.2494,43.3114,5.14,1.1051,-0.7325,50.6331,0.0967,5.16,,1.0729,3.3652,8219.1781,63.8343,4.3305,0.351,46.4851,2.8198,0.0219,41.5652,0.0389
SZ000987,2022-09-30,4141.1043,,7.37,1.4922,1.9536,42.4254,0.1624,7.55,99.9938608604,1.4922,-8.2931,7317.0732,43.3352,4.3923,0.5039,24.2334,6.2305,0.0369,61.4717,0.0652
SZ000987,2022-12-31,4265.4028,11.9895,9.3,2.0521,-0.387,44.8763,0.2068,9.66,5.2976147416,1.9995,4.0605,7610.9937,48.7633,5.3626,0.6906,22.3521,7.3826,0.0473,67.1313,0.0844
SZ000987,2023-03-31,3964.7577,,2.57,0.5473,1.387,43.5355,0.0565,2.6,9.6974326708,0.5473,24.6558,7086.6142,39.3271,4.0406,0.1942,7.49,2.2885,0.0127,22.274,0.0227
SZ000987,2023-06-30,31034.4828,0.2782,5.28,1.18,2.8797,334.1138,0.0149,5.29,14.2402796367,1.0935,11.5531,54545.4545,2760.7362,32.5027,0.3916,-83.0947,0.0652,0.0033,5.538,0.0058
SZ000987,2023-09-30,4278.9223,,7.29,1.5179,4.1439,44.1881,0.1594,7.45,11.1032839298,1.5179,11.2586,7605.6338,40.9886,7.2095,0.5606,6.8205,6.5872,0.0355,37.4507,0.0631
SZ000987,2023-12-31,30508.4746,0.1641,8.4,1.9112,4.0323,280.9866,0.0293,8.66,10.6685875223,1.7737,-4.1882,54545.4545,1583.8099,50.5377,0.6617,-84.6979,0.2273,0.0066,7.1234,0.0118
SZ000987,2024-03-31,30000.0,,1.6,0.21,4.9315,129.0803,0.0076,1.62,5.0474061213,0.21,-58.1488,52941.1765,578.7781,93.9457,0.0813,-85.8847,0.1555,0.0017,0.958,0.003
SZ000987,2024-06-30,17647.0588,0.0627,3.54,0.8493,5.8267,94.079,0.0263,3.5,11.7257002151,0.5242,-47.2823,31578.9474,537.9558,67.858,0.2064,87.2228,0.3346,0.0057,2.6526,0.0102
SZ000987,2024-09-30,12980.7692,,5.86,0.9262,7.0435,84.7256,0.053,5.92,28.321068464,0.9262,-32.4711,23684.2105,454.5455,66.8251,0.3786,-64.7808,0.594,0.0114,4.0404,0.0208
SZ000987,2024-12-31,12413.7931,0.1345,7.36,1.8131,6.0142,83.9721,0.0745,7.85,54.0897444637,1.2437,-17.6501,22500.0,349.2094,54.4374,0.5449,175.5583,1.0309,0.016,6.6131,0.029
SZ000987,2025-03-31,10227.2727,,2.06,0.4023,3.4071,82.8926,0.022,2.15,45.69101113,0.4023,108.1411,18750.0,280.6361,72.0,0.1692,224.117,0.3207,0.0048,1.25,0.0088
SZ000987,2025-06-30,8035.7143,0.0705,4.89,1.9216,2.1518,77.6657,0.0552,5.05,30.2166994295,0.9423,93.0926,15126.0504,236.4998,63.3312,0.3986,133.8994,0.7611,0.0119,2.8422,0.0224
SZ000987,2025-09-30,7458.5635,,9.16,1.814,1.2609,95.3646,0.0853,9.63,33.4418663507,1.814,101.2375,14516.129,256.996,55.7736,0.7619,78.7872,1.0506,0.0186,4.841,0.0362
SZ000987,2025-12-31,8275.8621,0.1311,10.59,3.5031,1.3429,95.5509,0.0997,11.26,52.6109391408,2.143,67.1213,16289.5928,,54.2765,0.9106,46.8696,,0.0221,6.6327,0.0435
SZ000987,2026-03-31,11392.4051,,3.76,0.7344,2.4476,198.9548,0.0158,3.95,21.1570195069,0.7344,88.0667,24324.3243,,77.7202,0.3181,-21.6438,,0.0037,1.158,0.0079
