instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH688139,2021-03-31,134.8315,0.0974,507.7256,55.0144,0.2955,9.2309,14.07,0.1336,101.5861,9.2309,1.3252,0.1383,924.0246,0.6675,27.5086,673.6527,13.17,50.2168012299,,3.2717
SH688139,2021-06-30,128.5622,0.2186,268.0547,56.0549,0.3776,13.8196,18.93,0.3027,61.8968,12.6269,1.8115,0.3072,823.4218,1.4001,24.9114,594.6482,17.65,50.6008145823,2.9343,7.2256
SH688139,2021-09-30,115.2861,0.352,155.2035,54.8871,0.6322,14.9199,22.76,0.4888,46.0776,14.9199,2.2091,0.4914,767.0455,2.342,22.8641,552.3732,20.59,50.6661078513,,11.8089
SH688139,2021-12-31,100.8319,0.4808,121.0671,51.6276,0.6969,18.7016,26.72,0.6868,39.9447,17.3306,2.6782,0.6619,748.7521,3.5703,20.9344,524.1701,23.33,50.1453327611,6.6608,17.1966
SH688139,2022-03-31,110.5515,0.1143,-72.8853,36.2224,0.8573,2.297,3.09,0.1621,20.2204,2.297,0.3593,0.1531,787.4016,0.8141,19.9375,555.2128,3.06,50.5291693623,,4.5141
SH688139,2022-06-30,119.6172,0.2539,-47.3739,36.6316,0.6098,7.5401,8.12,0.3639,23.8407,5.9404,0.9533,0.3426,708.9405,1.5048,16.6303,494.6414,8.03,50.8782994111,3.8253,10.8236
SH688139,2022-09-30,80.9353,0.4133,-33.6789,36.5183,0.4166,9.0331,12.34,0.5979,22.3847,9.0331,1.4651,0.5482,653.2785,3.336,29.8854,451.5805,11.83,47.2072455521,,9.0345
SH688139,2022-12-31,74.7089,0.5514,-27.9327,34.7239,1.0334,13.0178,15.9,0.8247,21.3675,11.1491,1.9247,0.7356,652.8836,4.8187,16.8505,436.5224,14.94,48.1544201233,7.9169,21.3644
SH688139,2023-03-31,65.3405,0.1247,22.4496,21.8679,0.7616,2.5243,3.36,0.2046,20.3169,2.5243,0.4388,0.1628,721.7322,1.3774,23.8385,439.8827,3.31,51.0168986094,,3.7754
SH688139,2023-06-30,70.2576,0.2314,-5.9744,0.2033,0.3996,7.426,6.79,0.3981,22.3708,5.1774,0.8939,0.2995,777.8738,2.562,28.7903,452.1477,6.75,49.9123758931,2.7953,6.2521
SH688139,2023-09-30,70.5182,0.3326,-21.2892,-11.9953,0.4581,6.6573,8.71,0.5964,20.0207,6.6573,1.15,0.4264,811.7859,3.8288,30.4383,452.7163,8.49,49.0102848224,,8.8704
SH688139,2023-12-31,82.8977,0.4142,-32.6673,-20.361,0.6049,10.2635,9.91,0.7572,18.0656,7.4572,1.296,0.5312,869.1453,4.3427,27.1078,475.4358,9.6,48.6017836264,3.8807,13.2803
SH688139,2024-03-31,64.8415,0.1225,1.679,0.035,0.5443,2.4944,3.21,0.2599,20.6508,2.4944,0.4461,0.1527,734.6939,1.388,34.2218,346.287,3.17,47.518605892,,2.6299
SH688139,2024-06-30,70.1208,0.2202,-15.8595,-3.7129,0.2479,7.6676,5.49,0.4951,19.5488,4.2805,0.7521,0.2737,817.4387,2.567,42.6298,363.5629,5.51,48.272849381,1.5386,4.2224
SH688139,2024-09-30,74.4581,0.3191,-12.7631,-2.4267,0.3573,5.6539,7.25,0.6858,17.8998,5.6539,1.0032,0.3968,846.1297,3.6262,47.5478,393.7008,7.19,48.5123955814,,5.6785
SH688139,2024-12-31,88.3046,0.4037,-7.5355,0.1288,0.7655,10.434,8.59,0.8803,16.6828,6.5833,1.1983,0.5043,891.7513,4.0768,40.3158,408.9515,8.39,47.9859253794,2.8784,8.9295
SH688139,2025-03-31,80.7465,0.1186,-18.0852,0.3029,0.3203,1.993,2.5,0.2498,16.865,1.993,0.3655,0.1477,758.8533,1.1146,49.361,360.2882,2.47,48.354220891,,1.8233
SH688139,2025-06-30,89.3788,0.2097,-38.4399,-2.2713,0.2421,7.1411,3.27,0.4546,12.3139,2.6231,0.463,0.2606,858.3691,2.0139,54.8513,395.9525,3.31,46.2817609105,1.5051,3.2816
SH688139,2025-09-30,93.3481,0.308,-36.629,-1.169,0.4088,3.5774,4.56,0.6771,11.4774,3.5774,0.6358,0.3827,876.6234,2.8924,57.8604,398.7594,4.58,46.5101711881,,4.6664
SH688139,2025-12-31,98.8115,0.4022,-33.0376,1.9633,1.05,9.3558,5.77,0.8769,10.9561,4.4053,0.8024,0.504,895.0771,3.6433,56.2931,410.5371,5.73,46.7892024891,2.7955,6.3951
SH688139,2026-03-31,89.8114,0.112,-31.1612,-5.3572,0.146,1.366,1.8,0.2415,12.2668,1.366,0.2527,0.1399,803.5714,1.0021,62.7878,372.6708,1.78,47.5498391312,,1.4334
