instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
SZ301032,2023-03-31,1.7509,-77.4883,8.9475518625,296.7359,0.2015,0.4075,0.3033,0.0574,45.427,0.16,220.8589,0.7205,51.4021,0.0065,-40.7147,,0.0574,1.9812,9.3696,0.16
SZ301032,2023-06-30,3.0021,-59.7044,7.3487813987,345.6885,0.3489,0.6969,0.5207,15.8516,47.1192,0.48,258.2867,1.2379,59.958,0.0193,-51.327,2.622,0.1706,3.8201,15.1126,0.48
SZ301032,2023-09-30,4.052,-51.7352,7.2742842027,379.0006,0.203,0.9498,0.7124,0.1356,52.473,0.43,284.2704,1.6965,66.6338,0.0154,-49.4228,,0.1356,5.1455,13.2114,0.43
SZ301032,2023-12-31,4.68,35.9734,7.8607153642,392.5417,1.3018,1.2258,0.9171,18.3964,25.6016,2.94,293.6858,2.1209,76.9231,0.125,-7.7893,4.5169,1.1372,14.0616,10.5826,2.91
SZ301032,2024-03-31,1.3189,684.25,9.7084245977,339.6226,1.7215,0.342,0.265,0.4488,48.5254,1.16,263.1579,0.6431,68.2387,0.051,-0.9422,,0.4488,1.8547,-8.194,1.15
SZ301032,2024-06-30,2.4099,661.3961,9.7026836776,382.1656,2.8187,0.6073,0.471,19.2977,49.0717,3.29,296.3939,1.1252,74.6919,0.1472,1.4773,2.5622,1.3168,3.6681,-5.7581,3.25
SZ301032,2024-09-30,3.225,1102.5885,9.489315154,411.4599,2.5751,0.8466,0.6562,1.6947,53.0056,4.18,318.9227,1.544,83.7209,0.1852,-0.6909,,1.6947,5.0938,-5.2163,4.11
SZ301032,2024-12-31,4.2244,153.962,9.8462186667,419.092,3.3874,1.1049,0.859,22.6014,29.9538,6.97,325.8213,1.9838,85.2192,0.3175,0.6642,4.7056,2.9318,12.0185,-2.4023,6.75
SZ301032,2025-03-31,1.5295,14.6264,9.6452994538,334.3239,1.9201,0.3371,0.2692,0.496,51.1887,1.3,266.9831,0.6203,58.8428,0.0585,-1.6205,,0.496,1.7582,2.7702,1.29
SZ301032,2025-06-30,2.8117,7.3726,10.2026268018,377.5168,2.924,0.5949,0.4768,20.3087,55.3301,3.31,302.5719,1.101,64.0182,0.158,7.399,2.9272,1.335,3.2532,3.5058,3.32
SZ301032,2025-09-30,3.7689,28.3562,10.8052179591,409.9605,3.1817,0.8191,0.6586,2.0044,58.8774,4.97,329.6301,1.5103,71.6389,0.2378,2.1011,,2.0044,4.5858,3.8832,4.91
SZ301032,2025-12-31,4.4267,37.6434,11.0602467379,421.5457,4.5211,1.0592,0.854,23.7368,30.6597,8.85,339.8792,1.9153,81.3247,0.437,2.2197,5.3788,3.7008,11.7418,3.1297,8.56
SZ301032,2026-03-31,1.4001,41.8213,10.4901374485,356.5769,2.7224,0.3037,0.2524,0.6727,50.6871,1.6,296.3451,0.5782,64.2811,0.0829,-2.4275,,0.6727,1.7756,0.0259,1.59
