instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
SZ301152,2023-03-31,0.9614,-99.1477,1.0905060285,562.8518,0.0862,0.2118,0.1599,0.0141,116.9743,0.02,424.9292,0.2317,93.6135,0.0041,19.0106,,0.0141,0.7694,-14.6289,0.02
SZ301152,2023-06-30,2.0917,-156.6583,-0.286948537,517.2414,-4.9505,0.4708,0.348,1.1566,113.3073,-2.61,382.328,0.5257,86.0544,-0.5267,0.041601185663,3.5452,-1.7136,1.5886,-9.7491,-2.67
SZ301152,2023-09-30,3.1984,-171.4459,-0.7351227786,547.0016,-5.7853,0.6773,0.4936,-2.6965,118.0379,-4.63,398.6417,0.7975,84.4172,-0.923,0.111939676771,,-2.6965,2.2874,0.3424,-4.79
SZ301152,2023-12-31,5.6225,-481.1496,-6.7747364939,507.1137,-20.6694,1.0349,0.7099,-11.4976,116.3279,-22.68,347.8597,1.091,64.0285,-4.1401,0.050706801106,3.9666,-15.9112,3.0947,-8.4306,-25.9
SZ301152,2024-03-31,1.6217,-9584.4708,-0.1255239274,663.2277,-10.8277,0.233,0.1357,-1.4473,142.5856,-2.42,386.2661,0.2249,55.4973,-0.3884,-0.399925186175,,-1.4473,0.6312,-24.5031,-2.48
SZ301152,2024-06-30,3.0156,-27.482101845431,5.3147735119,591.716,-8.6935,0.5333,0.3042,3.2906,137.3207,-4.35,337.5211,0.498,59.6896,-0.6798,-0.339027667857,1.0277,-2.677,1.3108,-26.5028,-4.49
SZ301152,2024-09-30,5.1113,-51.868521613148,0.5792770625,620.1194,-12.5212,0.7667,0.4354,-5.4572,143.7011,-9.0,352.1586,0.7338,52.8241,-1.4172,-0.264269517214,,-5.4572,1.8789,-29.0545,-9.78
SZ301152,2024-12-31,7.747,7.091697004224,-2.9300080415,613.8107,-25.2977,1.0387,0.5865,-7.5779,140.0016,-25.24,346.5871,1.0191,46.4696,-3.6369,-0.17407090984,1.8265,-15.8106,2.5714,-28.2253,-29.85
SZ301152,2025-03-31,1.4588,14.145595782229,3.5031413292,631.136,-9.8529,0.2486,0.1426,-1.346,149.0313,-2.86,362.0274,0.2899,61.6945,-0.3471,-0.057779140903,,-1.346,0.6039,-4.4028,-2.91
SZ301152,2025-06-30,3.6553,27.299677872579,5.1563311383,532.5444,-6.4451,0.5976,0.338,7.3462,139.1251,-4.33,301.2048,0.6741,49.2436,-0.5245,-0.027053973076,1.0098,-2.1393,1.2938,1.3026,-4.42
SZ301152,2025-09-30,5.1904,48.906758395481,4.7260350747,487.4526,-5.979,0.9793,0.5539,-3.3534,128.041,-6.45,275.7071,1.0824,52.0191,-0.7729,0.033533558352,,-3.3534,2.1087,11.1785,-6.66
SZ301152,2025-12-31,6.7331,56.771795185272,4.5399480908,436.2579,-9.8429,1.4422,0.8252,4.0178,111.5898,-15.51,249.6186,1.6474,53.4672,-1.8273,0.02057819419,2.3231,-8.5537,3.2261,25.6995,-16.8
SZ301152,2026-03-31,1.1439,121.29531516837,9.9936306419,447.0939,1.5724,0.3329,0.2013,0.3133,119.1737,0.7,270.3515,0.4235,78.6782,0.0683,5.5589,,0.3133,0.7552,23.3082,0.7
