instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920580,2023-03-31,0.2874,-9.0631,38.9472498968,1636.3636,24.8698,0.0753,0.055,1.3633,351.975,1.5,1195.2191,0.0604,313.1524,0.0573,0.371,,1.3633,0.2557,-14.1692,1.49
BJ920580,2023-06-30,0.7047,-22.2387,38.2416926044,1349.3253,18.9991,0.1865,0.1334,9.7323,302.5719,2.72,965.1475,0.1453,255.4278,0.1044,0.3283,0.7765,2.5671,0.5949,-13.2512,2.77
BJ920580,2023-09-30,1.0383,-11.7512,37.8552067766,1324.8283,18.0766,0.2904,0.2038,3.6987,278.3792,4.0,929.7521,0.2224,260.0405,0.153,0.4782,,3.6987,0.9699,-4.2569,4.0
BJ920580,2023-12-31,1.6285,9.6301,37.171427428,1224.9064,14.3988,0.4224,0.2939,12.0522,279.829,4.65,852.2727,0.323,221.0623,0.1776,0.7327,1.4324,4.2047,1.2865,-2.0952,4.62
BJ920580,2024-03-31,0.2582,-10.7766,34.6172053058,1814.5161,23.7328,0.0756,0.0496,1.1465,364.8156,1.32,1190.4762,0.0556,348.567,0.0511,-1.6763,,1.1465,0.2467,-6.5019,1.31
BJ920580,2024-06-30,0.656,-29.753,31.9331224698,1462.2258,13.5221,0.1869,0.1231,9.9584,290.229,1.92,963.0819,0.1419,274.3902,0.0734,-0.9705,0.5066,1.5984,0.6202,-1.3003,1.93
BJ920580,2024-09-30,1.0566,-40.7472,30.8160487955,1341.9483,10.5342,0.3097,0.2012,2.0923,291.8919,2.36,871.8114,0.2246,255.5366,0.0907,-0.6983,,2.0923,0.925,1.6775,2.37
BJ920580,2024-12-31,1.7821,-37.7957,30.7694385556,1133.8583,8.2548,0.497,0.3175,13.0217,268.8574,2.88,724.3461,0.3483,202.0089,0.1105,-0.6939,1.1551,2.6266,1.339,8.5031,2.88
BJ920580,2025-03-31,0.224,-48.89,31.0075923407,1906.7797,13.2073,0.0756,0.0472,0.6264,476.9475,0.68,1190.4762,0.0514,401.7857,0.0261,-3.5034,,0.6264,0.1887,-8.1581,0.68
BJ920580,2025-06-30,0.7055,11.3729,32.979118856,1170.3511,12.5958,0.2467,0.1538,13.4741,303.7462,2.11,729.6311,0.1687,255.1382,0.0817,-0.227,0.5226,1.9333,0.5926,19.5631,2.12
BJ920580,2025-09-30,1.0713,45.6626,32.1357065865,1132.0755,12.8189,0.3774,0.2385,2.9783,287.4175,3.41,715.4213,0.2663,252.0302,0.1321,0.1691,,2.9783,0.9394,19.7013,3.39
BJ920580,2025-12-31,1.8278,86.228,34.0201142914,967.4819,12.691,0.5886,0.3721,16.5675,262.5821,5.28,611.6208,0.4151,196.9581,0.2058,0.4099,1.271,4.5656,1.371,21.1307,5.18
BJ920580,2026-03-31,0.3062,132.7658,38.4235449712,1208.0537,18.0292,0.1164,0.0745,1.337,333.0866,1.52,773.1959,0.0843,293.9255,0.0608,-3.4495,,1.337,0.2702,70.5127,1.51
