instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH688390,2021-03-31,130.5294,0.1683,86.2577,99.566,-0.458,2.5506,4.69,0.1974,15.6316,2.5506,0.7897,0.2981,534.7594,0.6895,34.3826,455.9271,4.58,37.8061479277,,2.6176
SH688390,2021-06-30,116.5803,0.3914,29.4262,84.8939,0.2916,6.9924,10.1,0.4604,13.9758,5.0724,1.7264,0.7336,459.8876,1.544,32.2963,390.9644,10.16,34.8993152097,3.6979,5.5734
SH688390,2021-09-30,126.4755,0.5955,8.7384,65.1167,0.3278,6.6261,14.16,0.7076,12.3863,6.6261,2.4192,1.132,453.4005,2.1348,31.3746,381.5715,13.61,34.5535100777,,8.6057
SH688390,2021-12-31,118.4678,0.8537,7.5972,68.5319,1.0632,9.4754,18.12,1.0446,10.3981,7.4965,3.1645,1.7088,421.6938,3.0388,30.8132,344.6295,16.88,31.6620079435,7.9005,11.6833
SH688390,2022-03-31,203.2979,0.1708,-89.5515,46.163,-24.648,0.1865,0.56,0.2194,1.1174,0.1865,0.0825,0.385,526.9321,0.4427,42.2932,410.2097,0.56,30.1242760121,,2.128
SH688390,2022-06-30,213.9292,0.3646,-67.5567,33.6071,-0.7039,3.3832,3.22,0.4794,3.3937,1.1591,0.4001,0.8728,493.6917,0.8414,36.424,375.4693,3.35,29.1763888122,3.1801,4.9418
SH688390,2022-09-30,161.0979,0.6783,25.0472,69.64,1.3722,5.4524,15.48,0.8952,9.1304,5.4524,2.1608,1.6342,398.054,1.676,38.1939,301.6086,14.76,30.9832375312,,7.0692
SH688390,2022-12-31,137.6884,0.9902,128.4802,75.8789,1.3745,13.0903,33.18,1.3103,13.5079,10.9723,5.1644,2.3796,363.5629,2.6146,36.2794,274.7462,28.76,32.4550071922,7.2282,9.923
SH688390,2023-03-31,147.3236,0.2812,4465.2525,164.5894,0.3242,5.1542,13.81,0.381,19.2802,5.1542,2.6906,0.6959,320.0569,0.6109,38.8971,236.2205,12.87,39.0457505163,,2.3138
SH688390,2023-06-30,122.6075,0.5932,1394.072,162.6127,0.9587,12.7521,28.0,0.802,19.3076,10.4292,4.2697,1.4774,303.439,1.4681,37.3816,224.4389,26.11,35.5517349798,3.9879,4.8152
SH688390,2023-09-30,119.9947,0.8653,237.576,93.7956,1.1623,12.3751,33.51,1.1889,15.9044,12.3751,5.1979,2.11,312.0305,2.2501,32.8647,227.1007,29.7,34.1330593434,,8.2155
SH688390,2023-12-31,124.5416,1.1391,36.1445,56.1,1.1938,15.1505,32.53,1.5866,11.7811,12.1811,5.0103,2.7532,316.039,2.8906,32.0818,226.9003,28.57,30.7598047946,7.559,11.2213
SH688390,2024-03-31,231.7796,0.1619,-105.7832,-34.499,-0.633380566788,-0.2818,-0.97,0.2352,-1.7023,-0.2818,-0.1109,0.3669,555.8987,0.3883,52.2952,382.6531,-0.97,27.466158468,,1.721
SH688390,2024-06-30,167.4419,0.4326,-99.3696,-17.4742,-195.6332,3.5705,-0.81,0.6316,0.1475,0.0624,0.0192,1.0435,416.0888,1.075,45.8085,284.9905,-0.84,22.7646419094,3.0322,3.9294
SH688390,2024-09-30,167.1723,0.6673,-93.6553,-12.5117,-17.9628,0.74,0.29,0.9728,1.1534,0.74,0.235,1.6197,404.6156,1.6151,41.6166,277.5493,0.3,23.0007211038,,6.4878
SH688390,2024-12-31,154.8387,0.8946,-100.4079,-8.3619,-0.117688650586,4.1366,-2.16,1.3099,-0.0524,-0.0444,-0.0146,2.2559,402.4145,2.325,40.8358,274.8301,-2.25,20.9502659883,4.4853,8.8158
SH688390,2025-03-31,143.016,0.2384,2.752062230917,67.1272,-0.134653043528,-0.1365,-1.02,0.3559,-0.5683,-0.1365,-0.0441,0.6503,377.5168,0.6293,47.1921,252.88,-1.03,19.4110747561,,1.9071
SH688390,2025-06-30,132.6749,0.5118,231.6883,29.8041,-2.8477,5.1391,-0.6,0.7589,0.3769,0.1921,0.0635,1.4173,351.6999,1.3567,46.3237,237.1854,-0.61,19.9221371,2.1872,3.8857
SH688390,2025-09-30,143.0464,0.7537,103.3808,25.3041,-0.2817,1.3666,2.91,1.1092,1.8721,1.3666,0.4777,2.1453,358.2327,1.8875,52.278,243.4187,2.99,22.066989781,,5.1647
SH688390,2025-12-31,129.9968,1.0232,318.269690058909,31.9291,3.9685,6.7724,4.87,1.4791,1.8274,1.7236,0.6685,3.0716,351.8374,2.7693,57.0171,243.3913,4.93,21.5134970966,4.6361,6.3139
SH688390,2026-03-31,142.1352,0.2382,462.042710949049,25.4218,-0.8248,0.9509,3.64,0.3262,4.188,0.9509,0.4067,0.8063,377.8338,0.6332,74.8877,275.9044,3.57,26.3294224232,,1.2018
