instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ301046,2021-03-31,88.204,15.7283,0.1935,,64.651331849495,0.1218,1.908,,0.481881907304,3.0,757.569451033268,,114.8765,186.767750844861,1.908,1.392082690725,,,-4.404,28.7726809495
SZ301046,2021-06-30,53.1852,19.8869,0.7033,13.99,8.3699,0.5928,15.1357,0.4157,1.3926,13.08,433.0046,,52.2244,129.2546,7.7207,21.5056,49.5515,3.6326,-1.5834,31.0839738626
SZ301046,2021-09-30,66.2879,18.0002,0.7638,16.29,12.3144,0.5558,7.255,,2.0571,10.84,553.2033427281,,59.9759,131.2527,7.255,21.9256,48.0011,5.6249,-0.1853,29.2216420818
SZ301046,2021-12-31,41.2795,17.4942,0.9643,18.11,76.0713,0.6936,13.1903,0.5768,2.2918,13.21,624.1331,,14.2308,157.0818,7.926,4.7324,52.7171,6.8289,0.2104,29.2799694284
SZ301046,2022-03-31,33.8625,9.8359,0.1462,1.46,70.3895,0.0763,0.9498,0.0926,0.5341,1.44,971.9222,,-16.2873,168.5078,0.9498,1.2786,0.1084,830.2583,-3.2838,24.3088807693
SZ301046,2022-06-30,-37.3762,7.5477,0.2718,2.09,81.781,0.1055,7.7124,0.1702,0.8467,2.13,1057.5793,1.2602,-76.2323,212.5901,1.3715,2.201,0.1998,900.9009,-4.6091,25.5077243693
SZ301046,2022-09-30,-45.3246,5.6068,0.327,1.93,104.1506,0.0945,1.2283,0.2052,0.9901,1.94,1315.7895,,-82.9693,272.6997,1.2283,2.5924,0.2423,1114.3211,-7.8677,26.9966389228
SZ301046,2022-12-31,-35.603,6.6129,0.4923,3.41,100.5053,0.1685,8.8091,0.3087,1.3838,3.42,1166.1808,2.1186,-75.6577,260.1532,2.1678,3.5819,0.3697,973.7625,-4.5295,25.9166235315
SZ301046,2023-03-31,-39.1618,5.6317,0.0922,0.55,129.8139,0.0266,0.3518,0.0616,0.2343,0.55,1461.039,,-65.1659,384.1229,0.3518,0.6933,0.0768,1171.875,-10.1354,28.927531024
SZ301046,2023-06-30,-11.6748,2.9947,0.2358,0.75,103.8961,0.037,5.7554,0.1367,0.5661,0.72,1316.752,0.9595,-64.9558,317.965,0.3596,1.7325,0.1658,1085.6454,-13.6863,27.6134595409
SZ301046,2023-09-30,68.2055,7.462,0.5316,4.0,84.0702,0.2116,1.8918,0.2991,1.1325,3.89,902.7081,,123.8622,238.4106,1.8918,3.2116,0.359,752.0891,-4.0944,24.7554121823
SZ301046,2023-12-31,54.7881,9.7097,0.7368,7.2,87.2664,0.3832,8.4468,0.4066,1.8838,6.92,885.391,2.9559,127.2769,191.1031,3.293,4.1253,0.4886,736.799,-2.7953,22.0152178705
SZ301046,2024-03-31,246.6917,4.0608,0.2902,1.08,72.4463,0.0665,0.5592,0.1392,0.6568,1.17,646.5517,,149.9854,137.028,0.5592,1.2423,0.1641,548.4461,-21.7758,17.1073103913
SZ301046,2024-06-30,235.9005,5.119,0.7449,3.71,55.1403,0.2123,6.6413,0.338,1.3952,3.84,532.5444,2.9631,474.1847,129.0138,1.6455,3.2644,0.3974,452.9441,-8.0502,17.2873278979
SZ301046,2024-09-30,110.3948,5.7468,1.059,6.09,56.6192,0.3429,2.6508,0.4856,2.1203,6.06,556.0132,,62.0322,127.3405,2.6508,4.7687,0.5729,471.2864,-3.3182,17.2061766121
SZ301046,2024-12-31,85.7357,4.7882,1.3002,6.22,83.3912,0.351,7.9672,0.5918,2.1778,6.2,608.3136,4.8362,-8.4066,165.3044,2.6724,4.317,0.6963,517.0185,-3.0559,16.5348903771
SZ301046,2025-03-31,26.6016,1.8489,0.3638,0.67,109.7963,0.0377,0.2738,0.1528,0.4773,0.67,589.0052,,-42.3591,188.5607,0.2738,0.8197,0.1784,504.4843,-2.2344,13.2257912787
SZ301046,2025-06-30,44.7954,3.2006,1.0641,3.3,58.8659,0.1889,7.3406,0.463,1.4059,3.42,388.7689,3.7238,-9.4699,128.0319,1.5004,3.0578,0.544,330.8824,7.0481,12.4012100556
SZ301046,2025-09-30,14.026,2.292,1.2051,2.75,81.8752,0.1533,1.267,0.5348,1.7485,2.77,504.8616,,-54.5231,154.4181,1.267,3.2977,0.6297,428.7756,10.8583,13.1671102326
SZ301046,2025-12-31,7.7419,0.5908,1.1705,0.83,73.6362,0.0416,7.5314,0.6475,1.9848,0.6,555.9846,4.9832,-86.7057,181.3785,0.4143,4.8889,0.774,465.1163,33.5439,12.62647239
SZ301046,2026-03-31,-53.0021,-3.3078,0.1245,-0.41,118.4522,-0.0286,-0.2818,0.0859,0.2764,-0.41,1047.7299,,-184.0841,325.6151,-0.2818,0.7598,0.1048,858.7786,-0.713644513463,16.0995576801
