instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
BJ920207,2021-06-30,,127.6369,1.0597,0.336,23.8195744164,11.57,165.0165,160.9586,118.9688,4.7164,4.7164,10.94,1.0908,10.7222,,0.5298,-1.7896,404.597119125008,1.1183,339.7508
BJ920207,2021-09-30,,,2.9913,0.2376,20.8842450477,8.92,,,,,,8.92,,5.6955,,,-2.1315,,,
BJ920207,2021-12-31,,-3.1993,2.3789,0.5853,24.2208203578,20.12,118.5458,153.0612,9.7658,7.6547,7.6547,18.97,3.0368,8.3949,,1.1064,0.4445,363.066162558366,2.352,325.3796
BJ920207,2022-03-31,,144.996540756516,0.3525,0.0086,24.2812239415,0.35,179.0332,264.3948,27.657854780081,0.1238,0.1238,0.35,0.5027,0.7966,,0.1617,-89.9518,607.103429620814,0.3404,556.5863
BJ920207,2022-06-30,,-6.8351,1.0143,0.3131,29.0749527466,9.89,125.5143,154.9854,2.7976,5.2727,5.2727,9.66,1.4341,9.7175,,0.5293,-2.3867,379.479537219897,1.1614,340.0718
BJ920207,2022-09-30,,5.9919,1.1234,0.207,27.1355097678,8.13,141.3613,156.4582,2.0261,3.9225,3.9225,5.67,1.91,5.9169,,0.6708,-3.3724,446.167048214965,1.7257,402.5045
BJ920207,2022-12-31,0.7251,-55.0249,1.3092,0.2107,27.5420193896,7.73,154.6259,183.5049,-26.7459,6.2889,4.0875,5.71,2.3282,5.1542,,0.805,-0.9029,496.4832,1.9618,447.205
BJ920207,2023-03-31,0.1203,-866.5546,0.1646,-0.053,30.4724611938,-1.38,273.7226,217.7595,-28.6574,-1.0316,-1.0316,-1.39,0.3288,-8.5589,,0.1371,-0.444056930308,748.1297,0.4133,656.4551
BJ920207,2023-06-30,0.2653,-149.1766,0.3592,-0.1186,25.4439598182,-3.29,238.4738,173.2435,-47.126,-0.0595,-2.4051,-3.22,0.7548,-9.038,4.4431,0.3035,-0.247375787376,678.4772,1.039,593.0807
BJ920207,2023-09-30,0.4297,-129.8433,0.5837,-0.0579,26.5644797809,-1.58,227.656,178.7133,-35.7061,-1.1937,-1.1937,-1.58,1.186,-2.7465,,0.4939,-0.132243166172,628.3454,1.5108,546.6694
BJ920207,2023-12-31,0.6364,-76.2309,0.9808,0.0482,26.1133510593,1.33,214.1455,168.185,-10.1349,2.8996,0.7837,1.35,1.6811,1.3633,11.8409,0.7271,-18.9714,565.682,2.1405,495.1176
BJ920207,2024-03-31,0.1901,117.612610447136,0.3361,0.0094,17.6194930332,0.25,194.6788,126.4045,101.5683,0.145,0.145,0.25,0.4623,0.7825,,0.2309,-23.4006,473.435,0.712,389.7791
BJ920207,2024-06-30,0.336,-80.402894450734,0.6042,-0.2171,15.9641715504,-6.19,209.3754,128.1869,57.0395,-1.0808,-3.4826,-6.54,0.8597,-10.337,6.1371,0.4145,0.057153370886,535.7143,1.4042,434.2581
BJ920207,2024-09-30,0.4391,-407.725731059,0.7782,-0.2929,17.8014024319,-8.52,241.1791,162.406,24.5216,-4.9491,-4.9491,-9.05,1.1195,-10.9462,,0.5429,-0.026402839543,614.8941,1.6625,497.3292
BJ920207,2024-12-31,0.5757,-835.3819,1.0476,-0.3613,18.948845388,-10.65,241.303,165.4944,-1.2119,-3.1515,-5.9233,-11.42,1.4919,-10.1482,9.5255,0.691,-0.067881299144,625.3257,2.1753,520.9841
BJ920207,2025-03-31,0.1146,-833.7618,0.2226,-0.0702,17.7505603772,-2.22,297.4223,184.0491,-43.1177,-1.1623,-1.1623,-2.25,0.3026,-10.0945,,0.1458,-0.296566065459,785.3403,0.489,617.284
BJ920207,2025-06-30,0.2305,26.420379919519,0.4612,-0.1626,21.6744019998,-5.18,289.8551,212.1891,-32.3307,0.4657,-2.558,-5.32,0.621,-11.2177,3.6004,0.2832,-0.070815225498,780.9111,0.8483,635.5932
BJ920207,2025-09-30,0.3892,64.32438570558,0.8512,-0.1074,22.5862129647,-3.37,232.5782,227.2919,-1.0888,-1.4042,-1.4042,-3.42,1.1609,-3.979,,0.4726,-0.056715418684,693.7307,1.1879,571.3077
BJ920207,2025-12-31,0.6742,102.313272981676,1.4003,0.0081,22.1442366346,0.26,169.9155,178.8909,24.5112,3.1405,0.1121,0.26,2.1187,0.1783,11.4172,0.8214,116.9361,533.9662,2.0124,438.2761
BJ920207,2026-03-31,0.0468,50.199248255032,0.1018,-0.0355,24.1241982773,-1.1,498.0631,879.7654,-54.9575,-0.5489,-0.5489,-1.16,0.1807,-11.1182,,0.0555,-0.360815789348,1923.0769,0.1023,1621.6216
