instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH688016,2021-03-31,193.5068,0.1356,70.9595,99.0722,1.0667,6.6214,7.91,0.1561,51.4952,6.6214,1.4127,0.1537,663.7168,0.4651,26.2039,576.5535,7.61,80.066311786,,3.4346
SH688016,2021-06-30,211.8395,0.2476,53.2333,68.6233,0.9085,13.9464,14.04,0.2894,50.9848,11.9117,2.5661,0.28,726.979,0.8497,25.8468,621.9765,13.64,79.6007341541,6.9219,6.9641
SH688016,2021-09-30,231.8393,0.336,53.2185,55.4489,0.8988,14.9833,18.79,0.3934,48.7754,14.9833,3.457,0.3797,803.5714,1.1646,28.7375,686.3244,17.61,79.1587444138,,9.3954
SH688016,2021-12-31,226.3439,0.4375,46.0825,45.588,0.9577,19.8552,23.27,0.5157,45.7928,17.8785,4.3557,0.4968,822.8571,1.5905,32.0744,698.0803,21.14,78.0492929324,11.3027,11.2239
SH688016,2022-03-31,166.2357,0.1413,20.0512,30.5945,1.1904,6.4391,7.92,0.1763,47.3378,6.4391,1.696,0.1626,636.9427,0.5414,26.2207,510.4935,7.61,77.8180642733,,3.4324
SH688016,2022-06-30,178.536,0.2461,15.4025,26.6444,1.0776,12.6922,13.39,0.3055,46.459,10.7917,2.9614,0.2945,731.41,1.0082,27.7358,589.198,13.72,75.9939438993,6.5218,6.4898
SH688016,2022-09-30,200.2225,0.3643,19.7079,30.2042,0.8848,15.7336,18.78,0.4794,44.8435,15.7336,4.1384,0.414,741.1474,1.3485,31.9496,563.204,18.11,75.6064254826,,8.4508
SH688016,2022-12-31,212.6654,0.4783,12.2926,30.9466,0.948,19.742,22.22,0.6513,39.2694,17.6456,4.8911,0.5492,752.6657,1.6928,39.5918,552.7407,20.76,75.1798637933,11.4432,9.0928
SH688016,2023-03-31,217.5489,0.1375,1.2114,10.746,0.9663,5.7221,7.0,0.2106,43.2623,5.7221,1.7165,0.1581,654.5455,0.4137,38.9577,427.3504,6.76,75.733987952,,2.3102
SH688016,2023-06-30,219.539,0.2972,30.1272,35.4888,0.9534,14.8245,15.46,0.4595,44.6206,12.6792,3.8535,0.3447,605.6528,0.8199,41.0322,391.7301,15.18,77.0993315244,6.8493,4.3868
SH688016,2023-09-30,243.5944,0.4157,29.2009,33.7543,0.8518,16.8849,21.26,0.6379,43.3168,16.8849,5.3468,0.4779,649.5069,1.1084,46.6144,423.2638,19.87,76.8600880051,,5.7922
SH688016,2023-12-31,236.1895,0.3804,38.394,32.4265,1.1459,12.7083,26.43,0.5096,41.039,11.4742,5.8895,0.4235,946.3722,1.5242,41.2522,706.4364,12.81,76.4507290561,12.9158,8.7268
SH688016,2024-03-31,222.7171,0.0817,48.0058,25.3824,1.159,4.0417,4.51,0.1024,51.0683,4.0417,2.2105,0.0901,1101.5912,0.4041,42.9082,878.9063,4.56,76.5154801421,,2.0975
SH688016,2024-06-30,200.6465,0.1795,44.0598,26.6323,0.8562,10.0824,10.15,0.2261,50.7614,8.8317,3.2417,0.1987,1002.7855,0.8971,55.712,796.1079,10.03,76.5722732202,8.0254,3.2309
SH688016,2024-09-30,273.4177,0.2202,42.1784,9.1287,0.6862,12.0033,14.38,0.3005,56.4354,12.0033,4.4391,0.2491,1226.158,0.9875,49.389,898.5025,14.23,75.4958446623,,5.4668
SH688016,2024-12-31,263.8716,0.2826,1.1353,1.6107,0.7582,13.511,13.22,0.3952,40.847,11.4817,3.9976,0.3139,1273.8854,1.3643,53.3966,910.9312,13.24,73.0108632484,12.1856,6.742
SH688016,2025-03-31,223.1589,0.0759,-30.0058,-7.2308,0.3127,2.8667,3.19,0.1182,38.5309,2.8667,1.0384,0.0862,1185.7708,0.4033,76.5501,761.4213,3.37,69.6122639564,,1.1757
SH688016,2025-06-30,197.9109,0.1606,-22.2623,-9.2413,1.0257,8.8178,8.16,0.2527,43.4787,6.7465,2.52,0.1813,1120.797,0.9095,70.4749,712.3071,7.81,69.1874578484,7.2198,2.5541
SH688016,2025-09-30,228.8523,0.2249,-22.6822,4.6635,0.8585,8.9398,10.95,0.3583,41.6903,8.9398,3.4322,0.26,1200.5336,1.1798,91.5192,753.5585,10.84,70.3996081584,,2.9502
SH688016,2025-12-31,248.2587,0.3024,12.5646,11.9624,1.0332,14.1089,14.31,0.4874,41.0667,11.9509,4.4998,0.341,1190.4762,1.4501,77.0103,738.613,13.82,71.0824251341,13.8468,4.6747
SH688016,2026-03-31,250.976,0.0785,19.2275,11.4533,0.07,3.1834,3.63,0.1288,41.2186,3.1834,1.2381,0.0888,1146.4968,0.3586,98.189,698.7578,3.67,73.1291240796,,0.9166
