instrument,datetime,current_asset_turn_days,fixed_asset_turnover,roe,roa_alt,ocf_to_np,net_margin,equity_turnover,roe_weighted,gross_margin,roa,profit_growth,asset_turn_days,inventory_turn_days,ar_turn_days,eps,revenue_growth,inventory_turnover,asset_turnover,ar_turnover,current_asset_turnover
SZ000887,2021-03-31,287.5399,,2.6,1.2758,1.1541,7.4759,0.3527,2.63,25.1173209279,1.2758,48.889,530.0353,78.9889,79.2742,0.1957,27.2574,1.1394,0.1698,1.1353,0.313
SZ000887,2021-06-30,288.4153,1.6264,6.42,27.4388,1.1007,9.1786,0.7012,6.5,24.6346052595,3.119,391.5776,531.6007,79.7024,79.194,0.4799,34.4957,2.2584,0.3386,2.2729,0.6241
SZ000887,2021-09-30,294.8564,,8.7,4.4003,0.9661,8.7744,1.0148,8.9,24.3681832354,4.4003,172.3001,542.7136,86.4055,79.8415,0.6713,19.7227,3.1248,0.4975,3.3817,0.9157
SZ000887,2021-12-31,288.855,3.1723,10.42,30.237,0.9149,7.6605,1.3752,10.62,22.1072739944,5.2659,94.0383,532.702,82.8577,81.1762,0.7891,8.9092,4.3448,0.6758,4.4348,1.2463
SZ000887,2022-03-31,271.0843,,2.37,1.3353,0.8401,7.433,0.3374,2.54,22.1005808626,1.3353,4.4948,495.5947,89.0032,77.5528,0.1896,5.099,1.0112,0.1816,1.1605,0.332
SZ000887,2022-06-30,279.7638,1.7066,4.46,27.2778,0.9679,7.1146,0.6609,4.78,21.3927399706,2.4497,-20.1744,511.9454,89.7711,77.8109,0.3552,2.9836,2.0051,0.3516,2.3133,0.6434
SZ000887,2022-09-30,271.9581,,6.93,3.7854,0.8195,7.2704,1.0175,7.55,21.8082823304,3.7854,-8.9884,500.0926,92.8409,79.1441,0.5665,9.8392,2.9082,0.5399,3.4115,0.9928
SZ000887,2022-12-31,262.0087,3.6153,8.63,29.7705,0.9614,6.3698,1.4484,9.47,20.8693831311,4.4784,-1.8107,477.7704,88.2072,76.5387,0.7186,18.0859,4.0813,0.7535,4.7035,1.374
SZ000887,2023-03-31,276.3279,,2.29,1.2125,0.919,6.7349,0.3405,2.32,20.8043519602,1.2125,4.119,496.1411,93.9163,82.1843,0.1974,14.9105,0.9583,0.1814,1.0951,0.3257
SZ000887,2023-06-30,265.8396,1.8731,4.61,28.2945,0.7715,6.3838,0.7194,4.72,21.1720247228,2.3434,11.7757,477.327,92.3172,81.4848,0.3971,24.5708,1.9498,0.3771,2.209,0.6771
SZ000887,2023-09-30,258.7694,,7.43,3.8384,0.7615,6.7562,1.1098,7.64,21.481767176,3.8384,15.7115,460.8295,89.8622,80.5826,0.6556,24.518,3.0046,0.5859,3.3506,1.0434
SZ000887,2023-12-31,260.3225,3.8319,9.38,30.8812,1.2981,6.454,1.4803,9.76,21.7152065519,4.8719,17.6437,458.9495,90.5,80.2175,0.8454,16.1094,3.9779,0.7844,4.4878,1.3829
SZ000887,2024-03-31,255.8999,,2.92,1.5509,0.8988,7.6464,0.3829,2.96,22.4189735697,1.5509,38.0322,440.9603,88.574,77.7941,0.2725,21.5784,1.0161,0.2041,1.1569,0.3517
SZ000887,2024-06-30,249.1349,2.0621,5.75,29.4455,0.9924,7.4396,0.7857,5.8,22.2285927324,3.0828,37.6091,429.7994,84.8936,78.346,0.5464,18.0811,2.1203,0.4188,2.2975,0.7225
SZ000887,2024-09-30,254.8131,,8.22,4.4047,1.1744,7.3008,1.1614,8.4,22.3035278043,4.4047,22.6207,436.54,87.0154,79.1487,0.8039,13.4737,3.1029,0.6185,3.4113,1.0596
SZ000887,2024-12-31,260.9263,3.8659,9.65,31.4049,1.383,6.6203,1.5006,10.02,22.8161752461,5.1739,12.1519,448.4305,90.2527,80.0819,0.9481,9.3339,3.9888,0.8028,4.4954,1.3797
SZ000887,2025-03-31,264.7059,,3.0,1.6182,0.844,8.2244,0.3664,3.05,23.3243051394,1.6182,11.2722,452.2613,91.4077,76.7656,0.3033,3.4523,0.9846,0.199,1.1724,0.34
SZ000887,2025-06-30,265.7219,1.9139,5.96,29.8928,0.7583,8.264,0.7357,6.17,23.5805545018,3.1655,13.1183,455.4656,92.0198,78.9231,0.6181,1.8328,1.9561,0.3952,2.2807,0.6774
SZ000887,2025-09-30,272.9478,,9.26,4.9557,0.9554,8.9666,1.0717,9.61,24.291307153,4.9557,23.3223,468.0187,95.2717,78.7953,0.9913,0.4114,2.834,0.5769,3.4266,0.9892
SZ000887,2025-12-31,274.453,3.7118,11.04,31.8039,1.3709,7.9645,1.443,11.62,23.2427476948,5.7591,26.3396,468.2622,95.2154,78.2303,1.1979,5.0164,3.7809,0.7688,4.6018,1.3117
SZ000887,2026-03-31,325.1445,,2.2,1.1855,1.3048,7.2562,0.3013,2.6,25.7750768284,1.1855,-20.4003,556.9307,111.276,85.0179,0.2414,-9.7795,0.8088,0.1616,1.0586,0.2768
