instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SH600200,2021-03-31,1153.9598,32.5074,0.1439,450.4505,2.4571,2.7686,625.4343,0.2868,5.01,26.6865,0.1998,23.9867706156,4.89,5.5436,2.4571,0.1333,0.837,,17.4371,107.5269
SH600200,2021-06-30,474.021285256308,33.2588,0.2758,469.2388,12.8903,5.4121,652.6468,0.5479,3.7,-7.566,0.3836,25.2085584692,3.63,7.2183,1.8034,0.0962,1.585,3.7749,6.6217,113.5647
SH600200,2021-09-30,207.450173648638,35.1553,0.3879,504.2017,1.2397,7.6802,696.0557,0.783,2.65,-0.886,0.5355,26.8512681509,2.62,6.0893,1.2397,0.0673,2.0604,,3.2642,131.0425
SH600200,2021-12-31,104.485742725739,40.069,0.4759,543.8888,11.9053,8.9845,756.4614,0.9523,1.22,-5.1442,0.6619,28.8329773941,1.22,21.6871,0.5492,0.029,2.4538,6.605,1.1626,146.7112
SH600200,2022-03-31,-92.6119,38.8987,0.1191,538.5996,0.1894,2.3137,755.6675,0.2354,0.41,-18.4224,0.1671,33.6914684589,0.41,6.2137,0.1894,0.0098,0.6065,,1.5792,148.3924
SH600200,2022-06-30,-129.8888,42.4488,0.2135,598.0066,11.6185,4.2404,843.0913,0.4191,-1.052,-24.0195,0.301,34.4906672148,-1.05,-0.139510370873,-0.5681,-0.0287,0.9896,3.3083,-2.6048,181.8917
SH600200,2022-09-30,-200.9827,32.2789,0.3641,530.4519,-1.2653,8.3646,741.5545,0.741,-2.56,-5.955,0.509,30.3265672137,-2.56,-0.117071442242,-1.2653,-0.0679,1.6442,,-3.505,164.2136
SH600200,2022-12-31,-479.0057,29.7474,0.5285,480.9619,9.3096,12.1019,681.1731,1.0951,-4.25,14.125,0.7485,28.6078442655,-4.22,0.027772678453,-2.0009,-0.1098,2.5026,8.6762,-3.8609,143.8504
SH600200,2023-03-31,293.0734,22.3314,0.1544,409.2769,0.6871,4.0302,582.9016,0.3327,1.55,37.6852,0.2199,25.16748511,1.53,-2.9118,0.6871,0.0387,0.7088,,4.5084,126.9752
SH600200,2023-06-30,241.151053052493,26.0752,0.2759,457.5496,11.6115,6.9031,652.4103,0.5977,1.502,40.0129,0.3934,27.9181170317,1.49,-4.6292,0.6474,0.037,1.1724,5.0457,2.3927,153.5312
SH600200,2023-09-30,123.39233048373,28.2079,0.3679,512.9179,0.222,9.5718,733.8951,0.8198,0.6,8.9089,0.5264,28.3396409981,0.6,-30.2796,0.222,0.0133,1.4817,,0.6294,182.2231
SH600200,2023-12-31,5.668781689077,23.3312,0.5439,460.5347,8.7965,15.43,661.8864,1.2496,-4.06,10.5481,0.7817,24.2695563285,-4.13,-0.090929338439,-1.7208,-0.1045,2.4777,10.3501,-3.3239,145.296
SH600200,2024-03-31,-83.058,17.6174,0.1609,383.4683,0.1058,5.1086,559.3536,0.3987,0.29,14.9708,0.2347,34.5798497907,0.29,1.3958,0.1058,0.0066,0.6631,,0.6644,135.7261
SH600200,2024-06-30,-6.7846,21.6593,0.2856,442.9134,11.9248,8.3105,630.2521,0.6709,1.392,9.6199,0.4064,40.2976466298,1.38,6.2139,0.5955,0.0345,1.2356,5.875,2.0347,145.6782
SH600200,2024-09-30,397.9969,23.5643,0.3897,486.2237,1.1419,11.458,692.8406,0.9103,2.55,9.5759,0.5553,44.3616419948,2.51,-3.1819,1.1419,0.0662,1.5583,,2.8607,173.2657
SH600200,2024-12-31,197.968258398292,43.8532,0.3851,647.9482,13.9373,8.2092,934.8221,0.8758,3.95,-28.6367,0.5556,48.3312863002,3.87,-3.5686,1.9362,0.1081,1.4244,7.8178,4.8147,252.738
SH600200,2025-03-31,-1508.4941,73.7524,0.0798,781.25,-1.6546,1.2203,1127.8195,0.1709,-3.93,-54.9028,0.1152,63.6652142235,-4.01,-2.91282062491,-1.6546,-0.0924,0.183,,-20.7494,491.8033
SH600200,2025-06-30,-231.0708,68.6577,0.1623,764.0068,11.7691,2.6217,1109.0573,0.3406,-2.47,-47.2517,0.2356,64.6236078616,-2.51,-1.390234443387,-0.8323,-0.0452,0.3705,3.2961,-5.0558,485.83
SH600200,2025-09-30,-256.8719,77.355,0.2035,909.0909,-1.9802,3.4904,1326.7813,0.4245,-4.93,-52.3921,0.297,64.5354401425,-5.07,-1.140159629438,-1.9802,-0.104,0.4618,,-9.4261,584.6687
SH600200,2025-12-31,-366.4831,86.4387,0.2274,1078.4901,-5.7406,4.1648,1583.1135,0.4818,-12.51,-46.313,0.3338,62.8241039011,-13.36,-1.073578126348,-5.7406,-0.2885,0.8633,,-23.8982,417.0045
