instrument,datetime,revenue_growth,net_margin,inventory_turn_days,ar_turnover,roe,asset_turn_days,profit_growth,ar_turn_days,roa,inventory_turnover,ocf_to_np,gross_margin
SZ301603,2026-03-31,51.757291188475,14.3387769035,200.407859034907,2.003110373112,4.33,503.47122726081,41.978062029131,44.930125273216,2.563185047,0.449084184789,0.006959950352,30.6979269181
SZ301603,2025-12-31,41.883125380732,13.8992061787,197.453406952409,7.617067928995,15.74,519.287172100789,71.123934117725,47.262280362452,9.6357362422,1.823214932355,-0.026423907263,29.6683717039
SZ301603,2025-09-30,56.714262126987,14.8137646277,189.06915663791,5.375319389315,12.6,506.984848577854,83.554688212874,50.229573434595,7.889222845,1.428048893861,-0.058282114271,29.4546307275
SZ301603,2025-06-30,50.357230621252,14.6370436189,197.975883393981,3.585219155944,8.31,512.374147487025,56.429713448424,50.206135851298,5.1420780387,0.909201650798,-0.139435658399,30.0047459792
SZ301603,2025-03-31,29.916513318137,15.6123092498,251.323921573106,1.522085706451,3.55,642.907990583292,44.971008335545,59.129390426936,2.1855504257,0.358103595697,-0.281906993498,30.1021188904
SZ301603,2024-12-31,21.024678651517,11.5391333514,198.225013503103,6.198415591258,12.71,562.141360663873,21.3333835633,58.079358297261,7.3897569138,1.816117923959,-0.136635907458,29.413732935
SZ301603,2024-09-30,13.723459827174,12.5980838246,203.04307732061,4.483410135078,10.23,626.544000726208,24.965783297822,60.22201669384,5.4289605019,1.329767079789,-0.049242520294,29.8964822433
SZ301603,2024-06-30,6.218815590217,14.066286701,181.196646681541,2.975106079468,8.83,516.728760838737,27.567688395718,60.502044361453,4.8999239022,0.993395867399,-0.004987822469,29.6071988843
SZ301603,2024-03-31,5.118990545117,13.5774572528,187.383594931447,1.433728444175,4.07,545.008256350453,31.659682832131,62.773393640654,2.2421149377,0.480298182095,-0.027113525433,29.6752524845
SZ301603,2023-12-31,-6.104081937141,11.6984470149,187.344613329257,4.906363485088,14.75,511.72325266194,-11.235239452775,73.37409898271,8.2299190108,1.921592479242,0.121497607569,28.914132106
SZ301603,2023-09-30,,11.4880438642,,,,,,,,,0.1312894107,29.4099814872
SZ301603,2023-06-30,-12.015095752468,11.8345875442,,,8.11,,-17.7268590854,,,,0.130754555023,28.9435031201
SZ301603,2023-03-31,,11.2623072547,,,,,,,,,0.065388096716,28.4971603446
SZ301603,2022-12-31,18.202430543795,12.4436796218,191.263523945658,5.407280687109,20.02,422.60626263299,-17.652591617351,66.576902667221,10.6002325567,1.882219842934,0.022406770274,29.3001804321
SZ301603,2022-06-30,,12.6504413491,175.622831531776,3.018249779394,12.07,372.166455949695,,59.637211349731,6.1184435256,1.024923686915,0.005901900443,29.6284128915
SZ301603,2021-12-31,70.784523758538,17.9542575085,179.746042166984,6.513990218577,30.25,382.103189410844,86.170045846216,55.265664810692,16.9156732583,2.002825740472,0.065589156868,34.3940870376
SZ301603,2020-12-31,68.284981002538,16.5934278945,151.663819540712,6.272613190851,21.08,421.262428120385,110.158777524329,57.392348140498,14.1803152697,2.373670932792,0.130094067006,33.6669430029
SZ301603,2019-12-31,,13.0644026303,180.100713977714,5.146511381303,12.68,,,69.950297070723,17.2752983988,1.998881581583,0.087454942703,30.7247719894
