instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SH603003,2021-03-31,143.165915537935,5.4087,0.3859,124.8266,0.3973,16.6398,233.221,0.4334,0.44,-11.7671,0.721,1.7697198423,0.45,-27.6089,0.3973,0.041,2.3358,,1.0354,38.5307
SH603003,2021-06-30,181.050199876154,5.3039,0.7823,123.8731,5.7353,33.9374,230.0908,0.8854,0.28,-32.0836,1.4531,2.0926932216,0.28,-29.3799,0.298,0.0321,5.0411,2.6275,0.3847,35.7065
SH603003,2021-09-30,135.1399,4.6757,1.1951,127.732,0.3462,57.7454,225.9225,1.4004,0.33,-26.5541,2.1138,1.9260738969,0.33,-23.8383,0.3462,0.0399,6.5839,,0.3022,41.0091
SH603003,2021-12-31,-101.813215697512,8.8868,1.8754,104.9073,2.9452,40.5096,191.959,2.1499,-4.08,-10.8203,3.4316,3.8361306954,-4.19,0.010356030571,-3.474,-0.3672,12.4788,6.3409,-1.8529,28.8489
SH603003,2022-03-31,43.0409,12.3635,0.5177,97.4764,0.575,7.2795,173.8459,0.6096,0.63,33.4023,0.9233,2.5539926751,0.63,4.1787,0.575,0.0607,3.248,,1.1102,27.7094
SH603003,2022-06-30,111.5641,13.1616,1.0624,96.6962,7.6755,13.6761,169.4277,1.2702,0.64,37.3451,1.8615,4.0873065962,0.64,1.8572,0.6169,0.0679,7.6692,3.8278,0.5926,23.4705
SH603003,2022-09-30,99.786,10.0426,1.7585,87.945,0.7214,26.8855,153.5399,2.0992,0.76,44.0121,3.0701,1.7585408974,0.76,-8.981,0.7214,0.0797,10.3195,,0.4192,26.1641
SH603003,2022-12-31,120.470171083283,9.7225,2.2951,88.6656,8.5805,37.0276,156.8559,2.7658,0.9,25.1813,4.0602,1.7529383942,0.9,1.4001,0.6757,0.0747,12.3874,8.379,0.3009,29.0618
SH603003,2023-03-31,26.836,11.5191,0.3937,130.852,0.6605,7.8131,228.6005,0.4953,0.8,-18.2642,0.6878,2.9475700718,0.8,1.9639,0.6605,0.077,2.2348,,1.7228,40.2721
SH603003,2023-06-30,47.0332,19.4374,0.7334,136.7677,8.6257,9.2605,245.4322,0.9456,1.1,-25.3157,1.3161,6.0977075925,1.09,3.6236,0.8121,0.0999,4.7948,3.0341,1.1666,37.5407
SH603003,2023-09-30,71.967,12.5399,1.1903,126.1093,1.0854,21.5312,226.8336,1.553,1.49,-25.8643,2.141,5.9789539559,1.48,2.0023,1.0854,0.137,7.2327,,0.9724,37.3305
SH603003,2023-12-31,105.8929,50.3159,0.6522,308.8803,9.61,7.1548,551.9779,0.8533,1.81,-68.7151,1.1655,4.9600669643,1.79,3.6831,1.2055,0.1537,4.5431,2.236,1.9804,79.241
SH603003,2024-03-31,-43.5161,120.1602,0.1083,446.6501,0.3677,0.749,831.0249,0.1442,0.49,-70.2209,0.2015,4.6671187366,0.48,-12.2413,0.3677,0.0435,1.1814,,3.2678,76.1808
SH603003,2024-06-30,-61.6401,94.1866,0.1911,495.7312,11.3439,1.9111,941.9152,0.2483,0.48,-73.4101,0.3631,5.5646751361,0.49,-7.4925,0.346,0.0383,1.4724,0.5673,1.683,122.2494
SH603003,2024-09-30,-263.3584,95.2818,0.2477,562.2657,-2.1555,2.8337,1090.0283,0.3172,-2.26,-79.6633,0.4802,5.4078067209,-2.3,0.029516474659,-2.1555,-0.2393,3.627,,-7.8113,74.4417
SH603003,2024-12-31,-653.6885,88.9306,0.3097,619.9414,5.1897,4.0481,1162.4152,0.4,-9.46,-55.0214,0.5807,6.088486461,-9.97,0.087411278099,-8.6878,-0.9102,4.0153,0.8718,-24.3788,89.6571
SH603003,2025-03-31,-37.8201,25.9965,0.0313,1456.3107,0.2849,3.462,2875.3994,0.0366,0.33,-77.3398,0.0618,25.3441422087,0.33,-5.6355,0.2849,0.0289,0.6186,,8.9668,145.4898
SH603003,2025-06-30,-311.6397,25.4546,0.0652,1376.1468,-0.8892,7.0714,2760.7362,0.0765,-0.95,-72.9035,0.1308,24.668203472,-0.99,0.18996970658,-0.8892,-0.0867,1.4561,,-13.1449,123.6179
SH603003,2025-12-31,47.573215031898,25.1477,0.1413,918.8361,-4.7633,14.3154,2547.7707,0.173,-5.7,-61.0531,0.3918,18.0341558564,-5.97,0.01464557087,-4.7633,-0.4816,2.9237,,-33.1216,123.1316
