instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920266,2023-03-31,0.37,597.76572645837,77.5240358216,825.6881,1.2705,0.1997,0.109,0.138,117.2791,0.17,450.676,0.1342,243.2432,0.0135,25.9155,,0.138,0.7674,9.9315,0.17
BJ920266,2023-06-30,0.7143,-168.5043,80.6836811812,717.1315,-1.2737,0.4688,0.251,7.9893,96.9984,-0.4,383.959,0.3101,251.995,-0.0311,0.268897263064,1.9883,-0.3187,1.8557,10.8149,-0.4
BJ920266,2023-09-30,0.9784,-57.5196,80.9940182044,720.1921,1.2881,0.699,0.3749,0.4795,92.1219,0.6,386.2661,0.4626,275.9608,0.0472,18.8405,,0.4795,2.9309,10.4486,0.59
BJ920266,2023-12-31,1.2242,75.056271301212,80.9397707258,716.8459,-1.9604,0.9481,0.5022,7.8067,90.1758,-1.21,379.7068,0.619,294.0696,-0.0953,0.184283100435,2.738,-0.9873,3.9922,5.9596,-1.22
BJ920266,2024-03-31,0.3115,510.1796,79.1777534622,722.8916,6.8177,0.2395,0.1245,0.8457,72.9631,1.05,375.7829,0.1537,288.9246,0.0849,5.1461,,0.8457,1.2335,13.7112,1.04
BJ920266,2024-06-30,0.6083,220.436180081479,77.54001911,766.9365,1.6667,0.454,0.2347,9.9632,71.4513,0.47,396.4758,0.2876,295.9066,0.0387,19.8814,0.9872,0.3939,2.5192,-7.9615,0.48
BJ920266,2024-09-30,0.9182,-70.3759,76.3719217326,787.172,0.4262,0.6632,0.343,0.1475,72.0692,0.18,407.117,0.42,294.0536,0.0144,56.3213,,0.1475,3.7464,-10.464,0.18
BJ920266,2024-12-31,1.2652,-509.8298761052,72.8918941764,830.0669,-14.4123,0.8724,0.4337,4.3835,85.5615,-7.73,412.6547,0.5365,284.54,-0.6,0.077421505448,1.6654,-6.4976,4.2075,-17.0497,-8.04
BJ920266,2025-03-31,0.3963,-259.2533,51.6220903188,1102.9412,-18.2029,0.1739,0.0816,-1.5068,114.6059,-1.83,517.5388,0.1005,227.1007,-0.1352,-0.261665402914,,-1.5068,0.7853,-40.3537,-1.85
BJ920266,2025-06-30,0.8354,-690.3238,58.0493855095,977.7295,-13.6558,0.3946,0.1841,9.5046,107.8684,-3.11,456.1581,0.2279,215.4656,-0.2286,0.011591807545,0.644,-2.5532,1.6687,-27.9522,-3.16
BJ920266,2025-09-30,1.181,-2083.1524,59.6419230751,985.7612,-11.6801,0.5927,0.2739,-3.303,120.048,-3.91,455.5424,0.3351,228.6198,-0.2864,-0.198594531825,,-3.303,2.2491,-27.6399,-3.99
BJ920266,2025-12-31,1.5566,30.675945543997,61.1181844558,917.1975,-11.9119,0.8557,0.3925,8.3326,116.3054,-5.74,420.7082,0.4795,231.2733,-0.4159,-0.134350491649,1.3516,-4.8602,3.0953,-16.1239,-5.86
BJ920266,2026-03-31,0.3373,71.999475688625,64.2124548652,1004.4643,-4.9582,0.205,0.0896,-0.4463,163.073,-0.53,439.0244,0.1078,266.8248,-0.0379,0.512745558641,,-0.4463,0.5519,2.7965,-0.54
