instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SZ002473,2021-03-31,33.427284313449,,0.0,,-5.0526,,,,0.0,-100.0,0.0,,,,-5.0526,-0.0271,0.0,,,
SZ002473,2021-06-30,-375.732741479101,342.7918,0.0487,3474.9035,-19.7339,0.5251,3696.0986,4.7499,-235.72,10.7508,0.0518,14.6137439492,-173.71,-2.698400622154,-24.0112,-0.2241,1.1392,1.3739,-602.1349,158.0056
SZ002473,2021-09-30,-189.301870365651,39.3208,0.347,732.1041,-24.7142,6.8666,778.098,53.81,-248.87,2118.1429,0.3688,11.6234440898,-186.49,-0.899120138085,-24.7142,-0.2297,2.6616,,-86.9035,101.4427
SZ002473,2021-12-31,121.755855072607,7.831,0.7817,440.8523,19.59,45.9712,460.5347,42.4069,750.19,5740.6832,0.8166,112.2540594133,157.91,-1.7694,19.3694,0.2306,2.4592,28.9523,33.0629,146.3891
SZ002473,2022-03-31,-28.533558868219,69.1563,0.0573,1517.7066,-4.5869,1.3014,1570.6806,0.488,-26.84,,0.0593,-2.75917343,-31.03,-5.506066247901,-4.5869,-0.0347,0.1167,,-62.2555,771.2082
SZ002473,2022-06-30,45.58212780087,85.6327,0.1328,1306.2409,-20.2885,2.102,1355.4217,1.6951,-142.53,220.3627,0.1378,1.250489327,-495.96,-205.894515191646,-20.2885,-0.1228,0.2834,,-102.947,635.1447
SZ002473,2022-12-31,-184.3277,,-0.0133,-26086.9565,-52.5644,0.0,-27067.6692,-0.2381,0.0,-101.4917,-0.0138,,,4.063910002435,-52.5644,-0.1944,-0.0274,,1869.0693,-13138.6861
SZ002473,2023-06-30,110.128579590891,,,94736.8421,3.4516,,99412.914163479,,0.0,-99.4542,0.0019,,,0.7725,3.4516,0.012,0.0034,,1850.8945,52941.1765
SZ002473,2023-12-31,120.234896799364,,,4358.3535,-14.8012,,4693.1099401933,,0.0,366.523894636756,0.0826,,,-0.549013434443,-14.8012,-0.0522,0.1661,,-188.1532,2167.3691
SZ002473,2024-06-30,-560.7746,,,,-17.7858,,,,0.0,-100.0,0.0,,,,-17.7858,-0.0555,0.0,,,
SZ002473,2024-12-31,-309.5437112768,,,,-34.3664,,,,,-100.0,0.0,,,,-34.3664,-0.0825,,,,
SZ002473,2025-06-30,93.596939841808,,,48648.6486,-1.9335,,54651.1748916258,,0.0,,0.0037,,,-9.358507450999,-1.9335,-0.0036,,,-511.8609,
SZ002473,2025-12-31,69.894880537635,,,76595.7447,-24.4165,,87827.491807107,,,,0.0047,,,-55.52729788451,-24.4165,-0.0249,,,-3550.7626,
