instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SZ000005,2021-03-31,139.932381093748,47.3809,0.0198,2493.0748,0.3459,1.8995,4545.4545,0.036,0.67,5.3795,0.0361,31.7921748422,0.67,-3.8363,0.3459,0.0079,0.1463,,17.268,615.1743
SZ000005,2021-06-30,701.528155188902,20.718,0.0669,1476.6202,9.5719,8.6881,2690.583,0.1145,14.46,22.7985,0.1219,19.5339105213,13.48,-0.4151,7.9169,0.1815,0.597,5.9249,117.4131,301.5075
SZ000005,2021-09-30,804.467703783798,17.8227,0.1179,1265.2296,7.7056,15.1492,2290.0763,0.2043,14.52,33.8656,0.2134,16.6635196554,13.54,-0.3276,7.7056,0.181,1.1214,,65.6166,240.7705
SZ000005,2021-12-31,135.937661260237,16.8886,0.1552,1270.2893,7.2165,21.3161,2319.5876,0.2732,10.66,-3.8566,0.2834,21.393171398,10.12,2.0012,5.6362,0.1317,1.5734,14.0463,36.3619,228.8039
SZ000005,2022-03-31,-92.684,52.1739,0.0121,3964.7577,0.0257,1.725,7438.0165,0.0198,0.11,-39.2479,0.0227,14.9793964361,0.11,-22.8723,0.0257,0.0006,0.179,,2.0795,502.7933
SZ000005,2022-06-30,-97.8471,33.5508,0.0369,2589.9281,1.868,5.365,4878.0488,0.0604,0.42,-45.3864,0.0695,14.9832920248,0.49,7.4112,0.1745,0.0039,0.5575,3.541,4.6285,322.87
SZ000005,2022-09-30,-96.123,25.9923,0.0721,1982.3789,0.3148,10.3877,3744.7989,0.1179,0.73,-40.3063,0.1362,13.1464448508,0.73,0.4764,0.3148,0.007,1.0893,,4.2617,247.8656
SZ000005,2022-12-31,-215.4084,18.7052,0.1118,1796.4072,-4.6163,19.246,3220.0358,0.2039,-11.87,-26.0191,0.2004,13.0540867284,-12.87,0.035286337288,-6.1852,-0.152,1.765,11.5452,-56.7237,203.966
SZ000005,2023-03-31,-765.0482,39.0778,0.011,4663.2124,-0.1603,2.3031,8181.8182,0.0216,-0.23,-3.7162,0.0193,5.6297168274,-0.23,-1.487657003397,-0.1603,-0.0038,0.1834,,-14.3634,490.7306
SZ000005,2023-06-30,-195.5156,32.7225,0.0306,3351.9553,1.5094,5.5008,5882.3529,0.0605,-0.18,-11.6666,0.0537,15.5865702149,-0.18,-0.505865508572,-0.1541,-0.0037,0.4803,3.5616,-5.0048,374.7658
SZ000005,2023-09-30,-254.7635,30.0354,0.0496,3092.7835,-0.4527,8.9894,5443.5484,0.0978,-0.69,-26.9093,0.0873,16.7136281342,-0.7,-0.274611723287,-0.4527,-0.0109,0.7725,,-9.0238,349.5146
SZ000005,2023-12-31,-27.715907075512,23.2084,0.0777,2645.1139,-8.5612,15.5116,4633.2046,0.1612,-17.9,-31.5014,0.1361,13.3440495078,-19.67,-0.115946105877,-8.5612,-0.1944,1.2624,,-105.8749,285.1711
SZ000005,2024-03-31,45.689958885734,28.6159,,3272.7273,-0.1132,3.1451,5838.8491795388,0.0334,-0.15,30.4781,0.0275,10.2575732402,-0.15,0.144941904218,-0.1132,-0.0025,0.271,,-7.2827,332.1033
SZ000005,2024-06-30,-539.379769931265,26.7499,,2489.6266,-0.6292,6.729,4414.12491337361,0.0887,-1.35,23.0482,0.0723,19.0590230033,-1.36,-0.064958301376,-0.6292,-0.014,0.6367,,-15.2866,282.7077
SZ000005,2024-12-31,19.475032296281,23.9292,,2380.9524,-7.371,15.0444,4211.12870962465,0.1949,-16.4,3.2299,0.1512,14.8354988909,-18.33,-0.022795913267,-7.371,-0.1595,1.4887,,-84.1417,241.8217
