instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
SH600133,2021-03-31,0.0801,154.522891539576,0.3031,0.0766,11.8173920321,0.5501,199.027,172.7779,86.6622,0.2305,0.2305,0.55,0.4522,2.8383,,0.1199,-5.2404,1123.5955,0.5209,750.6255
SH600133,2021-06-30,0.2109,24.8643,0.7895,0.3428,13.3165211644,3.79,143.6782,128.6817,18.5832,3.9938,0.9934,3.64,1.2528,4.7332,8.0214,0.3138,-1.9929,853.4851,1.3988,573.6138
SH600133,2021-09-30,0.3079,5.5938,1.1656,0.4629,12.3972523744,4.7,148.3435,133.7958,19.0747,1.2845,1.2845,4.51,1.8201,4.2827,,0.4603,-0.5367,876.9081,2.018,586.574
SH600133,2021-12-31,0.4329,-7.6957,1.5874,0.8841,13.7907808023,9.16,153.2502,123.5415,14.5952,5.4097,2.4331,8.25,2.3491,5.7934,17.4039,0.6641,0.95,831.6008,2.914,542.087
SH600133,2022-03-31,0.0951,-20.4836,0.3304,0.0609,8.4627327966,0.4227,186.2197,118.7022,27.0971,0.1701,0.1701,0.46,0.4833,1.7757,,0.1501,-11.2178,946.3722,0.7582,599.6003
SH600133,2022-06-30,0.2217,-22.9437,0.7988,0.2641,10.0034662142,2.57,164.579,97.4976,16.4691,3.3693,0.6646,2.34,1.0937,3.1315,10.4848,0.3421,-3.3902,811.908,1.8462,526.1619
SH600133,2022-09-30,0.3343,-1.0861,1.2114,0.4578,10.0766778701,4.68,162.1037,97.9112,22.7911,1.0634,1.0634,4.39,1.6656,3.4499,,0.508,-0.68,807.6578,2.7576,531.4961
SH600133,2022-12-31,0.4379,-0.1812,1.5369,0.8824,12.6122525559,8.66,177.8041,91.2432,15.2074,4.5663,2.0075,7.82,2.0247,5.0196,22.1935,0.6574,2.0263,822.1055,3.9455,547.6118
SH600133,2023-03-31,0.0846,81.0941,0.302,0.1103,9.4210024172,0.78,241.4163,106.0945,10.6014,0.241,0.241,0.83,0.3728,2.9075,,0.121,-11.2137,1063.8298,0.8483,743.8017
SH600133,2023-06-30,0.1763,-21.559,0.6529,0.2072,11.1803247892,1.2,221.8935,103.8182,-5.3232,2.8413,0.4441,1.46,0.8112,2.5945,10.9136,0.2511,-10.4811,1020.987,1.7338,716.8459
SH600133,2023-09-30,0.2989,-9.1526,1.0723,0.3636,9.8437023298,3.11,198.3544,93.1581,2.2585,0.8876,0.8876,3.16,1.3612,3.0649,,0.425,-6.1221,903.3121,2.8983,635.2941
SH600133,2023-12-31,0.5428,89.9639,1.4822,1.2508,12.3079949384,14.34,117.3173,98.1274,4.9144,9.6741,6.9835,12.07,3.0686,9.0887,29.2245,0.8308,-1.7174,663.2277,3.6687,433.3173
SH600133,2024-03-31,0.02,-58.9733,0.0381,0.0338,33.5759244589,0.34,357.0012,1507.5377,-87.5675,0.1959,0.1959,0.39,0.2521,9.5948,,0.0356,-17.7733,4500.0,0.0597,2528.0899
SH600133,2024-06-30,0.0443,-47.5461,0.0851,0.0811,31.9377187029,0.89,317.013,1399.689,-87.2302,3.5528,0.4922,0.97,0.5678,10.6573,2.0827,0.0803,-8.0335,4063.2054,0.1286,2241.594
SH600133,2024-09-30,0.0669,-36.3933,0.1303,0.1974,30.8201403054,2.4,318.7345,1383.9057,-88.4888,1.1648,1.1648,2.56,0.8471,16.9356,,0.1228,-4.2411,4035.8744,0.1951,2198.6971
SH600133,2024-12-31,0.1777,-57.6543,0.3466,0.5296,31.1655628852,5.94,158.9615,633.0227,-77.0528,5.8632,3.003,5.96,2.2647,16.7718,8.4891,0.326,-0.4182,2025.8863,0.5687,1104.2945
SH600133,2025-03-31,0.024,-109.9598,0.0465,-0.0034,27.7083094065,-0.03,284.2704,1217.862,18.835,-0.0195,-0.0195,-0.03,0.3166,-0.8042,,0.0471,-1.323271249557,3750.0,0.0739,1910.828
SH600133,2025-06-30,0.0578,-39.5744,0.112,0.049,27.1387849094,0.55,235.5404,1003.3445,31.6577,3.3836,0.2874,0.56,0.7642,4.8913,2.775,0.1144,-9.7825,3114.1869,0.1794,1573.4266
SH600133,2025-09-30,0.089,-63.7786,0.1725,0.0715,26.2805301651,0.86,232.298,985.7612,32.5281,0.4188,0.4188,0.86,1.1623,4.6287,,0.1774,-7.4754,3033.7079,0.2739,1521.9842
SH600133,2025-12-31,0.1947,-45.4296,0.3845,0.289,26.2439945748,3.09,155.5748,566.0377,11.3669,4.505,1.5626,3.03,2.314,8.2183,10.8952,0.3814,-0.4547,1848.9985,0.636,943.8909
SH600133,2026-03-31,0.0197,35.525029676615,0.0391,-0.0036,25.2644447143,-0.02,393.3566,1470.5882,-13.2139,-0.0196,-0.0196,-0.02,0.2288,-0.9889,,0.0393,-0.537120490856,4568.5279,0.0612,2290.0763
