instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
SH601111,2021-03-31,0.0509,-29.188734727515,0.1808,-0.4783,-31.9643503546,-8.33,21.1154,10.0729,-15.5025,-2.409,-2.409,-8.69,4.2623,-47.6456,,0.656,-0.086024531918,1768.1729,8.9349,137.1951
SH601111,2021-06-30,0.1317,28.124944392238,0.4676,-0.5284,-10.5947692006,-9.11,15.9654,9.0294,27.0461,29.786,-2.6647,-9.49,11.2744,-20.3778,0.4264,1.7423,0.194662153474,1366.7426,19.9349,103.3117
SH601111,2021-09-30,0.2011,-2.074991838781,0.7319,-0.8122,-9.906958065,-14.18,13.2805,9.1074,18.5813,-4.1039,-4.1039,-15.18,20.3306,-20.5307,,2.7231,0.176675042434,1342.6156,29.6462,99.1517
SH601111,2021-12-31,0.2559,-15.495971422601,0.9959,-1.2964,-15.1773400489,-23.95,14.3307,8.1866,7.234,25.0667,-6.3098,-27.1,25.1209,-25.2636,0.8553,2.9734,0.172916721174,1406.7995,43.9742,121.0735
SH601111,2022-03-31,0.0437,-43.367011448519,0.2122,-0.6796,-52.4166103287,-15.64,15.8736,10.654,-11.4062,-3.3676,-3.3676,-16.99,5.6698,-76.4204,,0.458,-0.592899813951,2059.4966,8.4475,196.5066
SH601111,2022-06-30,0.0801,-186.4048479947,0.4335,-1.5293,-59.8995484968,-37.26,17.395,11.0302,-36.4041,24.6456,-7.4206,-45.28,10.3478,-92.7338,0.2848,0.7623,-0.277637554387,2247.191,16.3188,236.1275
SH601111,2022-09-30,0.1414,-172.274468843066,0.8318,-2.2315,-45.9074976778,-58.21,15.6472,9.9313,-26.7483,-10.9154,-10.9154,-79.95,17.2555,-77.0097,,1.4725,-0.116315678617,1909.4767,27.1869,183.3616
SH601111,2022-12-31,0.1783,-132.056120814959,1.2101,-3.1103,-56.5520742876,-90.86,15.7903,10.0161,-29.0267,18.7482,-15.3133,-163.58,22.7988,-85.4026,0.6133,2.0097,-0.316877553425,2019.069,35.942,179.1312
SH601111,2023-03-31,0.0783,67.118737993576,0.9849,-0.2021,-4.9936789203,-8.03,7.9047,10.0004,94.0589,-0.9485,-0.9485,-8.28,11.3856,-13.0592,,0.7407,0.271112029335,1149.4253,8.9996,121.5067
SH601111,2023-06-30,0.1864,82.244689014704,2.1883,-0.2499,0.6744966672,-9.42,8.3019,9.4814,148.8793,28.9212,-1.1749,-9.88,21.6819,-6.7902,0.6503,1.8199,0.336025013792,965.6652,18.9845,98.9065
SH601111,2023-09-30,0.3328,102.816117729243,3.5403,0.0733,7.696247456,2.05,6.3904,8.9779,150.6069,0.3502,0.3502,2.03,42.2512,1.1252,,3.472,27.8687,811.2981,30.0738,77.765
SH601111,2023-12-31,0.4477,97.290534504345,4.9641,-0.0969,5.0216444007,-2.77,6.1643,8.382,166.7423,32.2511,-0.468,-2.81,58.4006,-1.1121,1.4667,5.1704,0.251016380313,804.1099,42.949,69.6271
SH601111,2024-03-31,0.1184,42.781164752545,1.1394,-0.1206,3.3370254319,-4.47,8.4414,9.6017,59.8301,-0.5865,-0.5865,-4.48,10.6617,-4.9965,,1.0982,0.234797698243,760.1351,9.3733,81.9523
SH601111,2024-06-30,0.2336,19.365131067995,2.2997,-0.2135,2.5789165468,-7.43,9.8029,9.9172,33.3938,32.5557,-1.0255,-7.6,18.3619,-4.4544,0.7492,2.1141,0.222033341108,770.5479,18.1502,85.1426
SH601111,2024-09-30,0.377,-35.1831,3.498,0.0464,6.5578098415,3.44,7.3987,9.7922,21.4958,0.2233,0.2233,3.36,36.4929,0.6003,,3.5263,39.9624,716.1804,27.5731,76.5675
SH601111,2024-12-31,0.4895,77.321379763796,4.3734,-0.1404,5.1049821091,-0.6,7.3999,8.9981,18.1422,33.8093,-0.7086,-0.53,48.6496,-1.4698,1.5461,4.5657,0.207234187776,735.4443,40.0083,78.8488
SH601111,2025-03-31,0.1159,-22.069077957259,1.0097,-0.1453,0.5248089839,-4.64,8.4598,9.7532,-0.1059,-0.7345,-0.7345,-4.75,10.6385,-6.3344,,0.9707,0.208413499089,776.5315,9.2277,92.7166
SH601111,2025-06-30,0.233,35.105858421773,2.0395,-0.1554,2.9819669605,-4.11,9.4209,10.3129,1.5557,35.2156,-0.78,-4.23,19.1065,-3.3569,0.7329,1.8263,0.220798867879,772.5322,17.4538,98.5599
SH601111,2025-09-30,0.3735,76.4134,3.1179,0.0778,7.0634441508,4.09,7.7948,10.6082,1.308,0.3884,0.3884,4.03,34.6383,1.0453,,2.9399,25.1101,722.8916,25.4521,91.8399
SH601111,2025-12-31,0.4979,-646.041170645372,4.2777,-0.202,5.1534444664,-4.04,7.5055,9.9986,2.8709,38.498,-1.0275,-4.16,47.965,-2.0555,1.535,4.5432,0.245183542555,723.0368,36.0051,79.2393
SH601111,2026-03-31,0.1296,183.860218699379,1.1139,0.1028,7.8648763156,3.96,7.8206,11.0015,11.2762,0.5209,0.5209,3.9,11.5081,4.0267,,1.2571,5.1029,694.4444,8.1807,71.5933
