instrument,datetime,current_asset_turn_days,fixed_asset_turnover,roe,roa_alt,ocf_to_np,net_margin,equity_turnover,roe_weighted,gross_margin,roa,profit_growth,asset_turn_days,inventory_turn_days,ar_turn_days,eps,revenue_growth,inventory_turnover,asset_turnover,ar_turnover,current_asset_turnover
SZ002859,2021-03-31,353.0796,,4.82,2.7815,0.8617,21.5325,0.2276,4.9,39.0679065455,2.7815,99.4485,682.3351,104.9808,98.76,0.2288,59.1902,0.8573,0.1319,0.9113,0.2549
SZ002859,2021-06-30,304.9297,1.1516,11.14,14.8687,0.9644,22.8362,0.5014,11.25,41.2013155609,6.1621,53.3643,633.134,98.1408,99.0917,0.5428,56.3641,1.8341,0.2843,1.8165,0.5903
SZ002859,2021-09-30,310.845,,15.89,8.5919,1.0409,22.6231,0.7353,16.43,41.3569585378,8.5919,55.8713,655.9767,100.8592,96.7707,0.8042,46.1266,2.677,0.4116,2.7901,0.8686
SZ002859,2021-12-31,324.0032,1.9101,18.21,18.2886,1.0708,20.8956,0.9251,19.38,38.267481997,9.63,34.4684,704.3631,106.8979,92.6259,0.9486,30.5773,3.3677,0.5111,3.8866,1.1111
SZ002859,2022-03-31,443.3498,,1.43,0.7595,3.8361,9.7725,0.1501,2.75,32.4910897479,0.7595,-65.9307,1133.5013,154.3739,125.0695,0.0782,-24.9326,0.583,0.0794,0.7196,0.203
SZ002859,2022-06-30,402.8648,0.4831,4.91,11.632,1.7632,15.3848,0.3262,4.89,32.1843173694,2.5294,-50.7675,1057.5793,142.2138,121.0084,0.2672,-26.9225,1.2657,0.1702,1.4875,0.4468
SZ002859,2022-09-30,423.5959,,6.57,3.4179,2.3695,15.091,0.4497,6.6,30.2254250266,3.4179,-54.5779,1145.524,151.4132,111.7041,0.3653,-31.9074,1.7832,0.2357,2.4171,0.6374
SZ002859,2022-12-31,480.3202,0.8147,5.96,12.816,2.1191,12.7476,0.5293,7.4,29.4460593578,3.4492,-57.3546,1224.0734,145.4075,117.8473,0.4045,-30.0967,2.4758,0.2941,3.0548,0.7495
SZ002859,2023-03-31,501.1136,,1.12,0.6731,3.1458,10.2239,0.1102,1.13,32.410003738,0.6731,-1.7149,1384.6154,147.541,105.177,0.0726,-6.0547,0.61,0.065,0.8557,0.1796
SZ002859,2023-06-30,437.6368,0.3541,3.53,12.6974,0.7879,14.0736,0.2533,3.54,33.1970034007,2.0954,-8.4426,1211.3055,122.9592,105.1095,0.2318,0.0877,1.4639,0.1486,1.7125,0.4113
SZ002859,2023-09-30,409.5874,,5.9,3.5549,1.1764,15.3063,0.3951,6.03,35.7679616004,3.5549,15.1326,1157.3082,128.3148,100.4801,0.3984,13.5138,2.1042,0.2333,2.6871,0.6592
SZ002859,2023-12-31,391.432,0.6645,8.58,16.0132,0.9345,16.2567,0.5459,8.88,35.8190543754,4.9617,54.0956,1140.3231,134.7608,98.323,0.5905,20.8337,2.6714,0.3157,3.6614,0.9197
SZ002859,2024-03-31,406.8716,,1.78,0.9996,1.5654,14.6755,0.1216,1.79,39.2229431341,0.9996,69.1872,1298.7013,162.6898,119.8083,0.1232,17.8676,0.5532,0.0693,0.7512,0.2212
SZ002859,2024-06-30,349.6503,0.3029,4.17,14.1158,1.1248,14.4481,0.2851,4.06,36.5178636978,2.2386,20.8803,1133.5013,132.0519,111.5656,0.2802,17.7472,1.3631,0.1588,1.6134,0.5148
SZ002859,2024-09-30,321.62,,5.95,2.9776,2.3245,13.2047,0.4505,5.96,36.5043674723,2.9776,2.7293,1117.0873,126.1211,109.2808,0.4111,19.0791,2.1408,0.2417,2.4707,0.8395
SZ002859,2024-12-31,327.8091,0.6514,6.86,14.4054,1.2595,11.1248,0.6114,6.84,34.2035590498,3.1512,-20.9148,1145.767,126.5556,108.5024,0.4691,15.5667,2.8446,0.3142,3.3179,1.0982
SZ002859,2025-03-31,370.5228,,1.13,0.4985,1.5166,7.742,0.1389,1.14,32.2253582259,0.4985,-39.8619,1395.3488,147.2272,119.649,0.0744,13.9955,0.6113,0.0645,0.7522,0.2429
SZ002859,2025-06-30,334.3239,0.3328,3.28,13.4177,1.1415,9.7666,0.3218,3.29,33.4019006545,1.3972,-22.4821,1228.6689,138.3977,111.0426,0.2181,14.675,1.3006,0.1465,1.621,0.5384
SZ002859,2025-09-30,330.5178,,5.79,2.396,1.2276,11.0271,0.5075,5.83,33.6856511516,2.396,-5.0131,1188.9036,135.2434,109.1085,0.3905,13.7444,1.9964,0.2271,2.4746,0.8169
SZ002859,2025-12-31,320.1992,0.7262,7.04,15.1091,1.6032,9.6886,0.688,7.27,33.4082784787,2.8052,0.6725,1171.4937,125.0434,102.529,0.4722,15.5967,2.879,0.3073,3.5112,1.1243
SZ002859,2026-03-31,367.4969,,1.5,0.6028,0.5503,8.9547,0.1601,1.52,32.5850742577,0.6028,41.7162,1311.9534,153.1394,108.7613,0.1054,22.5246,0.5877,0.0686,0.8275,0.2449
