instrument,datetime,current_asset_turn_days,fixed_asset_turnover,roe,roa_alt,ocf_to_np,net_margin,equity_turnover,roe_weighted,gross_margin,roa,profit_growth,asset_turn_days,inventory_turn_days,ar_turn_days,eps,revenue_growth,inventory_turnover,asset_turnover,ar_turnover,current_asset_turnover
SZ002427,2021-03-31,330.033,,,-1.1563,-0.021228536313,-9.7711,26.4681,0.0,15.031667657,-1.1563,22.839283104908,756.3025,46.5453,99.3049,-0.1441,3.6015,1.9336,0.119,0.9063,0.2727
SZ002427,2021-06-30,300.7519,0.859,,28.5041,0.001268264474,-11.6333,,0.0,13.9135006231,-3.0466,-63.432845541026,692.8406,40.5771,94.4287,-0.37,5.7792,4.436,0.2598,1.9062,0.5985
SZ002427,2021-09-30,285.6236,,,-5.3738,0.00151943873,-12.8251,,0.0,11.01009296,-5.3738,-117.798016268002,647.6373,36.8888,91.3149,-0.6562,15.9706,7.3193,0.4169,2.9568,0.9453
SZ002427,2021-12-31,276.3067,1.7685,,8.4267,0.004260084385,-48.7086,,0.0,7.0802164027,-31.912,-87.762851519338,610.3764,38.0687,76.3245,-3.2218,18.4168,9.4566,0.5898,4.7167,1.3029
SZ002427,2022-03-31,267.1416,,,-4.0747,-0.034404800908,-24.7805,,0.0,3.7947280391,-4.0747,-183.451930111578,552.4862,39.3133,73.922,-0.4036,10.418,2.2893,0.1629,1.2175,0.3369
SZ002427,2022-06-30,293.2551,0.8284,,36.2455,-0.028306103656,-28.677,,0.0,1.0663464144,-8.6755,-127.922323621316,608.931,41.8323,80.1282,-0.8368,-8.2549,4.3029,0.2956,2.2464,0.6138
SZ002427,2022-09-30,300.3003,,,-13.7952,-0.015717286244,-30.7065,,0.0,-0.606218701,-13.7952,-100.928269462256,619.8347,38.8143,81.9374,-1.3104,-16.5863,6.9562,0.4356,3.2952,0.8991
SZ002427,2022-12-31,249.6533,1.9156,49.32,89.0197,-0.1827,21.1758,,-338.93,-1.3453370594,20.8912,136.679510684986,507.6858,39.0604,59.0503,0.5259,-15.5287,9.2165,0.7091,6.0965,1.442
SZ002427,2023-03-31,162.9549,,-0.84,-0.3757,-0.024406505324,-1.3073,0.6363,-0.83,3.3548596488,-0.3757,95.084902742601,324.4412,32.4511,32.675,-0.0088,-6.8062,2.7734,0.2774,2.7544,0.5523
SZ002427,2023-06-30,183.786,1.4714,-1.97,67.1726,-0.00436102292,-1.5129,1.2939,-1.96,3.5935953667,-0.7796,94.46177467403,340.7155,32.8353,31.6874,-0.0206,5.1784,5.4819,0.5283,5.6805,0.9794
SZ002427,2023-09-30,191.3672,,-2.88,-1.1056,0.003385509676,-1.4832,1.9227,-2.84,4.6528228243,-1.1056,94.881391419991,349.5146,35.6822,30.8864,-0.0299,6.3899,7.5668,0.7725,8.7417,1.4109
SZ002427,2023-12-31,186.7511,2.9432,-9.76,70.0144,-0.034217282018,-3.6185,2.5753,-9.3,4.5381520531,-3.7296,-118.0243,347.6246,36.9891,31.1999,-0.0948,5.4784,9.7326,1.0356,11.5385,1.9277
SZ002427,2024-03-31,221.9482,,-2.84,-1.12,0.144104773744,-4.8388,0.5773,-2.8,4.9998235853,-1.12,-203.219748988559,401.6064,49.7843,37.9619,-0.0267,-18.1576,1.8078,0.2241,2.3708,0.4055
SZ002427,2024-06-30,219.1647,1.4772,-4.28,74.8441,-0.053700028653,-3.4283,1.2216,-4.19,5.617816741,-1.5746,-93.099729092281,393.0989,45.0552,37.5078,-0.0398,-14.9352,3.9951,0.4579,4.799,0.8213
SZ002427,2024-09-30,219.2804,,-3.78,-1.3627,-0.026806620823,-2.0053,1.8471,-3.706,7.2670187809,-1.3627,-18.245071081116,393.7582,44.9348,37.6517,-0.0353,-12.8526,6.0087,0.6857,7.171,1.2313
SZ002427,2024-12-31,217.1029,3.0317,-2.9,77.4172,0.04599518822,-1.1745,2.4259,-2.86,7.2050710766,-1.078,71.104089888103,393.3137,46.2999,37.034,-0.0272,-11.4496,7.7754,0.9153,9.7208,1.6582
SZ002427,2025-03-31,215.9309,,0.56,0.2085,-24.9957,0.9178,0.6275,0.42,9.4158671893,0.2085,120.000359912241,389.7791,46.6563,42.3908,0.0054,7.4401,1.929,0.2309,2.1231,0.4168
SZ002427,2025-06-30,211.6402,1.6981,1.27,80.7564,-9.2722,1.023,1.2471,1.25,10.7373058468,0.4786,130.365254890241,384.6154,45.8132,39.9813,0.0121,1.9469,3.929,0.468,4.5021,0.8505
SZ002427,2025-09-30,210.1822,,2.05,0.7922,-3.1207,1.107,1.88,2.07,10.8315688614,0.7922,155.785673029547,379.1602,46.5325,35.8214,0.0198,1.8176,5.8024,0.7121,7.5374,1.2846
SZ002427,2025-12-31,216.0994,3.1961,3.93,86.5039,0.5143,1.7035,2.3624,4.01,12.7914104195,1.5796,241.206049453556,394.3045,53.0129,35.8491,0.0387,-2.0368,6.7908,0.913,10.0421,1.6659
SZ002427,2026-03-31,247.8656,,-2.12,-0.848,-0.194666744374,-4.1637,0.5028,-2.1,6.7268271796,-0.848,-473.3969,446.8719,57.5227,36.8852,-0.0203,-17.6895,1.5646,0.2014,2.44,0.3631
