instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
SZ301301,2023-03-31,0.7653,74.4083,26.1570269414,726.979,13.8176,0.2934,0.1238,1.7347,67.2998,2.79,306.7485,0.2016,117.6009,0.0789,-0.2574,,1.7347,1.3373,27.344,2.75
SZ301301,2023-06-30,1.499,58.2747,28.3951392787,750.3126,16.1703,0.5809,0.2399,37.2565,67.3728,6.11,309.864,0.3834,120.0801,0.1758,2.6511,0.4517,4.0042,2.6717,21.7884,6.11
SZ301301,2023-09-30,2.2202,94.6334,29.9333999306,770.1084,17.8746,0.8484,0.3506,6.3746,67.2713,9.81,318.2461,0.5564,121.6107,0.288,1.7225,,6.3746,4.0136,23.0303,9.62
SZ301301,2023-12-31,2.1571,128.5602,31.5743753401,766.1205,19.5003,1.137,0.4699,43.7862,60.6684,14.33,316.6227,0.7317,166.8907,0.4231,1.3741,0.9094,9.277,5.9339,26.2436,13.51
SZ301301,2024-03-31,0.6578,100.9876,34.419443284,611.8287,23.1501,0.3659,0.1471,3.3349,46.3679,4.94,245.9688,0.2129,136.8197,0.1586,0.7673,,3.3349,1.941,19.9636,4.82
SZ301301,2024-06-30,1.5918,96.0576,35.312138682,584.0363,23.982,0.7952,0.3082,42.6039,47.4884,10.43,226.3581,0.4487,113.0795,0.3441,1.008,0.6351,7.2301,3.7904,32.1954,10.56
SZ301301,2024-09-30,2.2228,68.079,35.8209196691,626.7409,24.1448,1.1079,0.4308,10.1973,53.8739,14.75,243.7043,0.612,121.4684,0.4831,0.8135,,10.1973,5.0117,24.4303,14.21
SZ301301,2024-12-31,2.4271,48.8839,36.3859616674,646.784,24.3188,1.4217,0.5566,51.2802,52.7465,18.95,253.218,0.7735,148.3252,0.6288,1.279,1.1057,13.269,6.8251,19.3844,17.73
SZ301301,2025-03-31,0.6479,-18.2685,37.3332501284,738.3101,22.2219,0.303,0.1219,2.6854,66.5385,3.58,297.0297,0.1609,138.9103,0.1294,0.4045,,2.6854,1.3526,-14.8546,3.52
SZ301301,2025-06-30,1.2337,-40.6813,35.8650098578,793.6508,19.3553,0.5827,0.2268,46.609,75.4085,5.59,308.9068,0.2991,145.9026,0.2038,0.8612,0.4553,4.4745,2.387,-26.5017,5.86
SZ301301,2025-09-30,1.9132,-43.2223,32.8001311539,820.6687,17.7796,0.8415,0.329,5.9134,75.0855,7.63,320.8556,0.4331,141.1248,0.2739,0.9346,,5.9134,3.5959,-22.8954,7.71
SZ301301,2025-12-31,2.298,-45.1319,29.2511708696,818.1818,16.6443,1.1053,0.44,50.9979,76.9099,9.68,325.7034,0.5762,156.658,0.3445,0.7146,0.9002,7.3671,4.6808,-19.8329,9.51
SZ301301,2026-03-31,0.5929,-61.8268,23.557059222,856.3273,10.0519,0.2606,0.1051,1.0576,89.6861,1.36,345.3569,0.1341,151.7963,0.0493,1.6605,,1.0576,1.0035,-15.6098,1.35
